uservip_degree,timepoint,content,opername,upcount
4,0,这就是传说中的神仙打架吧,,0
4,0,金主爸爸真的感动的要哭了,,1
1,0,不知看了多少遍，希望自己早日完成目标,范凯瑞,0
4,0,这也是我迟迟不想结婚的原因,,0
4,0,梅桢你很棒 加油！,,3
4,0,毛老师都不敢看人家的脸,,2
4,0,女生真的太难了,,0
4,0,谈何容易再次合体,,82
4,0,重点来了，快搬好小马扎,,1
4,0,这天使队友我也想拥有,,0
4,0,神仙队友啊,,1
4,0,金牌代言我觉得非南南莫属了,,0
4,0,完全呈现出幼稚园的水平,,7
4,0,徐律完善演绎了职场女性的梦中形象 ,,4
4,0,李晨你的身高不要浪费了,,1
4,0,毛不易的求生欲都没了,,1
4,0,地球人已无法阻止李晨抖腿了,,0
4,0,那何运晨你都可以画你自己了,,8
4,0,徐律的鸡汤不得不喝啊,,0
4,0,幼儿园园长柴律已上线,,0
4,0,看了李晨抖腿就再也不讨厌地铁里有人抖腿了,,2
4,0,已经变成5G男孩的南南,,6
4,0,各位MM们 毛不易来咯,,31
4,0,小何你也太温柔了吧,,7
4,0,南南还小 还没学会如何和女生相处呢,,2
1,0,有情饮水饱,小青,0
4,0,抖腿怪附体,,0
4,0,抖腿小王子就是你，小李晨,,1
4,0,"我以为是神仙打架,却不想是小孩乱涂乱画",,2
4,0,心动信号连线的既视感，着实是很甜啊！,,1
4,0,郭京飞：这段可以剪掉吗,,5
4,0,柴律：李晨一笑我就疏忽了,,0
4,0,毛老师终于营业了,,132
4,0,明明可以靠才华，你偏偏选颜值,,2
4,0,学霸一般都是装不懂,,9
4,0,跟浩源在一起绝对妥妥的,,1
4,0,毛不易我可太想你了。,,76
4,0,学霸不可怕，就怕学霸萌哒哒,,17
4,0,这是要拆CP啊,,4
4,0,本以为是个青铜，谁知是个王者,,1
4,0,难道我们的毛不易不是因为颜值出道的？,,8
4,0,这是针对好运来CP下手了啊,,20
4,0,这都是什么虎狼之词哈哈哈哈哈哈哈哈,,4
4,0,承包浩源这个假笑,,2
4,0,冰莹会是全票王吗,,0
4,0,浩源真的是太阳光了,,5
4,0,果然社会我旭姐，霸气,,6
4,0,是我羡慕的英语水平[加油],,5
2,0,啊啊啊好圆太棒了,夏了茶靡,0
4,0,徐律每次总结都是满满的干货,,2
4,0,人生导师何运晨上线,,3
4,0,我男朋友出得厅堂入得厨房,,1
4,0,这一队娃娃脸组合,,0
4,0,没想到你是这样的郭京飞,,7
4,0,从今天开始，2g男孩成功晋级5g,,23
4,1,打卡,,0
6,1,🥰杨老师！是我，不一样的烟火,,3
4,1,啦啦啦,,1
4,1,毛南合体啦,,0
3,1,毛毛我来啦！！！！！！,,0
5,1,嘿,,0
3,1,我是奔着毛不易来的,,11
5,1,👿,,0
1,1,标题？？！！,,1
6,2,红红火火,,0
5,2,来咯来咯来咯来咯来咯,,1
3,2,哇咔咔。我又来了,,0
4,2,来报道,趁早～,0
5,2,今天,,0
6,2,羡慕,,0
5,3,签到,,0
3,3,何运晨,,4
5,3,小李晨棒棒的 还有何运晨,,0
6,3,打卡打卡,,2
6,3,太喜欢浩源了,,0
5,3,嘤,,0
4,3,庆余年要付费我就看offer,,7
5,3,来啦,,0
3,4,欢迎大家来到拿到手软的offer,,44
6,4,这是我唯一没有快进的综艺,,20
3,4,哇塞，坐等毛不易小哥哥啊,,19
4,4,毛不易,,0
6,4,今晚我是为毛不易来的,,56
6,4,赶紧来打卡了,,12
4,4,1,,0
4,5,好看,,0
4,5,😭😭来晚了,,0
5,5,终于来咯,,1
6,5,我爱王剑芬！！！！！😎,,1
4,6,这是我唯一没有快进的综艺,,42
2,6,刚刚下班的我,桥南1984,0
4,6,今晚我是为毛不易来的,,57
6,6,毛不易，我来啦,,67
3,6,爱周震南,,0
5,7,今晚我是为毛不易来的,,23
3,7,欢迎大家来到拿到手软的offer,,19
0,7,！,鹿人三千,0
2,7,小老弟们搬好像板凳了没有？,,50
5,7,毛不易！我来啦,,2
6,8,毛不易我来了,,32
3,8,赶紧来打卡了,,6
3,8,搬好自己的小板凳，坐等毛不易,,56
7,9,1,,1
4,9,毛不易我来了！,,10
4,9,毛不易，我来啦,,29
4,9,反正好运cp我是磕死到底了,,51
3,9,趁没人，表白我南南鸭,,0
1,9,趁没人，表白我南南鸭,,1
3,9,毛不易毛不易毛不易毛不易,,0
5,10,VIP :来了来了南南,,0
4,10,毛不易我来啦！,,40
6,11,等了好久了,,12
0,11,来看毛毛,悠杨,1
5,11,毛不易，我来啦,,31
2,12,这是我唯一一个不舍得开二倍速的综艺节目啊！,,32
6,12,我已经搬好我的小板凳，坐等毛不易了,,54
3,12,毛不易，我来啦,,9
3,13,这期有毛不易，我不会放过一点精彩的,,11
5,13,毛不易，我来啦,,5
