uservip_degree,timepoint,content,opername,upcount
0,0,常识啊，那是三位法官，一位书记员,永信至诚,0
0,0,高高在上的明星怎么可能和普通人共情呢,.,0
0,0,娱乐记者只要有娱乐相关经验就可以了，又不需要高学历,Rita ,0
0,0,可别听这些日入208万的人瞎忽悠了,.,0
0,0,气势 打官司要有气势,Ｙａｍａｐ←Ｓ,0
0,0,果然艺人的工资很高，与学历不对等,Rita ,0
0,0,法律应该要多点知识储备的,LUAG,0
0,0,这段真的笑死，明星已经高大上到不了解普通人的生活了,.,0
0,0,我两个月800,Elaine,0
0,0,律师千万年薪都不够明星们吃的，而且明星学历还不高的,Rita ,0
0,0,哎呀我的吗这些明星都在说啥啊,.,0
0,0,这几个演员在说啥啊，不了解别乱说行不行啊,.,0
0,1,邓冰莹邓冰莹,,3
4,1,南南南南南南南南南南,,1
6,1,a,,0
6,1,go,,0
3,1,明天最后一期！好运来，呜呜呜，想天天见呢,,0
5,1,来咯,🍒,3
7,2,真棒,,0
1,2,来了来了,,7
7,2,666,,1
4,2,6,,0
0,2,❤️,yuan.,0
5,2,鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅,,2
4,2,来了来了来了,,0
5,2,哇,,0
2,2,好运cp加油,V居梓谦V,0
3,3,大家圣诞节快乐！,,21
3,5,南南我来了[加油][加油][加油],,31
0,6,i,风之翼（马军）,0
3,6,大家圣诞节快乐！,,16
3,8,小老弟们，都到齐了呀,,40
3,11,圣诞快乐！,,13
3,11,小老弟们，赶紧坐起来看这个节目啊！,,20
0,12,来了,vsjsvdks,0
3,12,大家圣诞节快乐！,,7
6,12,大家圣诞节快乐！,,6
1,12,圣诞节吃什么大餐，磕学霸他不香吗？,综艺企鹅妹,1022
5,13,祝大家圣诞节快乐,,23
1,13,大家圣诞节快乐啊！,,1
1,13,大家圣诞节快乐！,,3
3,13,我来了,,3
3,13,大家圣诞节快乐！,,5
3,15,VIP :这就来了,,25
3,16,大家圣诞节快乐！,,10
5,16,大家圣诞节快乐！,,13
3,16,最后一期了……,,4
5,17,熬夜来了,,0
1,17,提前的我很喜欢,,0
2,17,来喽来喽,🍒,0
2,18,来啦~,,0
3,18,刚下晚自习就来追哈哈哈哈,,0
1,19,超级舍不得,,2
3,19,学医要期末的我   忍不住啊,,18
0,19,啊啊最爱的邱晨,,0
3,19,大家圣诞节快乐！,,1
3,20,居然这么早,,7
7,21,来了,顧白,0
0,21,晚上害怕怕不敢睡觉看视频吧,,0
3,22,顺风车报道,,8
3,22,我的李晨,,1
5,22,进度条爱了,,15
6,22,大家圣诞节快乐！,,9
3,23,令我自卑的offer,,24
6,23,来来来来,,0
3,23,来啦哈哈哈,,0
3,24,学医要期末的我   忍不住啊,,0
5,24,打卡签到,,14
1,24,好期待,,3
3,24,嘿嘿一嘿嘿,🍼,0
5,24,来了来了,,10
2,24,冲冲冲,,0
3,25,大家圣诞节快乐！,,25
5,27,神仙打架,,0
5,27,最后一期了要跟各位说再见了,Sssss🌱,1
1,27,南南南南南南南南南南南南南南南南南南南南南南南,shcry＆,0
3,27,这个综艺总是容易让我自卑啊！,,40
5,28,令我自卑的offer,,0
0,28,第一个,,0
4,29,进度条爱了,,0
4,29,哈哈哈,/,0
2,29,圣诞快乐,,0
2,29,祝大家圣诞节快乐,Yumi-雅🌽,2
0,29,圣诞快乐🎄🎅🏻令人心动的何运晨💕,🍃华huà🌸,0
1,29,令人自卑的综艺，我来了,,24
1,29,喜欢你的不准时,,0
1,29,学医要期末的我   忍不住啊,,0
5,30,很期待,米小粒^_^,0
2,30,感人的时长,,0
5,30,终于更新了,,10
1,30,每次时长都让我感动,,0
1,31,可能还没意识到这么早就可以看了,,0
4,31,这么不准时我很开心,,1
5,31,喜欢你的不准时,,5
2,31,来了，等了好久,,0
1,31,好舍不得，这个节目学到的太多了，也太优秀了,,0
5,32,我是为薛俊杰而来[螃蟹],,0
4,32,何运晨何运晨,,0
0,32,令我自卑的offer,,1
1,32,令我自卑的offer,,0
1,32,邱晨！！！！！！！,,0
3,32,南宝我来了,,1
0,32,冲冲冲,,2
5,33,ohh,,0
1,33,南南我来了，实习生们加油啊,幽可,0
7,33,[6周年]路过,,0
5,33,这个综艺总是容易让我自卑啊！,,0
3,33,周震南周震南周震南周震南周震南周震南周震南周震南,,0
4,33,我来了     嘻嘻嘻嘻开心,,1
3,34,现在在追的估计不是单身就是已婚,,11
3,34,打个卡，我去看结局先,不在,0
2,34,44打卡,,0
1,34,赤赤来了,糖炒栗子,5
5,34,终于等到你,,0
4,34,南极星打卡,Paggy,2
2,34,中牟郭鹏鹏来了,,2
4,34,打卡打卡,Chen,0
5,35,我来啦,,3
1,35,周震南圣诞节快乐[喜欢],shcry＆,0
5,35,来了,,0
2,36,吖,,0
4,36,感觉好快啊，这就临近尾声了,,0
1,36,最强综艺，强势来袭,,0
1,36,何运晨，薛俊杰，李浩源，棒棒的,,0
3,37,大家圣诞节快乐！,,10
4,37,舍不得！！！！,,1
0,37,啊啊啊啊啊我不复习来看啊1111,,0
5,38,边自卑边追节目的我,a.常靜靜,5
6,38,令人自卑的综艺，我来了,,0
3,38,来咯来咯,,0
4,38,令我自卑的offer,,0
1,38,啊啊啊大家圣诞节快乐呀,,0
0,38,南极星打卡,,1
0,38,我先去吃个饭哈哈哈哈,,0
1,39,为什么缓存不了高清的视频呢，缓存下来都是很模糊的,阿秋,0
6,39,令人自卑的综艺，我来了,,26
1,39,喜欢徐律,,0
2,40,啊啊啊,,3
0,40,为了徐律,,0
3,40,代言人迪丽热巴 :蓝精灵,其言,0
4,40,我来了,,0
1,40,赤赤冲啊,,0
3,40,我准备好了！！！,,0
0,40,我卡了！？！？？！！,,0
0,40,来来来,,0
0,41,徐灵菱，啥都行，人间甜豆徐灵菱,,0
4,41,卡死了……,,0
3,41,边自卑边追节目的我,,4
0,42,马太效应,,0
0,42,赤赤来了,,0
0,42,咦,,0
0,42,来了,,1
4,42,该不会只有9期吧,,0
0,42,差距还是大的，最后入职的也没啥悬念,郭大慧🌻,0
6,43,来了来了,,0
3,43,好运来组合我来啦,野肆,1
3,43,不舍,,0
4,43,我是刚从‘ 庆余年 ‘来的[白眼],,2
5,43,南极星打卡,,1
3,44,就喜欢，不准时,王.,1
5,44,令人自卑的综艺，我来了,,0
2,44,好卡,,0
2,44,大家圣诞节快乐！,,0
5,44,刚好吃饭,,0
4,45,更新了哈哈哈哈哈,Xxxxxy,0
4,45,赤赤来了,,0
0,45,马太效应（Matthew Effect），指科学界的名声累加的一,,1
2,45,边自卑边追节目的我,,0
3,45,来啦来啦,,0
1,45,浩源我来啦,,0
3,46,VIP :这么早？,,0
1,46,啊啊啊大家圣诞节快乐呀,Catherine,0
1,46,大家圣诞节快乐！,,0
0,46,我怎么觉得这像华政的模拟法庭教室...,,1
1,46,最好看的综艺既视感,,2
3,46,令人自卑的综艺，我来了,莘熙,1
1,47,1 来了,好运来,0
2,47,超喜欢他们！期待最后公布谁留下了,,0
4,47,令人自卑的综艺，我来了,,3
1,47,好期待,Molly,0
0,47,边自卑边追节目的我,君の名前,0
0,47,开始了,,0
3,47,大家圣诞节快乐！,,12
3,48,来来来,,0
2,48,VIP :就喜欢不准时,,0
5,48,下午要考英语的我来熏陶一下[白眼],,0
3,48,第一，别放了,,2
1,48,呜呜呜好省不得最后一期,,1
4,48,圣诞不出去，在家刷offer举个手,,25
2,48,好舍不得他们  要结束了😭😭,,1
5,49,再看一遍,,0
1,49,来啦~,,0
2,49,好运来组合我来啦,,8
5,49,最后一期吗,,1
1,49,妈吔，我卡死了,,0
5,49,南极星打卡,困惑,0
4,50,好运来组合我来啦,,19
0,50,前面那个我也是医学生,young,0
2,50,粥粥,Rabbit🐰,0
2,50,我来了,,0
3,50,成年人不用选择  全要,,1
0,50,周震南周震南周震南周震南,S.J.Q,0
3,51,冲冲冲,,0
4,51,要大结局了吗,,0
3,51,圣诞不出去，在家刷offer举个手,ʚ🐯 ིྀɞ,5
4,52,琨廷和郭旭在一起了各位,,8
0,52,华政的模拟法庭教室？,,5
2,52,李航洛月世无双,,3
4,53,来看我赫哥,,3
0,53,南极星打卡,,0
1,53,为陈赫而来,,0
4,54,好舍不得他们  要结束了😭😭,,17
7,54,圣诞快乐,,4
0,54,俊杰火了的名言来了来了,,0
4,54,哇哦,,0
2,54,这个综艺总是容易让我自卑啊！,,3
4,55,我来了,,2
0,55,呜呜呜好省不得最后一期,,0
0,55,哇😯好刺激,,6
6,55,是蒋舒婷推荐我来看的,,0
5,55,zhe这也太快了吧,,14
2,55,圣诞快乐！！！大家,,0
6,55,大家圣诞节快乐！,,1
1,55,来来来,,0
0,56,酷,,1
5,56,开始神仙打架了,周小点,6
2,56,大家圣诞节快乐！,小鹿比🌹,12
1,56,圣诞不出去，在家刷offer举个手,,13
3,56,太卡了吧,,0
5,56,大家圣诞节快乐！,,2
0,57,最可爱的小何！！,独家记忆,0
0,57,圣诞快乐,崔泽,1
3,57,刚下晚自习就来追哈哈哈太好看了,,4
0,57,都,～,0
0,57,好运来组合我来啦,意难平,0
3,57,比韩版精彩和专用,,2
1,58,66,,0
4,58,粥粥,,0
5,58,冲冲冲,,0
0,58,啊来了来了这期终于来了,,0
0,59,来看我赫哥,意难平,0
0,59,二刷,小李小李快乐无比,0
5,59,好运来爱您,,0
4,59,好了，我又来看神仙们打架了,,3
5,60,哇😯好刺激,,0
0,60,这衣服真帅,,3
0,60,好运来爱您,,0
5,60,圣诞不出去，在家刷offer举个手,,2
3,60,好运来爱您,,0
2,61,bgm好评,FQ.学,0
6,61,这么多圣诞宅家里的吗,,0
3,61,小晨晨，姐姐来看你,,28
1,61,圣诞不出去，在家刷offer举个手,妮宝宝,0
4,62,VIP :zhe这也太快了吧,,0
6,62,圣诞不出去，在家刷offer举个手,,28
2,62,大家圣诞节快乐！,,0
1,62,期待,黎陌,0
8,62,看完就令人自卑的offer,,0
0,62,浩源，我来了,,0
5,62,圣诞节快乐,,6
4,62,令人激动的一期，来了来了来了！！,,1
5,63,圣诞躺床追剧,,1
2,63,我来了,,0
4,63,令我自卑的offer,九思🍓,16
0,63,再重新看一遍。,吃魚嘛,0
0,63,圣诞节考试,,0
1,63,来了南南,幽可,1
0,63,最后一期了真不舍得看,瑾时,2
3,64,哈哈哈哈,,1
0,64,2个小时  哈哈,,0
5,64,圣诞节快乐各位,,0
0,64,看看,木火相生,0
6,65,圣诞不出去，在家刷offer举个手,,2
0,65,快啊快啊,,0
1,65,这是模拟法庭,,0
4,65,速度好差啊,,0
4,65,哇😯好刺激,,0
1,66,李晨，最棒！,,0
2,66,这节目没看够,,0
3,66,这节目没看够,,22
6,66,圣诞躺床追剧,,0
1,67,追了九期，我从咸鱼变成了有理想有追求的咸鱼,,2
3,67,大家圣诞节快乐！,,0
0,67,进度条满意,,0
1,67,圣诞不出去，在家刷offer举个手,,2
6,67,好看好看好看好看,,0
3,67,一点开就有，开心,,13
1,67,呜呜呜，不够看，只有这一期了，,,1
1,68,但是律师也很累,,1
5,68,律师真的好酷,,0
3,68,圣诞躺床追剧,,6
2,68,小何小何,,0
1,69,圣诞快乐,过儿,0
1,69,等了一周，终于来了,,0
4,69,圣诞快乐宝贝们,,0
5,69,好早啊,,7
2,69,打卡,,0
1,69,真是太不准时了，就喜欢你这样,,0
0,69,最可爱的小何！！,踏花归来，春暖花开,0
2,70,浩源第一,,2
3,70,令我自卑的offer,,0
1,70,每周都要被这个综艺自卑一次,,10
0,70,一直在刷新,,0
3,70,圣诞不出去，在家刷offer举个手,,1
2,70,哈哈，总是不准时,,1
1,70,我咋看不见人,,0
6,70,来了老弟,,2
1,71,开心,朱朱,0
3,71,我等到了哈哈哈哈,,13
0,71,很爽哦,,1
3,71,为什么我的看不到V几, A @浪漫过一生,0
3,72,VIP :这是模拟法庭,,0
3,72,来看好运来,,10
6,72,这节目没看够,,1
1,72,喜欢郭旭！超喜欢！就是喜欢！女神,帥,0
1,72,令人心动的律师，令人心动的offer,,27
4,73,加油,陈志,0
5,73,好运来，加油,,0
0,73,不想结束,,0
2,74,圣诞躺床追剧,,0
1,74,终于有时间来看了,,0
1,74,最后一期了么？,,0
3,74,我觉得郭旭只是差一个系统的学习，毕竟是跨考,7464,1
4,74,来了来了,白废,0
0,74,终于拿到手机的我，太南了,,0
4,74,希望后边再拍一部另一种职业的,,0
3,74,俊杰好帅,,3
3,74,来啦来啦，这么早[6周年],,5
6,75,就应该多出出这样的综艺,,0
2,75,浩源第一,,0
1,75,周真顺我来辽,,0
2,75,南南我来啦,,0
5,76,就最后一期了呀,,1
2,76,浩源第一,,0
0,76,来了，每周都期待,,0
6,76,不喜欢陈赫和邱晨,,0
0,76,追了九期，我从咸鱼变成了有理想有追求的咸鱼,🐱,0
3,77,这是模拟法庭,,0
0,77,为好运来组合而来,,2
0,77,施索就是个勺,,1
6,77,令人心动的律师，令人心动的offer,___沫茶,0
1,77,来了,,0
0,77,好了好了,,0
5,77,这是圣诞礼物吗,,0
3,78,圣诞不出去，在家刷offer举个手,山药蛋娃娃,2
5,78,好运来，加油,,0
2,78,陈赫？？邱晨！！！！,清早起来菱花镜子照,0
2,78,来了来了,,0
5,79,俊杰宝贝我来了,,0
3,79,差点忘记,,0
4,79,这节目没看够,,2
0,79,来辽来辽,,0
6,79,好舍不得啊,,4
5,79,希望能拍翻译职场真人秀,,3
6,79,是我卡了吗,,0
5,80,喜欢运晨,,1
5,80,时长可以的,,9
2,80,小何我来了！,,0
6,80,整个人综艺下来没有讨厌的人没有讨厌的片段,,0
0,80,好累啊，想要转行,,0
0,80,不想结束,,1
5,81,我看offer. 我婆婆看电视剧精英律师，我向她强推这个,萌🌸,0
6,81,最后一期了,___沫茶,0
5,81,嚣张,,0
6,81,这节目没看够,,3
0,81,为赫赫而来,,0
2,81,喜欢运晨,,1
0,81,想念浩源,,0
1,82,周真顺我来辽,幽可,0
6,82,令我自卑的offer,,0
3,82,圣诞躺床追剧,,7
2,82,成年人的世界里 没有那么多童话,,0
2,82,就最后一期了呀,,1
3,82,我虫来啦,,1
5,82,成年人的世界里 没有那么多童话,,0
0,82,圣诞🎄节快乐😃,踏花归来，春暖花开,0
4,83,我还想多看几期呐，太好看了,,4
1,83,希望后边再拍一部另一种职业的,啾啾栖鸟过,0
0,83,这是模拟法庭,皮卡丘,0
0,83,期末复习得动力源泉,,1
2,83,浩源我来啦,,0
0,83,怎么那么快就结束了,,7
0,83,南南来了,,0
3,84,VIP :怎么那么快就结束了,,20
6,84,小何冰莹我来了,,1
3,84,大家圣诞快乐啊,,0
1,84,有小哥哥没[不行],糖炒栗子,3
0,84,这是圣诞礼物吗,,0
2,84,好运来,,2
3,85,圣诞🎅快乐,,10
0,85,啊啊啊啊好舍不得,,4
0,85,圣诞躺床追剧,踏花归来，春暖花开,0
2,85,这节目没看够,,0
5,85,不知道为什么就是喜欢何云晨,,1
1,85,圣诞快乐,,0
2,85,好舍不得啊,,0
2,86,最后一期了,,2
2,86,浩源我来啦,,2
1,86,浩源我来啦,,0
2,86,哭辽,,0
1,86,我是来看南南的,,0
0,87,想念浩源,,0
3,87,提早了吗哈哈哈哈哈哈,,1
3,87,浩源我来啦,,12
3,87,来了鸭,,1
2,87,生日快乐,,0
1,88,圣诞🎄快乐,,1
1,88,女神郭旭！喜欢率真的女生！让人有征服的欲望,帥,0
4,88,圣诞个屁，我都没过圣诞节,,0
1,88,我来了,,1
5,88,人好多,,3
3,89,啊啊啊圣诞快乐哦，,,3
2,89,浩源运晨加油,,0
3,89,浩源运晨加油,,0
4,89,圣诞🎄快乐,,0
0,89,唉:-(,,0
4,89,周真顺我来辽,,2
4,89,不能想象没有浩源的日子,,0
0,89,希望后边再拍一部另一种职业的,Jasmine,5
4,90,邱晨？！！！我来啦,_innocent🍂,0
0,90,终于更新了,皮卡丘,1
0,90,雪碧来啦,,0
3,90,来咯 快收官了有点舍不得,,6
0,90,陈赫,古丽胡马尔,0
6,90,卡炸了,,0
7,91,小丸子来了,,2
2,91,我是来看南南的,,4
0,91,明天考法规今天来看看,,2
1,91,我还想多看几期呐，太好看了,,2
0,91,薛薛这一期要憋大招哦,,0
6,91,期末复习得动力源泉,,0
4,91,圣诞考试，刚考完试过来看 心动的offer,,13
1,91,下一期会计,,0
2,91,边刷节目边复习行政诉讼法,,2
1,92,徐灵菱，啥都行，人间甜豆徐灵菱,,0
4,92,VIP :浩源我来啦,💋媛媛千^_^,2
0,92,🎅快乐,未冉～,2
4,92,今天就结速了吗？,大头,1
1,92,圣诞节快乐,,1
1,92,今天很早,,0
2,92,好圆哥,,0
0,92,我也卡,,0
4,93,浩源运晨加油,,1
5,93,喜欢运晨,,0
0,93,今天很准时啊,,1
5,93,卡死了,,0
1,93,浩源运晨加油,,1
0,93,进不去？,,0
0,93,黑的吗,,0
1,94,这……成了我的寒假作业#,,1
6,94,圣诞🎅快乐,,0
4,94,来打卡,悠,0
5,94,圣诞快乐哦,,8
2,94,这是最后一期了吗,-4444x-,0
1,94,我喜欢梅桢，梅姐姐最棒了,,0
4,94,希望后边再拍一部另一种职业的,,0
1,95,我是来看南南的,,0
1,95,何运晨,,2
0,95,何运晨！！！,超级可爱的王可欣呀,0
4,95,谁知道一共几期啊,国哥,0
3,95,来了老弟,,0
2,96,hp好用吗，有点心动了,,3
2,96,下一季是什么职场？,,8
4,96,边刷节目边复习行政诉讼法,,0
5,96,圣诞🎅快乐,,1
2,96,新鲜感过了怎么办,,0
3,97,何运晨冲鸭,哟吼,0
0,97,为什么没有投屏的模式了,,1
2,97,不知道为什么就是喜欢何云晨,,0
1,97,看不够啊看不够  我想要第二季,,11
2,97,这是最后一期了吗,,1
4,97,我还想多看几期呐，太好看了,,0
0,97,不知道为什么就是喜欢何云晨,,3
4,97,突然想吃麦当劳,国哥,3
0,97,邱晨，爱你，小柯基,玉树临风,15
4,98,浩源最可爱,国哥,0
0,98,好运来冲呀,,0
0,98,突然想吃麦当劳,Ai 媛～💋,0
1,98,想看金融行业的,燕呐🌟,4
3,98,加油,吴世龙,0
3,98,来看我的何老师,,0
1,98,圣诞快乐圣诞快乐,,0
6,98,圣诞快乐,,0
0,99,浩源冲呀！！！,,1
5,99,啦啦啦,,0
2,99,运晨  在看吗  我爱你哦,,3
1,99,期末复习得动力源泉,,0
1,99,浩源运晨加油,,0
2,99,何运晨冲鸭冲鸭 加油加油加加油！！！！！,,0
1,99,何运晨我来了,,0
1,100,倒数第二期,,1
5,100,跨年我都不出门，在家刷offer,,0
4,100,我是来看南南的,国哥,1
3,100,来看邱晨,珂ke🌈,1
4,100,浩源运晨加油,,1
0,100,来看小薛,,0
6,100,这是最后一集了吗？？,,0
1,100,想看设计行业,,0
0,101,剑芬！,,0
2,101,不知道开始了没,,0
0,101,邱晨，爱你，小柯基,,22
4,101,何运晨,,0
2,101,浩源运晨加油,,0
4,101,突然想吃麦当劳,,3
5,101,只有我的卡还是我们都很卡啊,,0
6,101,宝贝南南妈妈来啦,,4
3,101,徐律➕徐律,,0
0,101,还没转么,,0
3,102,为优秀的大家而来,Seven,0
4,102,2020.11.20晚八点,,0
1,102,看到他们的模拟法庭  我做的简直。。,,1
3,102,圣诞快乐哦,,3
6,102,舒服,,0
6,102,陈赫[加油],,2
5,102,浩源最可爱,,0
2,102,运晨运晨运晨！,,0
3,103,周震南我来啦,,2
0,103,圣诞🎄节快乐😃,,0
5,103,何以琛！！小何！我来了！,,5
5,103,小何小何,,0
1,103,希望后边再拍一部另一种职业的,溜溜球麻麻,4
6,103,蔡留不下也可以趁这个机会学习一下中国律法补充短板,,0
0,103,下一季是什么职场？,皮卡丘,0
1,103,小何，为你打call,采采卷耳，不盈倾框,1
