uservip_degree,timepoint,content,opername,upcount
5,0,太棒了,不是吧,0
2,0,哈哈哈哈哈笑死我了,,1
0,0,好运来！！！,Xuan,0
1,0,太牛逼,,1
0,0,哈哈哈哈哈,.,0
0,0,更喜欢第一季,倩,0
1,0,第二季更厉害,,0
0,0,好运来！！！,Xuan,0
0,0,不理解一直刷第一季yyds是啥眼神,Aquarius🌸,0
1,0,为什么一定要强行带入疫情这个背景呢？,宇宇_,0
6,0,浩源像法管,冷以卉,0
6,0,好开心,冷以卉,0
0,0,虽然二季论点坚定但我站一季,Xuan,0
5,0,前面说正方听不懂的难道不是你的知识太过单薄,不是吧,0
0,0,这场很明显就是第二季强,Aquarius🌸,0
1,0,第二季的人关系好好,,0
2,0,阿啊阿啊好圆,,0
1,0,好喜欢朱一暄,,0
2,0,第一季白月光阿啊阿啊,,0
2,0,sos好圆要笑死我,,0
1,0,有能力的前提看不惯上司一定要遵循自己的想法能辞就辞,LilllY01,0
2,0,家人啊啊啊,,0
0,0,第一季专业能力更强,Xuan,0
0,0,第一季实力强于第二季,Eric赵,0
0,0,第一季yyds,Xuan,0
2,0,放大招啦朋友们,,0
2,0,又来了哈哈哈好圆,,0
2,0,正方本来就不好打好吗,,0
1,0,第一季好几个人说话都在卡顿,,0
0,0,好运来冲冲冲,Xuan,0
5,0,最爱第一季,不是吧,0
2,0,好运来,,0
0,0,第二季yyds,忍忍忍,0
2,0,好运来啊啊啊,,0
2,0,辩手邓冰莹阿啊阿啊,,0
5,0,好喜欢第一季,不是吧,0
1,0,暄暄好棒,,0
2,0,支持第一季,,0
2,0,好圆好语,,0
2,0,好圆,,0
1,0,在凑时长吗这是,,0
2,0,好圆在留大招,,0
0,0,冰莹稳定发力,Xuan,0
2,0,啊啊啊啊啊hyc好运来,,0
2,0,来看好圆高能,,0
1,0,他在画大饼呜呜,,0
3,0,晋烨太帅了啊啊,Star-Tsai,0
2,0,李浩源牛逼,,0
6,0,好看,冷以卉,0
0,0,第一季！！,Xuan,0
0,0,而且，这个正方本来就难辩,冬天的秘密,0
1,0,君合的人好欢乐,,0
2,0,阿啊阿啊浩言浩语来啦啊啊啊啊啊,,0
2,0,来啦阿啊阿啊好圆,,0
1,0,因为开头大律说了想看幽默有趣的观点呀,,0
1,0,名学看多了吧哈哈哈哈,EKo.,0
1,0,第二季配合得更好,,0
2,0,哈哈哈哈哈哈哈笑死我了好圆,,0
1,0,第二季真的好欢乐,,0
0,0,律政俏佳人啊,等风来@@,0
0,0,正方观点不好打肯定不能以现实为基础啊,Xuan,0
0,0,第二季颜值多高啊,LuLi,0
2,0,这句话出来我就知道是好圆,,0
1,0,我！不！服！,CHEESE🧀,0
6,0,浩源有才华,冷以卉,0
2,0,好圆高能,,0
5,0,支持第一季,不是吧,0
0,0,无语,Xuan,0
2,0,笑死我了我的好圆,,0
2,0,好圆,,0
0,0,两季全部看下来还是第一季优秀，一次辩论说明不了什么,冬天的秘密,0
0,0,第一季更强,Xuan,0
2,0,综上所述！啊啊啊啊啊啊,,0
2,0,四字预言,,0
2,0,高能好圆,,0
1,0,第二季明显赢了,,0
1,0,本来正方就是更加现实贴合人心吧,LilllY01,0
0,0,反正就专业性而言第一季是最厉害的,Xuan,0
1,0,第二季的关系很好,,0
0,0,第一季！！！顶你,Xuan,0
0,0,邓冰莹冲,Xuan,0
1,0,没人。,苯,0
0,0,林圣伟哥哥过来帮帮忙吧哈哈哈,强哥看影,0
6,0,这个厉害,冷以卉,0
0,0,第一季脱稿好厉害,.,0
0,0,第二季比第一季强好多,LuLi,0
2,0,高能高能好圆高能阿啊阿啊,,0
1,0,喜欢一队,dreamboatly,0
1,0,大律希望看到的有趣幽默这点只有第二季队伍做到了,,0
2,0,哈哈哈哈小何好可,,0
2,0,啊啊啊啊啊,,0
1,0,啊这，你这是强行带入啊,宇宇_,0
0,0,牛,,0
3,0,晋烨真的会聊天，让人很舒服,Star-Tsai,0
2,0,offer一是天花板,,0
0,0,第一季能力更强,Xuan,0
1,0,大律要求有趣，观点新颖，只有第二季的符合大律的要求,,0
1,0,第二季一辩说得更好,,0
0,0,第一季白月光,Xuan,0
1,0,啊啊啊啊啊爷青回,,0
2,0,啊啊啊啊啊好运来,,0
0,1,来了,告尽,0
0,1,1,,0
0,1,在,Cao.J,0
0,2,来了,告尽,0
0,2,爸爸,◆◇纯情★,0
0,2,来了来了来了,,0
1,3,有没有直接过来的[狗头offer],,1
0,3,来啦,螺丝刀,0
0,3,啊啊啊啊啊啊啊好运来,刘琳,0
0,3,真好,远方,0
0,4,嚯嚯嚯嚯,告尽,0
0,4,保持初心很理想却又很艰辛，愿大家都痛快从容且舒畅,O_o,0
0,4,实习不易,明耀,0
0,4,o,Gexiaoning,0
0,4,来了来了小何来了,小俊要长高๓,0
0,4,997的打工人,汝风,0
0,4,。。。。,坐丿,0
1,5,来了来了,,0
4,5,哈哈哈,,0
0,5,再刷,Sanctuary,0
0,5,时长太短了,密云……事与愿违,0
0,5,激动阿,⊙▽⊙,0
0,5,哈哈哈哈哈哈,匆匆那年的过客,0
0,6,[厉害][厉害][厉害]赞,屈婉毅,0
0,7,第一季YYDS,晒太阳的小蜥蜴☀,0
0,7,1,正,0
6,7,故宫,,0
0,7,1,,0
0,8,啊啊啊啊啊啊好运来,子了子了啊,0
0,9,双厨狂喜,⊙▽⊙,0
0,9,啊啊啊啊啊啊啊，我的好运来，给我锁死,F,1
0,9,激动阿,‭‭,0
0,10,好运来,20级检验三班武悦,0
0,10,啊啊啊啊，我的第一季白月光来啦！,小林子,1
1,10,啊啊啊啊冰莹！,星星,1
0,10,6,时不我与,0
0,10,哇哇哇,Zero,0
3,11,打卡,如冰th,0
6,11,好运来,,1
0,11,1,正,0
0,11,哇塞，真的梦幻联动,bulin bulin💕,0
3,11,打卡,如冰th,0
0,11,来了 来了,陆健豪,0
0,11,为好运来组合而来,Jellyfish,0
0,11,啊啊啊啊啊啊啊，我的好运来，给我锁死,佳✨,0
0,12,1,正,0
0,12,111,阳光之子,0
0,12,1,正,0
0,12,1,正,0
0,12,1,正,0
0,12,1,正,0
0,12,上一集预告里面不是有他们吃饭吗？？,　　　　　　,0
0,12,1,,0
1,12,好运来好运来！,,1
4,12,关明博fw,,0
0,12,1,正,0
0,12,1,正,0
0,13,1,正,0
0,13,1,正,0
0,13,来了,婉拒知恩数次,0
0,13,1,正,0
0,13,1,正,0
0,13,1,正,0
0,13,1,正,0
0,13,1,正,0
0,13,1,正,0
0,13,1,正,0
0,13,那,✿҉͜余࿆生࿆͜❀҉࿈,0
0,13,1,正,0
0,13,啊啊啊啊啊啊啊，我的好运来，给我锁死,白月光,0
0,13,1,正,0
0,13,1,正,0
0,13,1,正,0
1,14,好运来！！！！！,元气糖,1
0,14,啊啊啊啊终于来了，就为了等到你啊,小林子,0
0,14,好运来啊啊啊啊啊,一根肋骨.,0
0,14,好运来！！！！！！,发光中勿扰,0
0,14,1,正,0
0,14,1,正,0
4,14,何运晨，绝对理想型,,0
0,14,1,正,0
0,14,何运晨,躲进你怀里,0
0,15,来看第一季的小朋友啦！！！,十年之约👑,0
1,15,我的好运来啊,。。,1
0,16,好运来！！！！yyds,白月光,1
0,16,小何,顾筠离,0
0,16,好运来！！！！yyds,…,0
0,16,啊啊啊啊，我的第一季白月光来啦！,,0
0,17,好运来我来啦！！！！,婀,3
0,17,放下倍数，我要细细看,,1
0,17,何运晨，绝对理想型,魑魅魍魉,0
0,18,来了,失心疯,0
0,18,好运来！！！！！,lllllll,0
0,19,1,正,0
0,19,为好运来组合而来,L,0
4,19,啊啊啊啊啊啊啊，我的好运来，给我锁死,,1
0,19,好期待,,0
0,19,煜成意难平,平,0
0,20,1,正,0
0,20,来了,踏过ベ荒骨+™,0
4,20,可以看到好运来啦啊啊啊啊,,1
3,20,谁赢了,,0
