uservip_degree,timepoint,content,opername,upcount
6,0,留下我花钱的痕迹,,0
1,0,前面骂茶的给爷爬,桃漫野_,0
0,0,各位面相大师闭嘴吧,海盐胡辣汤,0
6,0,发型好看,冷以卉,0
6,0,晓哥加油,冷以卉,0
0,0,哇哇哇,YJ,0
6,0,之前错过了,冷以卉,0
4,0,好奇心使我付费 看完我也要努力了,recenter,4
0,0,四个名额,YJ,0
0,0,为什么是秋。。。。。。,YJ,0
0,1,.,白,0
1,1,其实1.13日看不用付费，就是得等,偏爱只给周深.,5
0,1,打卡,阿aaa,0
0,1,都是花了钱的，说话硬气点,数学，人类进步的阶梯😏,0
6,1,哈哈哈,懒洋洋的懒羊羊,11
6,1,富贵使我们相遇,Evan,6
3,1,看完结果舒坦了,,18
2,1,来了来了,,0
5,1,1,,0
3,1,来了,如冰th,0
7,2,中,,1
1,2,为周深怒冲3元子,,18
6,2,哈哈哈哈哈,,1
6,2,准备花钱了,,15
3,2,人间理想何运晨,,6
5,2,腾讯视频上。,.,0
5,2,666,ice💋,0
5,2,留下留下花钱的印记,,13
3,2,留下花钱的痕迹,,13
5,2,优秀,,0
4,3,完结撒花。敬请期待下期神仙打架,,0
6,3,打开,王甜甜ღ,0
5,3,nn,噺】,0
5,3,付费？,雯雯🍓,9
0,3,爱了,.,0
7,3,111,那一年叫“千年”💯,6
5,3,剩了3块钱,大飞 Ethan Wang,1
3,3,不想花钱，现在看,,5
6,3,来了,,3
6,3,啦啦啦啦啦啦啦,,4
6,4,看看,,0
5,4,哈,,2
5,4,真好,,0
6,4,打卡,,3
0,4,都不舍得看,星光点点🔮🎏🎪,0
6,4,终于能看了,,0
4,4,1554,时光丶,7
7,4,。,观海,0
8,4,气人,,1
6,4,真的很好看，为什么那么快就没有了呢？,,29
5,5,。,🌸LuLuLu.,1
3,5,啊啊啊啊希林宝贝,,14
7,5,一,,2
1,5,留下花钱的痕迹,,6
2,5,直接来看大结局了,,0
3,5,什么意思 大结局要给钱？不给不开奖？,,99
6,5,故宫,,0
3,5,莫西莫西,,11
6,5,啊这,,0
6,5,哼哈,,1
3,6,加油💪,,0
6,6,看看,,4
3,6,吐槽,堇,13
6,6,打卡,,0
2,6,何敏泽参加过最强大脑第七季,,4
2,6,来了来了留下💰💰的痕迹,,3
1,6,有,,1
1,6,李晋晔这是为你花的钱（骄傲）,,37
5,6,会员都不可以看,,11
6,6,1,正,0
6,7,666,周传雷,0
3,7,最后一期还要充三块钱才能看。,,1
2,7,留下花钱的气息,,2
6,7,来啦,,0
6,7,还有付费的?,,5
6,7,留下花钱的印记,,62
1,7,谁走了,,1
8,7,还,,3
5,7,来了来了,,15
4,8,哈,,0
6,8,来了,自在如风的少年,0
6,8,最卑微的VIP了 都充值了还看不了还要在给钱明年不充了,,13
3,8,留下我花钱的证据 我的3大洋,,51
0,8,没有vip，终于来了,,1
5,8,来了,松鼠,3
1,8,为了深深忍痛花了三块钱[狗头offer][狗头offer][狗头offer],,81
6,8,Hk,,0
6,8,还好,,0
3,8,来啦,如冰th,0
2,9,之前没看过，在恶补,,2
2,9,哈哈哈哈,,0
0,9,深深我来了,A 桃花园  电话 18833569896,0
7,9,好,Derek,1
6,9,No,,0
8,9,Dak,,2
6,9,气人,,0
4,9,嗯,,0
2,10,为什么我横屏看不了画面，竖屏可以,,19
5,10,心酸来送钱了,铭哥ヤ,18
6,10,n,林子大了。,0
0,10,q,扮甛,0
1,10,没花钱，今天看,,1
3,10,尊贵的VIP会员，你的3元特权已生效,需要努力的人_,32
1,10,留下一个三块钱的弹幕,Edenms,12
2,10,来了,,13
2,10,真的有人买吗[笑哭offer],海南,5
2,10,我等【哭,葫芦,12
0,11,可口可乐,大家嗨起来,0
1,11,一晔知秋啊啊啊啊,,43
5,11,居然要3元,,4
3,11,综艺也要钱了,,5
5,11,为啥买不了,,1
3,11,留下花钱的证据, 不温柔の菇凉。,16
6,11,我,,0
3,11,希林！！！！！！,,0
1,11,深深我来了,,4
1,11,giao,,3
6,12,啊啊啊,,0
4,12,李晋晔这是为你花的钱（骄傲）,长&安,4
1,12,付费,,0
6,12,巨龙降临,,7
3,12, 留下花钱的印记,,37
6,12,666666,周传雷,0
5,12,付费，可真棒,,1
4,12,现在看什么都要钱,0蓝朵o0,13
1,12,啥时候免费啊,,0
3,12,来了 不花钱的VIP来看了,小余小余会魔法,0
6,13,和,书霸,0
6,13,我们都是有钱人,,5
1,13,来了来了,,36
2,13,什么意思 大结局要给钱？不给不开奖？,棉棉的小熊🐻,36
6,13,希林 我来了,,0
4,13,嘎嘎嘎,,6
1,13,希林希林,,9
2,13,哎付费,,2
3,13,希林！！！,,0
6,14,好家伙，VVIP,,31
3,14,呵呵,,1
1,14, 来了来了,星辰.,2
3,14,来看了,Archon20508,0
1,14,什么时候免费？,,0
1,14, 留下花钱的气息,玲玲,1
4,14,居然还限时?这么狗,,1
4,14,来了,,0
3,14,花钱了，必须留下脚印,稳场小可爱🙈,5
2,15,加油王骁,,2
4,15,谁进了,,0
1,15,来咯,偶尔路过的阿陌,11
5,15,谁谁谁,.,0
6,15,忍着泪买了[加油],,8
3,15,花钱留个爪印,🔥神秘伙🔥,6
1,15,都冲起来,,12
4,15,秋怡值得三块钱,,0
2,15,3元还可以接受,,42
3,16,会员都不可以看,汤汤,0
2,16,为了深深忍痛花了三块钱[狗头offer][狗头offer][狗头offer],,2
5,16,？居然要花钱,い柒指红尘だ醉じ,0
5,16,三块留个名,,1
1,16,好家伙，为了丞丞,,24
4,16,留下花钱记号,,9
3,16,居然要3元,,3
2,16,脑子一热，三元大洋无了[狗头offer][狗头offer],,1
3,16,来看希林,正小粒,30
4,16,熬不住，还是给了,,3
6,17,为什么要花钱,然,8
1,17, 留下花钱的印记,,0
3,17,留下花钱的证据,,3
4,17,什么时候不用付费,,2
5,17,富贵让我们相遇,黑夜雨,8
3,17,尊贵的VIP会员，你的3元特权已生效,,16
1,17,干,Guan,0
2,17,怎么买啊我要崩溃了,,0
1,17,花钱了。打卡！,玉米,0
4,17,我是不是第一位,,29
0,18,咸鱼 : 服了,,0
1,18,我的3元就这样没了，竟然只能享受7天？！,🍦,3
4,18,3块钱 留痕,,2
2,18,留下我花钱的证据 我的3大洋,cyinhe,0
1,18,哈哈哈,,0
2,18,花了3块钱,,20
0,18,留下6r证据,李仁鑫,1
3,18,没买哈哈哈哈,Nuyoah,0
3,18,都是花钱的了,MIko,24
3,18,心酸来送钱了,,4
4,19,深深,cc,1
0,19,我从第三季来的,燃烧,0
5,19,来了,,5
4,19,没给钱,,0
0,19,希林宝贝这期小淑女造型,/,9
1,19,第一次花钱，要留下点足迹,,29
5,19,现在看什么都要钱,,2
3,19,下周看. 三元也是钱啊,红（板鸭）,22
2,19,什么意思 大结局要给钱？不给不开奖？,,1
1,19,留下一个三块钱的弹幕,,10
3,20,在座的各位都是土豪,butterfly,3
1,20,心酸来送钱了,,1
1,20,我花钱了,,2
1,20,花三块来看,,2
5,20,eeee还要付,,12
3,20,现在看什么都要钱,小年华,0
2,20, 留下花钱的印记,,1
5,20,呜呜呜,,17
4,20,哇！,,0
8,20, 来了来了,,1
0,21,哈哈哈哈哈哈哈哈,将暮未暮,0
2,21,3块钱买来的,品格男人,1
1,21,留下三块钱的弹幕,,9
6,21,来看希林,,6
5,21,我的好运来啊,燕儿,1
3,21,3块便宜,Fluffy,11
4,21,好家伙，VVIP,,0
5,21,居然要买,Peace on,1
2,21,留下花钱的证据,,0
4,21,咸鱼 : 花了3块钱,🧂,1
2,22,咸鱼 : 花钱了打卡,,1
1,22,好不舍得呀，第二季要结束了,李憨憨,34
5,22,我要留下花钱的痕迹😂,,17
1,22,？？？,,0
0,22,希林希林,星空,0
1,22,花钱了 花钱了,N.,17
1,22,付费吗,🍓,0
1,22,留下花钱的爪印,杨杨,2
2,22,为什么投不了屏,🍑P桃妹,0
3,22, 都冲起来,,4
1,23,都是有钱人,陈默.Silence,1
3,23,希林加油,Jun,9
1,23,i了这就是三块钱吗,,1
0,23,我是vip,郑十肆,0
4,23,为周深买了点播，最后一期了好不舍得,,10
2,23, 留下花钱的痕迹。。。,Mi Manchi,3
1,23,3块使我们相聚,yeah,1
4,23,花钱留个记号,,5
1,23,花钱,,0
2,23,送钱人,,13
2,24,现在就是3元，以后可能就是5元，10元了....都是大家惯的,小梁同学,5
4,24,李晋晔，王骁，詹秋怡,,19
4,24,花钱留个证据,路人甲,7
3,24,花钱了！, 阿欣么么哒,0
2,24,3元还可以接受,缘来,1
4,24,希林娜依高,,0
4,24,花完钱感觉自己老豪横了！！！！,夏南,21
1,24,交钱了呜呜呜,,10
3,24,留下花钱的痕迹,,26
5,24,没忍住买了  发个三块钱的弹幕,,0
1,25, 呜呜呜,℡メМr(｀O´)o［斌］,0
5,25,[狗头offer]钱钱钱,嘉倩🙈,0
6,25,留下花钱记号,韩 亚 雪,0
1,25,都是花钱的了,小鬼妮克y,1
5,25,留下三块钱的弹幕,,0
6,25,来来来来,,6
3,25,我来了,_♐️,13
5,25,谁进入了,,0
4,25,哦吼第一次花钱来看,,2
0,25,花钱的痕迹,,0
2,26,花钱了硬气起来哈哈哈哈,,0
2,26,来看希林,,4
4,26,3快不贵,,21
3,26,付费是什么意思,,4
5,26,三块钱嘛 还行还行,,0
3,26,喜欢橘哥,,5
6,26,赌王骁李晋晔刘昱诚,,0
2,26,我来证明我花钱了,归零_,3
6,26,发个弹幕值三元钱,蔓特宁,14
1,26,有人吗,,15
1,27,留下3元的痕迹,天空空,3
4,27,咸鱼 : 花钱了 花钱了,,0
2,27,~来了我,C625C929,7
2,27,钱呀,星星有泪,6
1,27,三元组,,0
3,27,纠结了很久 还是来送钱了,婷 W,1
3,27,在座的各位都是土豪,,0
2,27,希林妹妹我来了,,3
2,27,心酸来送钱了,,0
3,27,花钱解锁大结局，实在等不及了,,30
1,28,我来了 我哭了,香妃,13
