uservip_degree,timepoint,content,opername,upcount
6,0,不会说就换个词呗,,0
0,0,丁辉好惨,YJ,0
6,0,之前没怀孕，就是无故旷工三天,,1
6,0,八月五号才四周，七月一号怀的什么运？,,2
3,0,对朱之前有好感 现在是一点都没有 说话要礼貌客气啊,微笑诠释@一切,0
3,0,太可了,陈良斌,0
2,0,丁辉闪闪发光,,0
3,0,啊这,陈良斌,0
0,0,搞笑,一朝一夕,0
0,0,这个保时捷就说了一次。。。。,YJ,0
0,0,王骁本科学校一般哎，只是感觉家里有钱,leilei,0
2,0,丁辉脱稿了啊啊,,0
3,0,Good,陈良斌,0
0,0,三十确实不大啊，未来可期,YJ,0
0,0,熬夜建模的人看offer激励一下自己,,0
6,0,七月一号还没怀孕，自己算下,,0
6,0,丁辉说完都冷场了，还没有压倒气氛？,,0
2,0,他脱稿了阿啊,,0
0,0,不是三辩吗,YJ,0
3,0,太惨了555,陈良斌,0
6,0,八月五号才四周，七月一日怀了吗？就是旷工三天,,0
1,0,史律真的人精,诗羽,0
0,0,是不是会对本科不好的实习生有偏见啊？,被窝哲学家,0
1,0,别随便说别人🍵好吗 你了解别人多少有资格这么说？,诗羽,0
3,0,？好没礼貌啊,微笑诠释@一切,0
1,0,地主家的傻儿子哈哈哈哈,诗羽,0
0,0,优秀不等于没礼貌 不择手段,胖大虾米,0
1,0,瞿泽林抓点总是很到位啊,诗羽,0
3,0,努力了，没结果[555］,陈良斌,0
1,0,为了辩论而辩论,诗羽,0
0,0,这就是社会，律师界就是这么现实,阿布,0
2,0,丁辉阿啊,,0
1,0,要是丁辉写成斯坦福哥们的内容 绝对也是倒数第一,诗羽,0
2,0,看见都在说朱我真的很欣慰,,0
0,0,随便一个都比朱辩的好,Reborn,0
0,0,这人品堪忧 小人,Reborn,0
0,0,我滴酒不沾，,YJ,0
3,0,加油,陈良斌,0
1,0,王律人真的挺好 ,诗羽,0
0,0,服了，一群人在这里对斯坦福大学毕业的人指指点点,龚文艳13719760274,0
2,0,丁辉阿啊阿啊阿啊,,0
0,0,这女的好自负,YJ,0
0,0,明明支持的更好啊,王玲玲,0
3,0,范丞丞也是慢热型 有共鸣吧,,0
0,0,用得着你们喜欢吗,海盐胡辣汤,0
3,0,王炸,陈良斌,0
1,0,这娃看着傻傻的 老能抓到点上,诗羽,0
1,0,徐律好美哦,诗羽,0
0,0,三年都不改,阿布,0
3,0,还可以 但延迟过夸张,微笑诠释@一切,0
0,0,第三季写医生的最好看,YJ,0
3,0,不喜欢他的嘴，咧太大,Star-Tsai,0
1,0,病假是劳动者最基本的休息权,诗羽,0
1,0,内容本身也有问题啊,诗羽,0
3,0,z真的有点过分,陈良斌,0
0,0,王觉得自己好厉害，其实是个蛋,YJ,0
0,0,劳动局,YJ,0
0,0,一年律师经验 但是有多年工作经验,　　　　,0
0,0,厉害,YJ,0
0,0,朱就是沒有受过毒打自我中心的小姑娘吃几回亏就知道了,嗯呢,0
1,0,王律是相对客观些,诗羽,0
3,0,这难道不讨厌吗？,,0
1,0,有经验反而成错了,诗羽,0
3,0,年轻不是理由 心智的成熟和知识的补充还有眼界才是,微笑诠释@一切,0
0,0,这个没说出个所以然,YJ,0
0,0,他不会觉得她哭起来很好看吧手还一直扇受不了,星月童话,0
3,0,2021 8.21报道,陈良斌,0
3,0,范丞丞,,0
2,0,终于提到了备孕了,,0
1,0,说的好,诗羽,0
3,0,丁辉太自作聪明,Xx夏,0
4,0,公司看的是将来能创造的价值，不能感情用事,,0
0,0,球亦是不是摩羯座,D.w.t,0
1,0,一宣这才叫原则性错误吧 ,诗羽,0
3,0,朱太不行了,陈良斌,0
0,0,我一点也不介意，就不能让让小孩子吗？一群老人在那说,王玲玲,0
