uservip_degree,timepoint,content,opername,upcount
5,0,来看丞丞,,7
2,0,冲啊,小只拿,13
4,0,来啦宝贝们，刷了半天,,0
1,0,明星大侦探职场版,,0
5,0,来了，丁辉,,5
1,0,说实话是的，有时某些节目会有画蛇添足,,0
6,0,压点出没,Mr.Hans,6
3,0,现在怎么掐得这么死？,,7
4,0,第一！！,,2
5,0,第一☝️,,0
6,1,兴民,,0
3,1,来,如冰th,0
6,1,啦啦啦,,0
7,1,哈哈哈哈哈哈,,9
1,1,范丞丞穿好衣服,,0
6,1,是我的,,4
3,1,糖,格格巫,0
8,1,牛逼,,2
1,2,过于准时，爱了爱了,,8
5,2,今年,,0
1,2,冲,今天你背单词了吗,2
4,2,来了来了,,3
7,2,我,,0
5,2,时长感人,,3
6,2,123,,0
6,2,好好,,0
2,2,没等到周深更博，先来看节目吧, 心心心,11
6,2,好好补补v,张艺兴的正牌女友,0
7,3,家,,0
4,3,时长可,,6
3,3,丞丞来啦,🙃,2
4,3,哈哈哈哈,,0
7,3,好看,,0
3,3,有人唛,,4
3,3,我看谁不发第一！,,6
4,3,。,,0
2,3,一晔知秋我来啦我来啦！,,7
5,3,！,墨言若雪,1
3,4,丁辉！冲！！,,2
1,4,来啦,,4
4,4,第一,,0
2,4,来了,固執,2
3,4,1,烂人,2
8,4,q,,1
2,4,打卡，嘻嘻嘻,活体非酋,5
6,4,撒撒,,1
6,4,额,,0
5,4,艾玛 来了我,Charon.,11
3,5,牛蛙,,0
5,5,某,,0
6,5,什么时候,李娓东,1
3,5,厉害,,1
8,5,还可以,,0
6,5,东风风光该喝喝观复嘟嘟是哒湿哒哒,,10
0,5,来饿了,t.,16
3,5,抢位,,8
5,6,终于来了,,1
5,6,11111111,,1
1,6,大哥来了,胡黄他爹,2
1,6,来了来了看周深了，想死你啦,sususu,10
3,6,更新啦,凡客,6
6,6,打卡,,0
4,6,来了来了,,9
2,6,来了,,15
4,6,来看周深啦！,Zfare,4
6,6,来咯来咯,,2
1,7,第一,easy,0
2,7,来了,,0
2,7,深深，我来啦,想做缸里的猪猪米,4
6,7,他,,0
4,7,1,,13
1,7,丞丞我来啦,,9
0,7,姐姐妹妹站起来,╰☆╮微笑 掩饰我的悲傷,0
2,7,我来了,,9
