uservip_degree,timepoint,content,opername,upcount
0,0,为什么找不到第四期,LUAG,0
6,0,这个,冷以卉,0
0,0,所以深深就是小时候没有足够的关爱，所以他比较不自信,,0
2,0,郭律的笑,,0
0,0,丁辉真的很棒,嗯呢,0
3,0,人家说英文也没啥,清晨*,0
6,0,鹿晗,冷以卉,0
1,0,王姐是我学姐啊 冲,,0
0,0,为什么没有第四期,,0
0,0,保时捷要走了吗？他人很好我也舍不得,YJ,0
0,0,丁辉人很好很好相处,YJ,0
2,0,王姐阿啊阿啊,,0
0,0,啊啊啊啊王骁加油！！,甜岛.,0
2,0,丁辉前程似锦,,0
0,0,李好惨，每次二选一都不是,YJ,0
6,0,感觉每个人都很优秀,冷以卉,0
0,0,瞿总是原始合伙人,任其自然,0
1,0,救命我已经三室一厅了,,0
0,0,走的都是我喜欢的,YJ,0
0,0,这个女的确实厉害,YJ,0
0,0,保时捷长的挺帅,YJ,0
0,0,好想磕这两个,YJ,0
0,0,太牛了,YJ,0
6,0,清晰明了,冷以卉,0
1,0,经济学？？？？？,,0
0,0,怎么没有第四期了,被窝哲学家,0
6,0,谢耳朵像,冷以卉,0
0,0,呜呜呜,YJ,0
1,0,晓哥你就是我榜样 呜呜呜,,0
0,0,南希像日本人。。发型也是,,0
0,0,是刚哭过吗,,0
1,0,梁律真的好温暖啊 很正义的感觉,Gqa,0
0,0,王姐好搞笑哈哈哈,好運,0
2,0,哈哈哈哈哈笑死我了,,0
1,0,那个新来的男生讨厌死了,,0
1,0,唉，不敢看了,菁华浮梦,0
0,0,我哭了，好残忍，喜欢辉哥有好发展,YJ,0
0,0,新来的就算厉害 不尊重别人也不太好吧,夏天一颗柚子,0
0,0,这才感觉没有法律基础深厚的感觉吧,夏天一颗柚子,0
1,0,看杨天真说话学到了很多,,0
0,0,没说就说明没在ppt里啊,夏天一颗柚子,0
0,0,自信王姐快回来！！！,甜岛.,0
0,0,丁辉和保时捷,YJ,0
0,0,这两个是不是在一起了,YJ,0
0,0,丁辉是太多年轻人的缩影，,嗯哼,0
2,0,哈哈哈哈哈哈,,0
0,0,对，这个我不是法学的都知道,YJ,0
0,0,厉害,YJ,0
2,0,王姐牛,,0
0,0,瞿总 你这样不怕美美子生气吗,金昇河北-冰冰,0
2,0,好可爱,,0
6,0,都是聪明人,冷以卉,0
0,0,不敢了你就没有现在的成就了姐,YJ,0
1,0,是secret不是screen...,诗羽,0
0,0,为什么没有第四期,边梦琦,0
1,0,为什么没有第四期,,0
0,0,你疯了，粉丝全跑，谁买产品,Pacifica,0
0,0,新来女生怎么看着那么不友好啊,夏天一颗柚子,0
6,0,我也紧张了,冷以卉,0
1,0,果然商法不分家,,0
0,0,有些弹幕仿佛对男团无感就很有能力一样,烟雨微微,0
0,0,这走路姿势,余归故里,0
1,0,加油王姐,,0
6,0,律师都好瘦,冷以卉,0
0,0,丁辉的离开让我觉得我也离开了,淡然(拒聊),0
0,0,好帅好酷,YJ,0
0,0,这个女生好看？,YJ,0
0,0,为什么没有第四期啊,好運,0
0,0,这个男的手。。。。,YJ,0
0,0,保时捷和丁辉,YJ,0
0,0,哎,YJ,0
0,0,平凡的我们必须要有破釜沉舟的勇气！,嗯哼,0
