uservip_degree,timepoint,content,opername,upcount
0,0,去,任其自然,0
0,0,哈哈哈哈哈😂,YJ,0
0,0,不是 斯坦福水杯呢,昭hui,4
0,0,好讨厌南希紧追晋晔,夏天一颗柚子,0
0,0,她都忘了还有个女生,YJ,0
0,0,666,YJ,0
0,0,太牛了,YJ,0
0,0,还哈哈哈哈好酷,夏天一颗柚子,0
0,0,骁哥 carry啊,夏天一颗柚子,0
0,0,这把李可能会输,YJ,0
3,0,王颖飞真的弱,Xx夏,0
0,0,王姐真顺眼,瞳安,0
0,0,我要跟晋谒一起住,チョウ,0
0,0,哈哈哈哈现在看王姐有点可爱,夏天一颗柚子,0
1,0,煜成终于能和晋晔一组了,,0
0,0,她就是喜欢晋,YJ,0
0,0,王律看了直摇头,.,0
1,0,不是 斯坦福水杯呢,,0
1,0,新来的男的 攻击性有点太强了,Gqa,0
1,0,王骁学会谦虚了,Gqa,0
1,0,我受不了了,,0
0,0,何作为一位男性，说话为啥非要发嗲拖音呢？盼赶紧下线,长鲸,0
0,0,讨厌新来的,夏天一颗柚子,0
4,0,碧梨的歌！,嬴迟,0
0,0,我笑了哈哈哈,LUAG,0
0,0,我也是从医学生那季过来的,CC-,1
0,0,这好简单,Reborn,0
1,0,跟晓哥快,,0
0,0,那叫双sha,任其自然,0
0,0,颖飞好好看,Monsoon,0
3,0,最后结辩本来就该王骁来做，是闵哲毛遂自荐揽下来的,Xx夏,0
0,0,只是最高法的指导案例确实是有参考性的,诗羽,0
0,0,干饭人,任其自然,0
3,0,这要不是综艺，这个闽哲死的会很惨,猪猪女孩👧🏻,0
1,0,肖哥干他,,0
0,0,她在说我老板,等风来@@,0
3,0,碰杯，不是凡是比自己大的都要让他在自己之上吗？,lily,0
0,0,干得漂亮！,『絕メ戀』,0
0,0,想看保时捷参加，一定很好耍,YJ,0
0,0,哈哈哈哈,YJ,0
1,0,生吃的味道有点像葡萄干,Gqa,0
2,0,针不戳,蔡蔡,0
0,0,我十几岁爸妈就说过杯子低的礼仪，这何咋回事,좋아한다💙,0
1,0,回忆杀真的不行,,0
1,0,好讨厌这个新的男实习生,利利,0
0,0,声音大一点啊刘,YJ,0
0,0,举杯子太高了,YJ,0
6,0,但是你排兵布阵强,冷以卉,0
0,0,又说别人帅又说别人声音好听,YJ,0
0,0,哈哈哈哈哈哈不问 直接丢 太搞笑了吧,夏天一颗柚子,0
0,0,高那么多，疯了,CC-,0
0,0,李太听话了,YJ,0
0,0,李他想换,YJ,0
0,0,我国就不是判例法国家啊没毛病,诗羽,0
0,0,卧槽,YJ,0
0,0,你这样的能融进去也太可怕了吧,夏天一颗柚子,0
1,0,骁哥收敛了,·南方小涵·,0
0,0,南希好白,YJ,0
0,0,不是打嘴仗，而是为保障双方当事人的辩护权,诗羽,0
0,0,南希是狠人呀,嗯哼,0
0,0,可能,YJ,0
0,0,真的不舒服,夏天一颗柚子,0
1,0,太娘了这个人,诚信经营,0
0,0,到底在看什么？一开始就说了辩论,海盐胡辣汤,0
0,0,梁律绝了哈，直接堵死了,诺荷,0
2,0,好喜欢刘煜成,,0
0,0,为什么她一开始那么觉得自己牛 为什么小瞿和丁辉要走,夏天一颗柚子,0
0,0,新来的好不友好呀,夏天一颗柚子,0
6,0,王晓很好,冷以卉,0
1,0,王姐挠他,,0
0,0,比王姐还会舔,YJ,0
0,0,救命啊,,0
2,0,笑死我了王姐,,0
0,0,每次都是控方开始,YJ,0
2,0,啊啊啊王姐,,0
0,0,这人也太好笑了吧,夏天一颗柚子,0
6,0,颠着走,冷以卉,0
6,0,王晓变好了,冷以卉,0
0,0,我爱王姐,瞳安,0
0,0,…………………,夏天一颗柚子,0
0,0,内增高好明显,YJ,0
0,0,其实他说的对，就是人太讨厌了,YJ,0
1,0,挠他,,0
0,0,。。。。。。。。,夏天一颗柚子,0
0,0,哈哈哈你又来了,YJ,0
0,0,南希姐姐求不要叫晋晔 谢谢,夏天一颗柚子,0
0,0,控方太难了,YJ,0
0,0,哈哈哈,YJ,0
2,0,我喜欢王姐,,0
0,0,李赢,YJ,0
0,0,黑何黑出感情了，笑死,YJ,0
1,0,笑死了哈哈哈哈,LilllY01,0
6,0,进步了越来越好,冷以卉,0
0,0,她就是对李有好感,YJ,0
0,0,明明是分工，怎么变成了他们有工作，我们没有,桃桃子,0
0,0,这个飞老是犯错。。。。,YJ,0
3,1,下期丁辉做嘉宾。冲鸭,,10
0,1,打卡,阿aaa,0
7,1,来了,,1
2,1,求求泽林丁辉回来吧,Elaine,9
6,1,😲,渤海明珠,0
7,1,哈哈,,2
5,1,讲这些有什么用？,一帆风顺141319,4
7,2,追追追,,1
4,2,第一,,0
7,2,哈哈哈哈哈哈,,2
3,3,零零落落,i沐橙,0
0,3,来看yamy啦,,5
6,3,。,,1
3,3,可是可是可是可是,,2
8,3,好看,,3
0,3,王伟杰,挽,0
6,3,月,,0
1,3,丁宣散了哇,,0
6,4,嘎嘎嘎,,4
6,4,了,,0
0,4,我也是从医学生那季过来的,哄哄,1
0,4,现在已经开始喜欢你,|灬休xian裤|,1
1,4,阿巴,,0
5,5,来了冲冲冲,,2
0,5,啦啦啦,Gu.,0
6,5,111,,0
3,5,来看深深宝贝,阿飞,2
4,5,打卡,,1
5,5,1,1,0
0,5,我来啦,波士顿晚报,0
4,5,哈哈,,0
0,6,A,绕指柔化百炼刚,0
7,6,哈哈哈哈哈哈,,3
4,6,深深子我来晚啦,童颜物语～儿童摄影18173058882,15
0,6,哈哈哈,蓝眼泪~,0
0,6,王伟杰王伟杰王伟杰王伟杰王伟杰王伟杰,挽,0
6,7,来啦来啦来啦,💋李小沫💋,0
5,7,-,,0
6,7,。。。,,0
1,8,丁辉我来了,青玉微微,6
8,8,今天,,0
4,8,为周深再刷一遍❤️,lilyfang,0
6,9,好看,,0
4,9,ohp,,0
5,9,突然想问，他们不录节目的时候在干嘛？哈哈,,4
2,9,为了周深而来,向日葵,0
5,9,来啦！,,0
6,9,哈哈哈,,0
6,10,咔咔咔,,1
2,10,打卡丞丞,,0
0,10,来了来了,爱吃清炖鸭肉的布朗尼,0
0,10,我也是从医学生那季过来的,卿柚,0
3,10,第一,,0
6,10,第一,,0
5,11,打卡,简简单单,1
5,11,來了來了來了,,0
3,11,看了上期的预告，特地的来打开弹幕，骁哥弄他！,,1
1,11,江江你看到这一期了吗？,,0
3,11,！,,0
4,11,来啦来啦深深,马猴烧酒daisuke,0
4,11,时常不错,,2
4,12,哦豁，深深我来了,,2
6,12,丁走了,Tirion,0
