uservip_degree,timepoint,content,opername,upcount
0,0,可以补缴但是之前不支付,YJ,0
0,0,这个最简单了，哈哈哈工伤劳动仲裁，一般都是伤者胜,YJ,0
6,0,到底多少杯子,冷以卉,0
0,0,苹果为了保护隐私 不允许电话录音的,诗羽,0
1,0,哈哈哈,青青河边草,0
0,0,这个工伤保险这个太简单了,YJ,0
1,0,提前啦，哈哈哈,,2
0,0,好讨厌 新来的两个都好狗腿,夏天一颗柚子,0
0,0,错了，一次性伤残补助金是不可以支付的,YJ,0
1,0,哈哈哈,,1
2,1,来啦,慕烊.𐂂,1
0,1,何老师很好,,5
4,1,干饭人蹲点儿干饭,,5
4,1,为深而来,糖小糖,0
1,1,first,,3
0,1,丁辉来了,Z,0
0,1,咯咯咯默默哦, ,0
2,1,深深我来了,,5
0,1,王然梁，我喜欢你,,2
6,1,好,,0
3,2,职场鹅 : 丁辉来了,,4
2,2,深深我来啦~,yxy,0
0,2,[狗头offer][瑞思拜]/,,0
0,2,何老师做最好的自己，不用管流言蜚语,,4
4,2,第一。,,5
2,3,深深,,4
5,3,来啦,,0
4,3,何老师看到不友好评论不要太伤心，,,10
1,3,雪琴和丁辉来了啊啊啊啊啊比心比心,lasting,8
6,3,来看丞丞,,2
4,3,准时观看！第一个,╯Davini-X,2
3,3,辉哥 我来了,,4
3,4,干饭鹅 : 第一,,1
1,4,范丞丞我来了,伊人,0
1,4,范丞丞我来啦,,1
3,4,来了,,1
6,4,丁辉丁辉[6周年][6周年][6周年][6周年],,0
6,4,签到签到签到,雯,0
1,4,第一个人,葡萄优益C,1
7,4,1,,2
2,4,就喜欢不准时,🌟Lemontea💦,7
1,5,看到这句话你就已经不是第一个了,,25
2,5,丁辉算是宝藏男孩,,0
2,5,亲爱的何老师我来了,無有view-菲菲,2
6,5,老冷了,,0
1,5,第一55分,疗,6
8,5,usus就是计算机考试啊,,2
1,5,高杨真俊,Lamb,2
4,5,辉哥我来了,,0
7,5,，,,0
8,5,积分,^O^ YSYWL ^O^,0
4,6,深深我来啦,Hilary,0
3,6,不准时哦,A？,6
6,6,祝自己生日快乐！,,6
5,6,U,TANK,3
3,6,哇哇哇！,,0
4,6,合身,M,0
5,6,来了,,5
5,6,llll,独殇,0
1,6,第一次这么早来,,6
1,6,准时,,0
5,7,来啦！！！！,九千七  丶,1
3,7,来了来了,,6
1,7,来了来了来了,,1
2,7,丁辉，我来啦我来啦！,,19
4,7,来了来了来了来了来了来了来了来了来了来了来了[6周年],,4
3,7,深深,,0
1,7,第一第一,live,2
1,7,来啦！！,,3
5,7,来啦来啦,,4
1,7,来了,swag,0
4,8,就喜欢鹅的不准时,被时光埋藏的秘密,4
3,8,前排,,3
6,8,我来啦,,0
5,8,哈哈,,1
1,8,11,,0
0,8,阿,1229216840,0
2,8,就喜欢你不准时[划重点],,6
5,8,第一！！！,老地主,5
3,8,丁辉！！！！,,0
5,8,来了第一,Final Chapter.,10
3,9,芜湖来咯来咯,,3
4,9,来啦来啦,,2
6,9,心动，来了,80后的男人,0
3,9,1,落叶🍂,0
1,9,第一！！,哄哄,11
3,9,很前排,小吴。,1
4,9,就喜欢腾讯视频的，提前更新,,3
1,9,第一,Cactus,0
1,9,第一,一顿三碗米一天七顿,1
5,9,第四,,2
5,10,辉哥我来啦,,9
1,10,1111,,1
3,10,第一？？,,0
3,10,yi,Shona🧸,0
1,10,来了！我辉哥,,2
1,10,第一,Darcy,0
6,10,第一,,2
3,10,前排,,1
4,10,第一,,1
4,10,看到这句话你就已经不是第一个了,,0
2,11,干饭鹅 : 啊啊啊啊啊啊啊啊啊,,3
2,11,来看辉哥和撒撒同框,🌟Lemontea💦,15
3,11,我来了，看范丞丞,,0
4,11,深深深深深深,,0
1,11,19.53,葡萄优益C,2
0,11,打卡,阿aaa,0
1,11,王＊晨会在吗？,,3
6,11,l,,0
1,11,开始了,,4
2,11,打卡打卡,活体非酋,1
4,12,抢个前排，嘿嘿,,3
4,12,丁辉丁辉！,,0
4,12,喜欢你的不守时,虎虎上将 ,0
3,12,不准时爱死了,,0
5,12,来了，开始了,时光,1
4,12,不守时,,11
5,12,终于出来了，刷新了好多遍,,13
3,12,来啦来啦,,6
0,12,喔哦哦,暖色,0
1,12,嗨,,0
1,13,干饭鹅 : 1111111,,0
5,13,1,1,0
3,13,丁辉，我来啦我来啦！,,9
6,13,我只是来看新人被骂的 哈哈哈,,5
1,13,准时来,,7
0,13,深深我来了,Yee,0
3,13,来啦,,2
4,13,前排前排,,1
1,13,范丞丞我来啦,lavender--萱,0
2,13,为了看丁辉的,,0
6,14,干饭鹅 : 来了来了,,0
0,14,看到丁辉来了，立马激动,紫嫣,0
1,14,来了,,0
4,14,丁辉,,1
2,14,来了来了深深,,7
1,14,来了来了,嘉元,0
4,14,哇塞，我前面有四个弹幕，那我就是第五个呀,,19
3,14,辉哥我来了！,救赎‖执～天,0
2,14,辉哥万岁,,0
1,14,丞星姐姐打卡,,6
6,15,干饭鹅 : 第一,,0
2,15,我才是第一！！！！！！！！！！！！,好大一颗花椰菜,0
2,15,真早,,0
1,15,来啦来啦,,0
5,15,堂堂腾讯，怎么能这么不准时呢？继续保持,,6
0,15,丁辉丁辉[6周年][6周年][6周年][6周年],SakURA ruo Xue,0
4,15,来啦,,0
1,15,来了来了,😳,2
6,15,111114,,0
2,15,了小李看来,niño,3
4,16,周深我来看你啦！,Zfare,2
1,16,苦等了一周就是为了看丁辉,123456789,0
1,16,周深我来了,邓伦苏🍭,0
3,16,就喜欢不准时,,4
0,16,辉哥我来啦,二十四点整,0
3,16,第一,,0
6,16,来了，开始了,,0
1,16,我来啦,柚子,4
4,16,一叶知秋我来了,,21
4,16,丁辉来了,,0
2,17,干饭鹅 : 啊啊啊啊啊啊啊啊等到了,,0
6,17,aha,,0
3,17,深深我来了,深深的米,0
2,17,来看辉哥和撒撒同框,,10
4,17,来看丁辉,霸占你的温柔,1
4,17,欧,,0
2,17,丁辉我来啦,9979.,2
2,17,第一第一！！！,一枚奶糖,2
5,17,来了,,0
0,17,丁辉丁辉！,二十四点整,0
4,18,丁辉，我来啦我来啦！,v,2
3,18,为丁辉而来,,0
1,18,辉哥我来啦,,0
3,18,来看了,Archon20508,1
0,18,来啦,捂风挽笑,0
1,18,我果然很早,捞月亮的渔明,4
4,18,来了来了,の翼,3
2,18,丁辉，你在看吗,,12
6,18,我是来看丁辉的,,0
2,18,来了,瘦到100斤了吗？,0
2,19,来了来了来了没,,6
1,19,打卡！！！,,0
4,19,已经这么多弹幕了？,节原,0
2,19,欢迎丁辉回来,,4
2,19,辉哥，我来了,,1
