uservip_degree,timepoint,content,opername,upcount
0,0,啊呀 时间问题没被揪出来,夏天一颗柚子,0
0,0,郭律好帅,鱼找鱼虾找虾,0
0,0,希望新人赢,YJ,0
1,0,是啊我学术考试贼紧张 考驾照就是不在乎 虽然没过,Rrrrrrrrr,0
6,0,叫安迪吗,冷以卉,0
0,0,新人加油,YJ,0
0,0,秋怡居然进了。。。。,YJ,0
4,0,第一次,,6
4,0,没第一 前三怎么也有了吧,啊青青青青xi👏,2
0,0,哈哈哈何要哭了,YJ,0
7,1,h,,0
6,1,嗯,,1
6,1,每日弹幕任务,,0
5,1,发个语音,Goldfish  🐠,3
6,1,啦啦啦,,0
5,1,来了,月^O^*,1
1,1,第一次看小高第二次看 offer,,0
7,1,一,,0
0,1,那你,加糖的小米粥,0
3,1,颗粒打卡,,5
0,2,打卡,阿aaa,0
6,2,哈哈,,1
2,2,来了来了,,0
4,3,好准时！！！,肥妹伊,7
1,3,只为看深深,敏子,5
1,3,河北..师大..附中...就这个？,,0
6,3,重刷,,3
3,3,希林,,1
3,3,深深，来啦,,4
8,3,打卡,,0
5,3,好看,,1
4,3,深深我来啦,Hilary,9
7,4,U,,1
6,4,1,,0
4,4,来啦,,0
8,4,666666,,2
1,4,4:18卡住的时候 get到了飞行嘉宾的颜值🐸,,3
6,4,西意,,2
1,4,范丞丞我来了,伊人,9
6,5,深深，来啦,,0
3,5,来了,,2
0,5,终于等到希林~~~,/,14
4,5,有趣的来了,,0
2,5,来啊,,1
4,5,打卡,,0
0,5,我来啦,,2
1,6,希林宝贝我来啦,,7
6,6,就喜欢你的不准时，19.51,虎牙女侠👑,17
5,6,反反复复,,1
6,6,啦啦啦,,0
4,6,期待希林娜依高,犬次郎,13
6,6,只为看深深,,0
5,6,666666,,0
0,7,史律组 : 来了,浅笑心柔,0
6,7,好准时！！！,,1
3,7,有邓冰莹吗？,真心,1
3,7,希林娜依高希林娜依高,芬落纷飞爱已逝,1
0,7,11,,0
3,7,哇哈哈哈哈哈,,0
3,7,终于不收费了,.,1
5,7,第一第一,,3
5,7,詹秋怡,,0
8,7,深深我来啦,　,1
5,8,来了来了,,1
3,8,第一,Tianyi ZHEN,10
4,8,1,,0
2,8,希林我来了！,,3
