uservip_degree,timepoint,content,opername,upcount
0,0,现实中只有护士会，医生根本不可能帮脱鞋,佡蒂蕾菈,0
0,0,下一季来个程序员吧,⚭,0
0,0,其实对病人说话，语速还是应该慢一点！否则真心听不懂,大灰灰,0
0,0,新裤子诶,寂地年华,0
0,0,p真好,不吃饭要睡觉,0
0,0,我们医院八十,文锦,0
0,0,打卡,无极尊,0
0,0,打卡,无极尊,0
0,0,不不不,tin.,0
0,0,审计吧,！,0
0,1,q,　,0
0,1,来了,Styx,0
0,2,在,.,1
0,2,来了,Moonlight^,0
0,2,。,Sunny＇s,0
0,3,加油,勉强可爱,0
0,3,。,半岁的老年人,0
0,4,南丁格鹅 :  好,houbaolin,0
0,5,南丁格鹅 : 来啦,Sylvia.,0
0,5,我,檬 ぃ,1
0,6,南丁格鹅 : 嗨,清,0
0,6,来了！,TAA,1
0,7,搞,随性,0
0,7,深深我来啦,Maggie,0
0,8,南丁格鹅 : ！,嗯呐,0
0,10,南丁格鹅 : 来看周深,Kim ,0
0,10,哈哈哈哈,出现,0
0,11,潼南县,烟花、易冷,0
0,11,签到,百分之一,0
0,11,来了来了！,Amber琥珀时光,1
0,11,下一季中医吧，该宣传和发展我们中医文化,Tíng,1
0,12,南丁格鹅 : 乌拉拉,时间煮雨我煮饭,0
0,13,来了,似华如金～,0
0,14,南丁格鹅 : 来来来,小鹿飞飞,0
0,14,快坎坎坷坷,Rᴜɴ ɪɴᴛᴏ,1
0,14,嗨, 嘿+++地道,0
0,15,下一季中医吧，该宣传和发展我们中医文化,🐰Barbie Moon🐰,2
0,15,冯琛冯琛,離殤,0
0,15,阿,Huan,0
0,16,冯琛冯琛,彳亍,1
0,16,下一季中医吧，该宣传和发展我们中医文化,喵喵喵喵喵喵喵,0
0,17,纯烨，加油,ohh,0
0,17,天天,子弹,1
0,19,好看,Joyce,0
0,19,南丁格鹅 : 终于更新啦！！offer的天使们！深深！！,Amber琥珀时光,0
0,19,来了,。,0
0,20,南丁格鹅 : 好看,%吥嬞璦綪＆,0
0,21,就要结束了，舍不得,舍,1
0,21,最后一期,大晨晨,0
0,21,斤斤计较,Rᴜɴ ɪɴᴛᴏ,0
