uservip_degree,timepoint,content,opername,upcount
0,0,南丁格鹅 : 来了,special,0
0,0,啊哈哈哈哈哈哈哈哈哈哈,parkone,0
0,0,上电视还是很克制的样子,碘伏遇维C,0
0,0,刚入职的医生都还是很暖的，只是生死见多了，就被磨平,西西,0
0,0,想念何老师和撒老师,每天都在累屎的边缘,0
0,0,遇到严师是幸运,‭,0
0,0,你们不觉得他像张翰吗,Scott,0
0,0,说话好快啊，应该当律师😂,子慕,0
0,0,巫术？,叶子,0
0,0,也没有到灼伤的地步吧,大王派我去巡山,0
0,0,选医的时候，多数人并不清楚自己的选择需承担的责任,天堂＆旅途♀,0
0,0,她病例文件名是《不能睡觉的offer 第一天》😂,子慕,0
0,0,求安排化学专业,流弊的文哥,0
0,0,要笑不活了这面试,H,0
0,0,经验越多要求越高,碘伏遇维C,0
0,0,好像眼花,🐼,0
0,0,对中医也感兴趣。,‭,0
0,0,胡海泉可拉倒吧,Lynn,0
0,0,哈哈哈,提线ミ木偶,0
0,0,啦啦啦啦,咕咚,0
0,0,四年前我初到临床也是紧张担心,♛旧晴天＆Triste🌸,0
0,0,哦额,辰潇,0
0,0,护士也要全记住，还要告诉病人让他自己记住,Rae~~,0
0,0,额,阿灿,0
0,0,这女的适合董梁那一组,Lynn,0
0,0,完全不过，就算不是领导也是长辈,子慕,0
0,0,高尚很优秀,梦里烟花。,0
0,0,想看航天或者搞芯片,左闹闹.,0
0,0,什么时候有师范生,加点奶盖,0
0,0,大二医学生刚刚学到黄疸[祈祷],jin,0
0,0,不要觉得学历高就是神，神也要历劫的，给人家点时间,阿辞.,0
0,0,来了,╰丶初晴°,0
0,0,入职一年怎么还参加呢……,‭,0
0,0,哈哈哈哈,团团,0
0,0,冯琛会逆袭的,我叫某某某,0
0,0,一次性播完会死吗,小🐑,0
0,0,提醒一下某些人，这是选医生，不是选爱豆,放逐,0
0,0,手术是一点差错都不能有的,9,0
0,0,没经验的 谁上都懵,碘伏遇维C,0
0,0,专家呢？,古道西风瘦马,0
0,0,好喜欢陶医生,梦里烟花。,0
0,0,我不如直接帮你吃得了,parkone,0
0,0,能不能顺着放不要下集预告上级告回顾中间还重复,小🐑,0
0,0,教师教师教师,XLin,0
0,2,来了,吃饱,0
0,2,深深我来啦,秋秋,0
0,2,来啦,Guanine,0
0,3,南丁格鹅 : 哈哈哈哈哈哈,琉璃月影,0
0,3,帅哥坤,馨雨星晴（十二）,0
0,3,来了来了来了来了来了[祈祷],小熊饼干🍑ᰔᩚ,0
0,3,的,大雄,1
0,4,南丁格鹅 : on,大雄,0
0,5,南丁格鹅 :  哎呀,包子,0
0,5,来了,纸鸢,0
0,6,南丁格鹅 : 来看了,。,0
0,6,找,✨,0
0,7,学霸鹅 :  6,,0
0,7,情定三生,咨元,0
0,9,南丁格鹅 : 来咯,逝去 گق,0
0,9,666,Luxifa-😉,0
0,9,[针不戳]，,吴茜,0
0,11,南丁格鹅 : 会计专业,徒劳👻,1
0,11,还是喜欢有何炅和撒贝宁的观察团。,xueli,2
0,11, 加油,小潘,0
0,12,把真实打在公频上,♛.,0
0,12,加油,"?默＇然""",0
0,12,蔡徐坤 我的老公,👠,0
0,13,来看学姐挨骂啦,浮生未央,0
0,13,把真实打在公频上,你好烦,0
0,13,蔡徐坤蔡徐坤[祈祷][祈祷][祈祷],Pamper,0
0,14,终于盼来了，啊啊啊啊啊啊啊啊,△顾我安稳,0
0,14,。,…,1
0,14,灵魂的共鸣,摇曳的风筝,0
0,15,南丁格鹅 : 。,芋,0
0,15,。,芋,0
0,15,老公坤坤,⁢,0
0,15,。,芋,0
0,15, 来咯,普通青年,0
0,15,深深我来了,昶昶,0
0,15,蔡徐坤哈哈广告,揽江月,0
0,15,来了,   良风,0
0,16,。,芋,0
0,17,代言人爱了,82.,1
0,17,没想到看综艺也能看到大帅哥蔡徐坤哈哈哈,Atopos,0
0,17,规培住院医的我已经开始紧张了,聪,0
0,18,南丁格鹅 : 蔡徐坤，蔡徐坤,故是,0
0,18,我来了,风向决定发型d,0
0,18,蔡徐坤,82.,2
0,18,加油,。,0
0,18,ok,谁都玩不过我,0
0,19,学霸鹅 :  下一季程序员程序员程序员,醉酒不喃,0
0,19,[医者仁心]请提高医生的福利待遇吧,Liangyx．..♫♪,0
0,19,下一次的会不会是教师,KYX🍓,0
0,20,教师和公务员都要考，不适合offer,露Lu,0
0,20,坤坤也太好看了吧,程程,1
0,20,坤坤！,池一.,0
0,20,坤坤也太好看了吧,彤_Toria,0
0,21,坤坤也太好看了吧,小陈小陈心想事成,0
0,21,还是喜欢有何炅和撒贝宁的观察团。,Silencio,0
0,21,  医学生前来报道🥲🥲🥲,揪一口奶糖 🥛,0
0,21,还是喜欢有何炅和撒贝宁的观察团。,婷,0
0,21,坤子,南芜,0
0,21,真的好棒这期，让我们了解各个行业是干嘛的报考不迷茫,mia,0
0,22,代言人爱了,Jude,1
0,22,蔡徐坤好帅[针不戳],YOUNG,0
0,22,蔡徐坤哈哈广告,池一.,0
0,22,蔡徐坤呐,.,1
0,22, 帅坤,微凉,0
0,22,还是喜欢有何炅和撒贝宁的观察团。,豆豆奴,0
0,22,爱上王蕊了，好乖的样子,爱意藏不住.,0
0,22,没想到看综艺也能看到大帅哥蔡徐坤哈哈哈,海纳百川,0
0,22,鸡你太美,F,0
0,22,医学生前来报道🥲🥲🥲,小明,0
0,23,咸鱼 : 下一季财经吧,请叫我喵,0
0,23,还是喜欢有何炅和撒贝宁的观察团。,独白,0
0,24,南丁格鹅 : lxj，我爱你我爱你我爱你,Wrz,0
0,24,蔡徐坤呐,池一.,0
0,24,医学生前来报道🥲🥲🥲,superfancyu,0
0,25,还是喜欢有何炅和撒贝宁的观察团。,娇玛仕.邢维桥ꫛꫀꪝ,1
0,25,坤坤,Atopos,0
0,25,没想到看综艺也能看到大帅哥蔡徐坤哈哈哈,小陈小陈心想事成,0
