uservip_degree,timepoint,content,opername,upcount
0,0,点灯环节和何比起来差太多仪式感和参与度,Plugins,0
0,0,哈,吾勉之,0
0,0,这时的李不言就像回答结构化面试的我,万亩良田,0
0,0,有主任带多难得啊,vedra shi,0
0,0,毛不易是护士,太阳当空赵,0
0,0,想看警察👮,太阳当空赵,0
0,0,建筑学安排一下！,Plugins,0
0,0,真不想听这个胡海泉乱说话，请的什么主持人啊,Joy,0
0,0,阿姨要出院了,WD,0
0,0,职场新人都这样，加油,vedra shi,0
0,0,啦啦啦啦,咕咚,0
0,0,这该病人害怕了吧,碘伏遇维C,0
0,0,太吓人了,vedra shi,0
0,0,我是病人 直接吓死了,碘伏遇维C,0
0,0,我要笑死了,WD,0
0,2,看这个容易得心脏病,来日并不方长,0
0,2,嘎嘎嘎,``随遇而，安,1
0,8,南丁格鹅 : 呜呜呜我滴坤宝贝,🧐,0
0,8,加油,踏实的磁力菇,0
0,8,来了,纸鸢,0
0,9,坤酱！,葵葵,0
0,9,坤坤,揽江月,0
0,10,毛不易自己都转行了，还鼓励别人坚持😂😂,二月 红,0
0,10,南丁格鹅 : 公积金急急急急急啦啦啦啦啦啦啦啦啦,咕咚,0
0,10,南丁格鹅 : 坤坤！,🧐,0
0,12,主要是李不言太不严谨 还散漫,灰木,0
0,13,想念何老师,踏浪,0
0,13,主要是李不言太不严谨 还散漫,西柚橙橙,0
0,16,坤好帅,幽影,0
0,16,毛不易自己都转行了，还鼓励别人坚持😂😂,青衣酒客,0
0,17,法硕，🐶都不考,时光不染，回忆不淡,0
0,17,毛不易自己都转行了，还鼓励别人坚持😂😂,生有所执待少年。,0
0,17,可以换何老师和撒回来吗,踏浪,0
0,18,蔡徐坤好帅，养眼,想﹏yi个人◇丶,0
0,19,毛不易自己都转行了，还鼓励别人坚持😂😂,Polaris,0
0,19,毛不易自己都转行了，还鼓励别人坚持😂😂,暥儿行六,0
0,20,下辈子学医,时光不染，回忆不淡,0
0,20,南丁格鹅 : 报道报道！,苏子愿.,0
0,21,南丁格鹅 : 来了,将军,0
0,21,想念何老师,小靳🌴,0
0,22,南丁格鹅 : 高中生前来报到,，,0
0,22,李不言太散漫了,茶丸,0
0,22,可以换何老师和撒回来吗,青衣酒客,0
0,22,主持人掌握不了整体节奏,Atopos,0
0,24,主持人掌握不了整体节奏,Dessert.,0
0,24,南丁格鹅 : 医学生报道,千堆雪,0
0,25,可以换何老师和撒回来吗,于小鱼,0
0,26,南丁格鹅 : 周深还是去青春家族好玩些吧,a我想静静13420118520,0
0,26,主持人掌握不了整体节奏,踏浪,0
0,27,周深我来啦,玮,0
0,29,学霸鹅 : 好看,Joyce,0
0,30,撒撒何老师回来救救我吧,芷若兰心,0
0,34,南丁格鹅 : 希望两年后能顺利考取护资,Y.,0
0,34,看offer 特别喜欢刘畅和李不言,老子,0
0,38,医学生报道,王子,0
0,38,来找深深,小尹·合缘,0
0,46,想念双北的第二天,张真源白敬亭王嘉尔张艺兴的老婆🤍,0
0,48,来看周深啦,Charlie,0
0,48,看这节目真的仿佛让我想起实习那时候,Kelly~茵子,0
0,50,下次offer播建筑设计吧,1   1 1 7,0
0,50,想念何老师,River,0
0,51,下次offer播建筑设计吧,阿哩哩哩哩哩,0
0,51,咸鱼 : mxp我在看,小恬,0
0,59,咸鱼 : 惨,将军,0
0,62,南丁格鹅 : 加油 各位医学生们 我由衷地喜欢佩服你们的专业,老子,0
0,63,南丁格鹅 : 我看好这两个努力的学生,isabella,0
0,63,中医  中医  中医  来一季,🐴🐣❤️💸💶💎,0
0,63,为了周深看的节目,c larté,0
0,63,好想念何老师，孟非不会控场死气沉沉的，都看困了,_稚🌼,0
0,64,下次offer播建筑设计吧,Call,0
0,64,来了,昵大,0
0,67,期待一期护理,╰悲傷在丶指尖肆意旳回眸,0
0,68,中医  中医  中医  来一季,AlQ,0
0,69,下季看HR的吧,chowhound,0
0,69,啊啊啊,随风,0
0,69,下次offer播建筑设计吧,阿丽塔,1
0,70,下季出教师季吧,MENG🧸.,0
0,70,其实这不算卷吧,☽.Farewell,0
0,71,为了周深看的节目,Do Ra e Mon🐳,0
0,74,南丁格鹅 : 有康复的，吗,miracle,1
0,76,南丁格鹅 : 在,随风,0
0,76,急急急急急急,随风,1
0,76, 为了周深看节目,玮,1
0,78,南丁格鹅 : 一医院的高材生哈哈哈哈,居立竟,0
0,78,下次offer播建筑设计吧,昵称被我吃掉了,0
0,79,南丁格鹅 : 来跟深深学习如何说话,小尹·合缘,0
0,79,兽医派一季,安誓烟,0
0,79,想念何老师和撒老师,我想喝可乐,0
0,80,下一季   还是很有可能搞设计的   因为要在一起才能拍,昭,0
0,80,下一季设计 特别是环境设计,。,0
0,80,想看护理的offer😃,瓜子仁儿,0
0,82,下一季来一集建筑设计师的 可以请吴彦祖来当嘉宾啦,阿丽塔,0
0,84,下一季下一季设计特别是城乡规划！,。,0
0,85,依然是求双北回归的一天,简薇,0
0,86,南丁格鹅 : 来跟深深学习如何说话,生有所执待少年。,0
0,86,张洽有点帅啊！,变态准的萌神,0
0,86, 我很看好刘畅，我感觉学霸在哪儿都能很好适应，只是需要时间过渡一下,我叫不紧张,0
0,86,我来啦，来看深深宝贝啦,梁米🥥,1
0,87,南丁格鹅 : 早上三点,W,0
0,88,这才是我想的学霸的样子，值得学习,川岛泽一,0
0,88,哇 这个扶眼镜有帅到我,MVP不是我,0
0,89, 我很看好刘畅，我感觉学霸在哪儿都能很好适应，只是需要时间过渡一下,落日气泡酒,2
0,90,依然是求双北回归的一天,婷儿推荐,0
0,90,学医真的好难啊,腾讯网友,0
0,90, 周深我来了,梁米🥥,0
0,90,我就支持孟爷爷,褪色の透明,0
0,91,孟非挺好的,燃烧整个青春，只为等待你,0
0,91,跟着周深追offer,西西李,0
