uservip_degree,timepoint,content,opername,upcount
0,0,还以为是邓超,爱哭鬼~~,0
0,0,录音,晴   、   天,0
0,0,去医院经常这样，问两句就让你去检查，检查又看不出,Joy,0
0,0,我觉得他们肯定太紧张了，有些问题我都知道,小小天,0
0,0,董医生让我想起了tangoZ,Dorothy★,0
0,0,神外没有门诊  神经科门诊都是神内,✨,0
0,0,加油,苏栖,0
0,0,陶医生没来吗,梦里烟花。,0
0,0,手机录音是个好东西,Sake   _,0
0,0,可能故意靠他的,小小天,0
0,0,知识真够不扎实的,sophie,0
0,0,陶主任的小眼神啊, 幽兰自香 ,0
0,0,借鉴借鉴借鉴借鉴借鉴借鉴借鉴借鉴了,手可摘星辰,0
0,0,好可爱,Sunflower,0
0,0,医生可不敢讲这句话吧,Joy,0
0,0,这个演员厉害了呀,碘伏遇维C,0
0,0,这几个医生都好喜欢啊怎么办,古道西风瘦马,0
0,0,谢旭超啊 我选他,一九得九,0
0,0,理解？挂号后等半天，就说两句结束了，谁理解病人啊？,Joy,0
0,0,都没问过敏史吗，我头孢过敏开头孢岂不是要搞死我,树啊姜,0
0,1,栏目组真好，希望能拍更多的行业,mia,1
0,1,来看了,。,0
0,1,试一下,闫凯浪,0
0,3,学霸鹅 : 太喜欢这季的offer了,闫凯浪,0
0,4,嗯,做只猫♡.,0
0,4,你现在,风向决定发型d,0
0,4,嘿嘿,``随遇而，安,0
0,4,嗯,做只猫♡.,0
0,4,我有个问题，为什么在这里有经验就不会减分，张洽会,不在,0
0,5,南丁格鹅 : 啦啦啦可口可乐了了啦啦啦啦九江,手可摘星辰,1
0,6,南丁格鹅 : 借鉴借鉴借鉴借鉴借鉴借鉴借鉴借鉴了,手可摘星辰,0
0,6,借鉴借鉴借鉴借鉴借鉴借鉴借鉴借鉴,手可摘星辰,0
0,7,坤崽崽！,🧐,2
0,8,蔡困!!,🧐,0
0,8,来了,一生有你,0
0,8,999,Benjen Zhou,0
0,9,学霸鹅 : 来了,纸鸢,1
0,9,借鉴借鉴借鉴借鉴借鉴借鉴借鉴借鉴,手可摘星辰,0
0,9,来了,浅笑心柔,0
0,10,这个节目太好了，希望能涉猎更多行业,mia,0
0,11,南丁格鹅 : 借鉴借鉴借鉴借鉴借鉴借鉴借鉴借鉴了,手可摘星辰,1
0,11,呼唤何老师,薛皮皮,0
0,12,借鉴借鉴借鉴借鉴借鉴借鉴借鉴借鉴了,星空,0
0,14,南丁格鹅 : 来了,唯一,0
0,14,周深好帅啊！,是生米啊！,0
0,15,王蕊真的感觉不太行啊,南方之楠,2
0,16,深深我来了,屁屁,0
0,18,南丁格鹅 : 城南花开,三重门,0
0,20,蔡徐坤耶,⁢,0
0,22,嗯,做只猫♡.,0
0,23,我又来替人尴尬了,。,0
0,23,令人自卑的offer俺来了,屁屁,0
0,23,来来来了,摇了摇头,0
0,23,[医者仁心2]开始上课了，开始上课了[针不戳2],星空,0
0,25,学霸鹅 :  来了,小果妹妹,0
0,25,好看,Joyce,0
0,25,深深,outdated,0
0,25,小坤好帅呀,⁢,0
0,26,李不言应该叫李言才对,做个笨蛋EL,1
0,26,迷死我了坤坤,oo,0
0,27,迷死我了坤坤,抹柒,0
0,27,南丁格鹅 : 加油,.,0
0,30,我又来替人尴尬了,巨星,0
0,30,我老公蔡徐坤,耀月星丞,0
0,31,南丁格鹅 : 城南花开城南花开城南花开城南花开城南花开城南花开,三重门,0
0,32,我又来替人尴尬了,Fighting,0
0,33,哈哈,和光  小山,0
0,33,哈哈哈又是这块,Nuyoah,1
0,34,小坤好帅呀,AMCALM,0
0,35,深深我来啦,刘喜墨,0
0,36,南丁格鹅 : 哈哈哈又是这块,g-zhaodi的小跟班💕,1
0,39,南丁格鹅 : 来一季教师吧,糖炒栗子,1
0,39,南丁格鹅 : 哈哈哈又是这块,好好学习,1
0,40,哈哈哈又是这块,。,0
0,41,好,就你话多,0
0,41,深深同学,小尹·合缘,0
0,42,南丁格鹅 : 哈哈哈又是这块,.,0
0,43,南丁格鹅 : 李不言哈哈哈笑死我啦,好好学习,0
0,43,流 有  逆流   梦 刘畅女神，加油,云淡风清,0
0,43,希望有何老师，撒老师来主持.3季主持人没有共情。哎，,星空,0
0,43,南丁格鹅 : 哈哈哈又是这块,鲸落万物生,0
0,45,南丁格鹅 : 来一季教师吧,星空,0
0,45,哈哈哈笑喷了兄弟们,一舞动黎明,0
0,47,南丁格鹅 : 哈哈哈又是这块,好好学习,0
0,47,南丁格鹅 : 阿姨自闭了,唯一,1
0,48,跟着周深学说话,小尹·合缘,0
0,48,来看周深了,雅兰YALAN💠,0
0,48,哈哈哈又是这块,魑魅魍魉,0
0,49,南丁格鹅 : 哈哈哈笑喷了兄弟们,好好学习,0
0,50,要被李不言笑死了,星星⭐️,0
0,54,来看周深了,Aurora,0
0,55,来看周深了,星星⭐️,0
0,56,要被李不言笑死了,五行缺钱,0
0,58,毛不易我来了！,momo,0
0,58,周深我来了,星星⭐️,0
0,59,不言快乐源泉,五行缺钱,0
0,63,南丁格鹅 : 吐槽后期剪辑,A     junjun,1
0,64,来给医学生和周深加油啦,星空,0
0,69,借鉴借鉴借鉴借鉴借鉴借鉴借鉴借鉴了,手可摘星辰,0
0,70,深深，我们来了,小尹·合缘,0
0,71,南丁格鹅 : 周深我来啦,一棵水杉,1
0,75,南丁格鹅 : 来了来了,唯一,0
0,75,我来看深深啦！！跟着深深宝贝来看offer,阳吉力,1
0,75,周深,阿莉埃蒂,1
0,77,不不不 我是来看真的比我优秀的人还努力,oo,3
0,79,来看喜剧人李不言,竹子竹子呀,3
0,81,不不不 我是来看真的比我优秀的人还努力,.单.W.X.,2
0,81,看看护士们吧,，,1
0,82,我来看深深啦！！跟着深深宝贝来看offer,空城雪,0
0,83,南丁格鹅 : 下一季出会计吧！不行出财经也行！这类都没有过,🌸八夭八,1
0,84,南丁格鹅 : 太喜欢汪苇航了呜呜呜呜,薛皮皮,0
0,84,南丁格鹅 : 希望以后能有对农学对口职业的挖掘,弄玉,0
0,85,能不能让孟非走,野子,0
0,85,能不能让孟非走,不信瑶，不传瑶,0
0,85,南丁格鹅 : 看到他们感觉看到当初在医院实习的我,青柚子,0
0,86,来看喜剧人李不言,A-h,0
0,86, 来看周深和医学生,小香懿吖i,0
0,86,深深来啦,三观只偏向你,0
0,89,能不能让孟非走,太阳当空照.,0
