uservip_degree,timepoint,content,opername,upcount
0,0,有点像宋仲基呀,马者在找sth.,0
0,0,想给周深打马赛克,大王派我去巡山,0
0,0,张洽么得感情哈哈哈哈,Rosalind,0
0,0,千古诀恋,爱哭鬼~~,0
0,0,泪崩,爱哭鬼~~,0
0,0,李兄绝对天赋异禀了,碘伏遇维C,0
0,0,健健康康平平安安🙏,eryu,0
0,0,超喜欢刘畅和高尚,~/L.G.S\~,0
0,0,感谢这位患者的付出,碘伏遇维C,0
0,0,怕老人知道花钱多不愿意治了,碘伏遇维C,0
0,0,张纯烨言之无物,酱油瓶,0
0,0,病人瞬间觉得病好了,碘伏遇维C,0
0,0,能不能请撒贝宁来,古道西风瘦马,0
0,0,k,Vae,0
0,0,尴尬局面,晴   、   天,0
0,0,周深reaction过于浮夸,大王派我去巡山,0
0,0,不实操一辈子都不会做,xxxx,0
0,0,天赋型选手,碘伏遇维C,0
0,0,这歌可以大宁子,爱哭鬼~~,0
0,0,的插曲,爱哭鬼~~,0
0,0,说过之后就记忆深刻了 以后不会错了,碘伏遇维C,0
0,0,周深不整活你们是等着孟非来吗？那就不用放这边的画面,猫巴士,0
0,0,希望我不要挂到这样的医生,爱哭鬼~~,0
0,0,难怪要瞒,碘伏遇维C,0
0,2,干,Michael Scofield,0
0,4,南丁格鹅 : 来了,纸鸢,0
0,10,南丁格鹅 : 卖个萌,狼狈的演说家℡🇨🇳,0
0,10,蔡徐坤好帅啊,TforikK,0
0,16,来了看深深,汐.MK./0929💙🍚,0
0,16,蔡徐坤有点帅耶,Echo,2
0,17,南丁格鹅 : ,玮,0
0,18,来啦,T.,0
0,19,南丁格鹅 : 妈耶,Mᴇᴇᴛᝰ,0
0,19,蔡徐坤有点帅耶,葵葵,0
0,19,学霸鹅 : 大帅哥,浮生若梦,1
0,21,南丁格鹅 : 来了,SixD,0
0,26,南丁格鹅 : 好看好看,(⑉་ ⍸ ་⑉),0
0,26,蔡徐坤有点帅耶,飯賣日落,0
0,28,蔡徐坤有点帅耶,暧涐妳僦瀙瀙涐,0
