uservip_degree,timepoint,content,opername,upcount
0,0,他们关系好好，哈哈,✨钮扣,0
0,0,哇谢也太低了,YJ,0
0,0,谢每次最积极每次分都低,YJ,0
0,0,666666,创宇,0
0,0,董老师很像小沈阳,阳和启蛰,0
0,0,这个播放源有问题,柏,0
0,0,你凭什么专业知识认为人李不言最差的？,HÄTTE,0
0,0,哈哈哈果然出题了,YJ,0
0,0,她是科研型人才 暂时临床能力落后而已 后劲大,徐图自强 玉汝于成,0
0,0,高尚加油哦，看好你！,✨钮扣,0
0,0,狗狗遂遂，哈哈,✨钮扣,0
0,0,估计下一季是中医,YJ,0
0,0,这是加更版，但是正片里面就有这些内容啊？,✨钮扣,0
0,0,张洽东看西瞟的,YJ,0
0,0,湘雅行，但是李真的不行,YJ,0
0,0,也经常有人问我们这种会计专业的为什么不会点钞（一本,西茗若望,0
0,0,四川也是,YJ,0
0,0,王蕊应该属于理解型的，自己理解了记不住术语…,👀,0
0,0,哦 标题不妙,随风,0
0,0,打卡,chi_,0
0,0,高尚加油！自信,𝒮𝓊𝓅ℯ𝓇𝓂𝒶𝓃,0
0,0,确实骂了,YJ,0
0,0,23岁就有一子了,YJ,0
0,0,来了,fullsun,0
0,0,来了,不能告诉你我十四弟是谁,0
0,0,王瑞和李不言感觉是来玩的,oo,0
0,0,哈哈，脊背发凉,✨钮扣,0
0,0,66666,创宇,0
0,0,签到,LBZ Bot,0
0,1,打卡,阿aaa,0
0,1,来了,柒柒,0
0,1,人工,你还讨厌我吗,0
0,1,还好哈哈哈,l.p 🙌🏼,0
0,2,Q,心.,0
0,2,[6周年]哇,呜呼啦呼,0
0,2,°,🐱,0
0,2,来了,告尽,0
0,2,6666,白月光,0
0,3,加油啊啊啊啊,偏执狂啊,0
0,3,签到,百分之一,0
0,3,看,A.I.N.N╰_╯,0
0,3,k,Vae,0
0,3,……,cheny,0
0,3,刚刚头发长,l.p 🙌🏼,0
0,4,来了,隰有荷华,0
0,4,。[鸡腿],半生流离,0
0,4,刘畅垫底。我不信,颖茶＇,5
