uservip_degree,timepoint,content,opername,upcount
0,0,下一季出建筑师吧，天天熬夜画图赶方案,Lexi🧃,0
0,0,我奶奶病重。我们坚持做肠镜。救活了。  ,小🐑,0
0,0,所有人都丧气。可是我觉得没问题,小🐑,0
0,0,王蕊回炉重造去吧…看到她就想快进,🥥Sherry_馨予🌊,0
0,0,来啦,咕咚,0
0,0,啦啦啦啦啦,咕咚,0
0,0,看哭了,清清,0
0,0,冯琛手好稳,🥥Sherry_馨予🌊,0
0,0,来不及告别的有很多，我们不知道下一次重逢是什么时候,小🐑,0
0,0,健康最重要，我们都要健康,清清,0
0,0,顺利 感恩,WD,0
0,0,主人提问应该就是看冯琛清不清醒，清醒所以让他上手了,Rosalind,0
0,0,我很喜欢孟非,小🐑,0
0,0,我老公也做个垂体留,清清,0
0,0,啦啦啦,咕咚,0
0,1,他,孙铁鑫,0
0,1,好,我懂你意思呀.,0
0,1,啦啦,咕咚,0
0,1,王蕊花了多少钱上这节目,A¥女汉纸,0
0,2,来看了,。,0
0,2,ok,谁都玩不过我,0
0,2,来了,浅笑心柔,0
0,2,666,⁢,0
0,3,南丁格鹅 : 哈,妥当,0
0,3,加油,借、、,0
0,4,学霸鹅 : 不错不错,在sd,1
0,4,哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,🇨🇳,1
0,4,瞧一瞧,不二新之助.,0
0,5,ok,谁都玩不过我,0
0,5,啊,岚光,0
0,6,南丁格鹅 : 哈😊,🇨🇳,0
0,8,南丁格鹅 :  来了来了……,寂寞的🐟,0
0,9,南丁格鹅 : 来了来了,浮生若梦,0
0,9,南丁格鹅 : 。,。,0
0,9,文馨儿文馨儿文馨儿文馨儿,柴可夫很皮斯基,0
0,10,南丁格鹅 : 呵呵呵,Yolo.,1
0,12,来了老弟爱是一道光,Nothing is impossible,0
0,12,冯琛上啊，，，，,12y.,0
0,12,q,1m2_,0
0,14,来看毛不易,小香懿吖i,0
0,15,周深我来啦,汐.MK./0929💙🍚,0
0,16,我喜欢这个标题。,๛❁亦暮暮,0
0,17,来了来了,浮生若梦,0
0,18,我来了,drea💕 m,0
0,19,打卡坤,白若,2
0,19,南丁格鹅 : 冯琛加油冯琛加油,·-··,0
0,19,我终于看到了我手术的大概步骤,咕咚,0
0,20,南丁格鹅 : 来了来了,默默无语,0
0,21,终于到我爱的手术环节了,ぃ她是我心心念念旳等待 ,0
0,22,南丁格鹅 : 来了来了,@糖果味小仙女,0
0,22,我想问一下,伍年、,0
0,22,q,1m2_,0
0,22,来了,YT.,0
0,23,南丁格鹅 : 芜湖,Waitwait🌞,0
0,24,学霸鹅 : 来啦,叶雨童,1
0,24,看这个标题 冯琛也太强了,.,0
0,24,南丁格鹅 : 来了,Tsuki,1
0,27,深深，我来了,ぃ她是我心心念念旳等待 ,0
0,28,南丁格鹅 : 来了,111,0
0,29,做任务,伍年、,0
0,29,他们再菜，也比大部分人强[针不戳4],下一个转角,0
0,31,标题不错。,　  雨夜,0
0,31,跟着周深看offer,深💕,0
0,32,看完这个之后，我感觉自己真的无言面对父老乡亲,Too  late.,0
0,33,这个标题，冯琛真的天才啊,彼得兔,0
0,33,妈呀我需要弹幕 害怕,朝朝辞暮,0
0,33,来来来丽丽,知礼,0
0,34,南丁格鹅 : 李不言,Submerge,0
0,38,南丁格鹅 : 好看,Joyce,0
0,40,南丁格鹅 : 有点后悔现在才开始看,ro m,0
0,42,有一种任性叫会员专享,巴黎盛开的雨季,0
0,43,快被加油团一惊一乍吓死了,你的宝贝,0
0,45,hhhhh 冯琛稳了,上上签,0
0,51,那些不行的什么时候淘汰,葉小杏,0
0,55,都挺牛的，才4天，临床上4年的都未必有他们溜[针不戳4],肥肥宝宝薯,0
0,57,来看周深！,Maggie,0
0,59,深深我来了……,刘喜墨,0
0,62,南丁格鹅 : 各有优点缺点，不要恶语评价,外向的孤独患者,0
0,63,深深不怕！我来啦,刘喜墨,0
0,66, 又可以看到深深了,蔡蔡不是小老虎是小老弟🐷,0
0,66,南丁格鹅 :  我明天做开颅手术，我太难了，我丅M才9岁,aaa*❤abo,0
0,68,冯琛真的是天才型吧,😯😯😯,0
0,70,各位医生加油！观察团加油！😘周深加油！,佩佩*＾-＾*,0
0,71, 又可以看到深深了,伊伊,0
0,74,毛不易,X,0
0,76,为周深而来，医学生们加油,伊伊,0
0,84,来看周深,伊伊,0
0,86,南丁格鹅 : 周深我来了,兮宝要抱抱,1
0,88,南丁格鹅 : 刘畅加油,111,0
0,92,李不言有时那是蠢不是憨,.,0
0,94,李不言真的好可爱,锦瑟,0
0,94,打单子这里上一期有吗,😉,0
0,96,学霸鹅 :  我来了[DNA动了4][DNA动了4][DNA动了4],！,0
0,97,  周深，我来了,命运°,0
0,98,  周深，我来了,燕子,0
0,98,观察团好烦 真的好多余,❥゛时擦,0
0,99,病人表演痕迹明显,喵了个小咪子,0
0,100,打单子这里上一期有吗,K糖,0
0,100,李不言真的好可爱,平平淡淡,0
0,100,李不言有时那是蠢不是憨,赵姳越🖤,0
0,102, 不言，不言，不言,tt.,1
0,102,打单子这里上一期有吗,三只羊,0
0,102,  周深，我来了,秋秋,1
0,102,张洽,白冷,0
0,103,打单子这里上一期有吗,🧸,0
0,103, 不言，不言，不言,Carly  糯孺丶,0
0,103,打单子这里上一期有吗,Cam  Lock  Msg,0
0,104,南丁格鹅 : 张恰,息了三秋,0
0,104,观察团好烦 真的好多余,蔡蔡不是小老虎是小老弟🐷,0
0,104,打单子这里上一期有吗,左肩,0
0,106,李不言真的好可爱,tt.,0
0,106,高尚加油，我相信你。奥利[针不戳4]给,荣登地板…,0
0,107,打单子这里上一期有吗,许憨憨,0
0,108,来看李不言这个憨憨了,tt.,0
0,108, 不言，不言，不言,枫雅百合,0
0,108,张洽冯琛汪苇杭冲冲冲,Lemon,0
0,109,紫芋小深结束了，今天是黑白深,星星⭐️,0
0,109,好看,Claudia,0
0,109,张洽真的好帅啊啊啊啊啊啊,皮影戏 — 周六,0
0,110,周深，我来了。医学生们加油！,伊伊,0
0,111,张洽,Y,0
0,113,咸鱼 : 张洽这个抬眼镜我可以,大萍子🐼,0
0,113,李不言加油,哑,0
0,114,张洽真的好帅啊啊啊啊啊啊,鹿语,0
0,114,南丁格鹅 : 不是八个人吗,九转幺💕,0
0,115,南丁格鹅 : 周深周深,阿莉埃蒂,1
0,115,打单子这里上期没有,奔向幸福,0
0,115,和周深一起来看offer啦,燕子,0
0,116,没有，我作证,😉,0
0,116,打单子这里上一期有吗,时光,0
0,116, 洽哥真的是好高冷，好喜欢,易大佬,0
0,117,和周深一起来看offer啦,Augenstern,1
0,117,冯琛不错加油,Gᴜᴀɪᴊɪʜᴇɴɢ.,0
0,117,谁还能说出第一季第二季的名字嘛," 转身""薇""笑",0
0,119,张洽真的好帅啊啊啊啊啊啊,Y,0
0,119,和周深一起来看offer啦,言小言叻,0
0,120,上一期没看到有些内容啊,😉,0
0,120,来看深深[医者仁心4][医者仁心4][医者仁心4],影子,0
0,121,不言很容易迷茫,辉,0
0,121, 洽哥真的是好高冷，好喜欢,吴启红,0
0,123,咸鱼 : 张洽这个抬眼镜我可以,Sylvia,0
0,124,打单子上一期没有,😉,0
0,127,南丁格鹅 : 为啥只有七个人，我还暂停下来数了数,枫雅百合,0
0,128,医学生们不要怕累，加油，支持,Ayz.缘,0
0,130,南丁格鹅 : 小,悲喜,0
0,130,跟着周深看节目来啦！,燕子,1
0,131, 洽哥真的是好高冷，好喜欢,少女梦Bling,0
0,131,南丁格鹅 : 这什么烨的女的怎么还在，吵得不行,吴启红,0
0,131,好爱陶医生[DNA动了4],期久.,0
0,131,。,阿刁,0
0,132,加更内容好看吗,奔向幸福,0
0,132,陶勇医生和深深坐一起啦,不是山谷,0
0,132,考研上岸,迷,0
0,132,哈哈哈,Ayz.缘,0
0,133,陶勇医生和深深坐一起啦,^Dummer、,2
0,133,陶勇医生和深深坐一起啦,秋秋,0
0,135,陶医生好像尤长靖,不是山谷,0
0,135, 打单子上一期没有,眰恦,0
0,136,特意来看陶医生,少女梦Bling,0
0,136,你知道湘雅多难考吗？而且他可能只是不熟悉系统而已,七安,0
0,138,想何老师的第N天,So,0
0,138,南丁格鹅 : 深深穿这个衣服真好看,丢丢,0
0,138,南丁格鹅 : 这什么烨的女的怎么还在，吵得不行,南方之楠,0
0,139,跟着周深看节目,刘喜墨,0
0,140,南丁格鹅 : 这什么烨的女的怎么还在，吵得不行,小小墨,0
0,140,我怎么记得上次介绍好像说的第四季？。,　  雨夜,0
0,141,陶主任的西装好萌,不是山谷,0
0,141,南丁格鹅 : 这什么烨的女的怎么还在，吵得不行,North_zz,0
0,142,陶主任的西装好萌,晚开的早霞,0
0,142,.,阿刁,0
0,143,想何老师的第N天,一只瘦小的蜗牛🐚,0
0,145,陶勇医生和深深坐一起啦,刘喜墨,0
0,145,陶勇老师的衣服是浅蓝色的，好显嫩，贼帅,乐元,0
0,145,没有何老师这节目总觉得缺点什么,^Dummer、,0
0,145,就算何老师不来，不能找华少之类的吗？,A.C.,0
0,146,南丁格鹅 : 骄傲,🇨🇳,0
0,146,毛不易毛不易,962464,0
0,147,  深深新衣服好看,停停专属S̶u̶n̶n̶y̶҉.,0
0,147,陶主任好帅，,不是山谷,0
0,147,南丁格鹅 : 这什么烨的女的怎么还在，吵得不行,vanilla,0
0,149,又是这个女的emo了,拖火车的小马斯（chorus）,1
0,149,多让陶医生发言金句,停停专属S̶u̶n̶n̶y̶҉.,0
0,150,南丁格鹅 : 这什么烨的女的怎么还在，吵得不行,像昨天。,0
0,150,  深深新衣服好看,XXXX,2
0,151,周深这个造型好帅！！,liI,1
0,153,怎么又是这女的,爝火,0
0,153,南丁格鹅 : 李不言一路保送，小学就学会初中的内容了,姜姜姜,0
0,154,为什么这女的还在啊,HUI,0
0,155,深深这套衣服好看好看好看,notos,1
0,155,又是这个女的emo了,不是山谷,0
0,157,多让陶医生发言金句,六便士,0
0,157,有没有剪掉观察团的版本,南方之楠,1
0,159,南丁格鹅 : 评论不要这么苛刻吧,Z,0
0,160,跟着周深看节目，跟着周深学知识,刘喜墨,0
0,160,李不言一路保送，小学就学会初中的内容了,停停专属S̶u̶n̶n̶y̶҉.,1
0,160,说别人的同时想想自己还不如别人吧,Z,0
0,161,多让陶医生发言金句,^Dummer、,0
0,161,南丁格鹅 : 这什么烨的女的怎么还在，吵得不行,L.6-12.30,0
0,161,多让陶医生发言金句,丫头,0
0,161,多让陶医生发言金句,车燕铃,0
0,162,有没有剪掉观察团的版本,A pink,0
0,162,提意见你们都不听能不错嘛,hh,0
0,163,让你们不听专业医生的分析,桑桑桑桑.,0
0,163,深深的表情就是我了！,车燕铃,2
0,163,多让陶医生发言金句,不是山谷,0
0,164, 张纯烨很不错，发言很真诚,友人A,0
0,164,多让陶医生发言金句,终遇你🌸,1
0,164, 深深新衣服好好看,全能吃货不挑食,1
0,165,黑白马甲深好绝！,☾ 暮念°,0
0,166,周深毛衣好看,车燕铃,1
0,166,陶医生是我看得下去的动力,单身到变态,0
0,168,南丁格鹅 : 还是喜欢何老师,懒羊,0
