uservip_degree,timepoint,content,opername,upcount
0,0,不必了吧 王留级吧,碘伏遇维C,0
0,0,王蕊咋嗲嗲的,古道西风瘦马,0
0,0,男孩的友谊坚若金刚,碘伏遇维C,0
0,0,我是被骂大的。  任劳任怨,小🐑,0
0,0,爱了爱了,Sunflower,0
0,0,想起了居里夫人,诈胡,1
0,0,带资进院？,碘伏遇维C,0
0,0,王蕊加油,WAkihi,0
0,0,你是装小白兔吗,小🐑,0
0,0,好可爱,Sunflower,0
0,0,我爸也做了特别大的心脏手术，所以我也特别感谢医生,Shadow琳,0
0,0,这一对比 优劣就出来了,碘伏遇维C,0
0,0,我隐形戴久了或者没睡确实难受,小🐑,0
0,0,？哭点在哪里,逃`,0
0,0,打卡,咕咚,0
0,0,我也是,小🐑,0
0,0,傻乎乎的,Sunflower,0
0,0,气氛好得过分,碘伏遇维C,0
0,0,要不是在镜头前，脏字都能出来,tyw,0
0,0,太奇怪了,飞鱼,0
0,0,王蕊什么时候来给我按脚,~/L.G.S\~,0
0,0,剪辑问题，不要不清楚全部就随便议论,lmh,0
0,0,真的这个王蕊凭啥啊？,古道西风瘦马,0
0,0,面对这样的患者，只能这样顺着他吧,花火,0
0,0,《太奇怪了》,🥥Sherry_馨予🌊,0
0,0,啦啦啦,咕咚,0
0,0,以命换命,碘伏遇维C,0
0,0,同行衬托啊,碘伏遇维C,0
0,5,哈哈哈哈,🇨🇳,0
0,6,咸鱼 :  加油,慢慢慢慢慢慢爬,0
0,8,这个节目太真实了，喜欢😍,墟里烟雨,0
0,8,纯烨我来啦,暮里,0
0,11,南丁格鹅 : 。,杰清,1
0,12,南丁格鹅 : 她妈妈有来啊,WING,0
0,12,每日一弹签到,暮里,0
0,15,咸鱼 :  来了,Chloe,0
0,16,为什么那个姐姐走的时候，还是没有家人帮她呀？,芷若兰心,0
0,21,咸鱼 :  啊啊啊啊,时间轴,0
0,22,玛卡巴卡,泽一,0
0,24,为纯烨而来,🍒,0
0,25,南丁格鹅 :  呃呃呃,Chloe,0
0,29,来跟深深一起看offer啦！,星星⭐️,0
0,31,南丁格鹅 : 来了来了,星 🌟 月,0
0,32,为周深和陶勇医生而来,汐.MK./0929💙🍚,1
0,34,陶医生我来了,清风暖阳,0
0,34,为周深和陶勇医生而来,闻舟,0
0,37,来跟深深一起看offer啦！,闻舟,0
0,40,跟着周深一起看节目啦,闻舟,0
