uservip_degree,timepoint,content,opername,upcount
0,0,他们就是不一样的呀然后完成的也不一样 没问题,小🐑,0
0,0,同样想哭,Sunny,1
0,0,高尚说实话学历不占优,碘伏遇维C,0
0,0,刘畅白衣天使本天了,碘伏遇维C,0
0,0,哈哈哈哈哈,Sunny,0
0,0,顺便相亲一下,碘伏遇维C,0
0,0,陶医生太温暖了,碘伏遇维C,0
0,0,刘畅大气,Sunny,0
0,0,都是演戏 综艺节目 何必认真,危言危行 强,0
0,0,好可怜,Sunny,0
0,0,高尚就是被骂了拿人撒气,小🐑,0
0,0,王蕊配吗,~/L.G.S\~,0
0,0,哈哈哈哈,Sunny,0
0,0,哥们这下不行啊 失了气度啊,碘伏遇维C,0
0,0,相亲相起来了,碘伏遇维C,0
0,0,刘畅加油，以后未来的科研一定有你,Sunny,0
0,0,刘畅 你也好优秀 谦虚,WD,0
0,0,不言适合临床,Sunny,0
0,0,这俩吵架也挺直接的。  不会背后怎么样,小🐑,0
0,0,我想骂他,古道西风瘦马,0
0,0,恕我直言 孟非主持offer比何炅更能让我看下去,逃`,0
0,0,这不比汪蕊所谓地嘴上说有心？,马者在找sth.,0
0,0,迷茫,碘伏遇维C,0
0,0,你敢让他们给你治病？？,刺猬,0
0,0,研一就开颅 大伙记一下,碘伏遇维C,0
0,1,啦啦,咕咚,0
0,2,南丁格鹅 : 王蕊犯的错,本色,0
0,2,来啦,咕咚,0
0,5,啦啦啦,咕咚,0
0,6,啦啦啦啦,咕咚,0
0,7,姐姐,``随遇而，安,0
0,8, 来了,熙熙,0
0,8,啦啦啦,咕咚,0
0,9,啦啦啦,咕咚,0
0,10,南丁格鹅 :  我还是不能理解王蕊是为什么,荔枝味的珍珍,1
0,10,南丁格鹅 :  我还是不能理解王蕊是为什么,梨花熏雨,0
0,11,南丁格鹅 : 来了,鲸落,0
0,11,南丁格鹅 :  我还是不能理解王蕊是为什么,宝贝,0
0,11,南丁格鹅 :  我还是不能理解王蕊是为什么,与你初见,0
0,12,南丁格鹅 : 坤坤哇偶,㫪,0
0,12,我刚和完酒，王蕊给我开点头孢,起风了,0
0,12,啦啦啦,咕咚,0
0,13,这个标题我喜欢。,昧光,1
0,14,南丁格鹅 :  我还是不能理解王蕊是为什么,酈酈.,2
0,15,我就想知道王蕊什么时候走,Ssssy_,0
0,15,标题笑了,今天你分手了吗,0
0,17,南丁格鹅 : 好帅,难拥,0
0,18,下一季拍老师吧,为了明天,2
0,18,王蕊能进真是yue了,好好学习,0
0,18,好家伙,。。,0
0,20,王蕊分高我是莫名其妙的,骑牛看象,0
0,20,南丁格鹅 :  我还是不能理解王蕊是为什么,😉,0
0,21,王蕊能进真是yue了,小朋友,1
0,21,坐等新人,六碗减一,0
0,21, 来了来了来了,咕咚,0
0,22,南丁格鹅 :  我还是不能理解王蕊是为什么,如果。,0
0,22,南丁格鹅 :  我还是不能理解王蕊是为什么,我就是天上来的小仙女呀,0
0,23,我就想知道王蕊什么时候走,😉,0
0,23,我就想知道王蕊什么时候走,小鱼干,0
0,23,我也不太理解王蕊的分为什么都是那么高,玉蘨,0
0,23,我刚和完酒，王蕊给我开点头孢,wldaddy,0
0,24,南丁格鹅 :  我还是不能理解王蕊是为什么,是你的,0
0,24,南丁格鹅 :  我还是不能理解王蕊是为什么,Jhbbbhcjd,1
0,24,王蕊是王院长的女儿吗？整天在大家面前表现得无辜可爱,👀,0
0,25,王蕊是王院长的女儿吗？整天在大家面前表现得无辜可爱,肆拾玖,0
0,26,王蕊是王院长的女儿吗？整天在大家面前表现得无辜可爱,小鱼干,0
