uservip_degree,timepoint,content,opername,upcount
0,0,我们畅姐人美心善,南木,0
0,0,高尚这名字可真浪费,南木,0
0,0,笑死 高尚你有脸吗,南木,0
0,0,科学的尽头就是玄学,碘伏遇维C,0
0,0,听君一席话就像一句话,淡然，淡然,0
0,0,大气一点,碘伏遇维C,0
0,0,？ 高尚是怕完不成工作吧,南木,0
0,0,高有什么资格笑,南木,0
0,4,啥也不说了，支持畅姐,陌.№,1
0,4,这标题我喜欢！让我来看看洽哥救场到底有多帅[DNA动了7],嗨,0
0,6,南丁格鹅 : 畅姐冲鸭！,是小夏天啊,1
0,8,打卡,咕咚,0
0,9,加油啊刘畅小姐姐,·H·,0
0,11,高尚气死我了啊啊啊啊啊啊,璟鲤Құралай,0
0,12,这期的标题就说明了一切,Merry,0
0,12,完蛋了 张洽让我着迷,سيزو,0
0,13,畅姐最棒,是涵涵最爱的虎虎,0
0,14,洽哥又成标题了，不过我喜欢,紫嫣,2
0,16,刘畅真的很好很大气,Trick.(欺骗),0
0,16,自己不够优秀还要怪别人比你努力吗,·H·,3
0,16,畅姐畅姐我来了！,🦄,0
0,16,我喜欢这个标题,O泡果奶,0
0,16,完蛋了 张洽让我着迷,L,0
0,17,我喜欢这个标题😀,Merry,0
0,17,学霸鹅 : 加油！,记忆里的芬芳,0
0,17,喜欢冯琛和刘畅[针不戳7][针不戳7][针不戳7],小白,0
0,17,洽哥又上标题了,小猪仙,0
0,18,我喜欢这个标题😀,Peter,0
0,18,畅姐真牛，真正的学霸，情商也高,bu～jiu💕💕,0
0,19,我喜欢这个标题,E_VER,0
0,19,畅姐帅气,Joyce,0
0,20,高尚根本当不上刘畅的同事,春眠,0
0,20,高尚根本当不上刘畅的同事,·H·,1
0,20,我喜欢这个标题😀,👀,0
0,21,南丁格鹅 : 啊啊啊畅姐我来了,Merry,0
0,21,加油刘畅，你是最棒的,E_VER,0
0,22,高尚根本当不上刘畅的同事,我就是天上来的小仙女呀,0
0,24,洽哥又成标题了，不过我喜欢,小猪仙,0
0,25,必须为畅姐打卡Call，太优秀了,bu～jiu💕💕,1
0,25,如果不是这个节目高尚也没有机会去浙二实习,JENNIE,3
0,25,你看高尚那怂的样子，有本事站起来啊，明明就比不过,🍊,0
0,25,我喜欢这个标题😀,cjjcmbc,0
0,25,你看高尚那怂的样子，有本事站起来啊，明明就比不过,饶沫钧,0
0,26,超级喜欢李不言,舟舟.,0
0,29,上期高尚和刘畅是演的,SuQi,0
0,29,必须为畅姐打卡Call，太优秀了,要上进ง⍢⃝ ᐝ,1
0,29,这期的标题就说明了一切,Damn.,0
0,29,心疼畅畅,打翻一罐心动.,0
0,29,刘畅小姐姐加油,张浩,0
0,31,高尚根本当不上刘畅的同事,bu～jiu💕💕,0
0,31,不是这个节目的话，高尚没有机会,.,0
0,31,你看高尚那怂的样子，有本事站起来啊，明明就比不过,拾光留守*枫,0
0,31,高尚不像丁辉了，辉哥格局大,挽筝.,0
0,31,畅畅加油💪,提提的群星闪耀时,0
0,32,上期高尚和刘畅是演的,Aaron.,0
0,33,自己不够优秀还要怪别人比你努力吗,拾光留守*枫,0
0,33,南丁格鹅 : 看到这个标题就开心了，不愧是我畅姐,Merry,0
0,33,我喜欢这个标题😀,.,0
