uservip_degree,timepoint,content,opername,upcount
0,0,教师各有风格不需要那么多评价更不需要节目弹幕放过吧,马者在找sth.,0
0,0,怕是心动的感觉,碘伏遇维C,0
0,0,哈哈哈哈哈哈哈哈哈,吹梦到西洲y,0
0,0,朋友你又来了呀,碘伏遇维C,0
0,0,李不言着急干啥啊,_T3,0
0,0,想看脸贴脸,Dorothy★,0
0,0,乖乖,``随遇而，安,0
0,0,感觉实力甚至不在一个层面的,碘伏遇维C,0
0,0,健康是多么重要,廖哈蜜💫,0
0,0,哈哈哈哈哈,。,0
0,0,这个一看就很强,碘伏遇维C,0
0,3,阿阿阿 不言上标题了,呦呦,0
0,3,哦吼，我们不言要反击啦,Estrella,1
0,4,南丁格鹅 : 666,浩气长舒,0
0,8,哦吼，我们不言要反击啦,林貳木，🌹,0
0,10,不言要站起来了嘛！,神明,0
0,10,这次是李不言要发光了吗,野生袍子๑,2
0,10,这个题目有辩的必要吗,HUI,0
0,11,这个标题,やれる,0
0,12,不言不言，好运连连,兔子尾巴掉了.,0
0,12,标题，坐等李不言闪光时刻哈哈哈哈哈哈,要和奶茶一样甜,0
0,12,哦吼，我们不言要反击啦,初久！,0
0,12,标题，坐等李不言闪光时刻哈哈哈哈哈哈,三玖,0
0,12,不言不言，好运连连,林貳木，🌹,0
0,13,冯琛！,彳亍,0
0,13,看到标题我就开始兴奋了,Umbrella💦,0
0,13,来了,凛冬将至,0
0,14,标题是李不言，我就很开心，哈哈,屲裡旳孩孓2,2
0,14,不言不言，好运连连,有眠,0
0,14,阿阿阿 不言上标题了,初久！,0
0,15,标题是李不言，我就很开心，哈哈,林貳木，🌹,0
0,15,哦吼，我们不言要反击啦,✨,1
0,15,这个标题我喜欢,book思议,0
0,16,李不言站起来了吗,Yanyan酱ʚ🧸ྀིɞ,1
0,16,这次是李不言要发光了吗,马铃·薯片拖拉斯基,0
0,16,来看李不言,Seven early summer I,0
0,16,深深我来啦,彳亍,0
0,17,标题是李不言，我就很开心，哈哈,五行缺钱,3
0,18,李不言雄起,马铃·薯片拖拉斯基,0
0,18,蔡徐坤好帅哦,耀月星丞,0
0,18,不言要站起来了嘛！,我想静一静,0
0,19,这个标题我喜欢,kitty,0
0,19,标题是李不言，我就很开心，哈哈,刚巧吻额.,3
0,20,不言不言，好运连连,过程,0
0,20,标题是李不言，我就很开心，哈哈,난 여전히 널 좋아해.,0
0,20,李不言你终于要崛起了   李不言你终于要崛起了,段嘉许,1
0,21,标题很友好，不言冲鸭,兔子尾巴掉了.,0
0,21,不言不言，好运连连,马铃·薯片拖拉斯基,0
0,22,南丁格鹅 : 张恰,常平安,0
0,23,标题是李不言，我就很开心，哈哈,kitty,0
0,23,又是看帅气老公们的一天,小羊小羊咩咩﹏,1
0,24,深深我来了,汐.MK./0929💙🍚,0
0,24, 李不言雄起,星星⭐️,0
0,25,标题是李不言，我就很开心，哈哈,携秋水揽星河🎸,0
0,26,标题是李不言，我就很开心，哈哈,马铃·薯片拖拉斯基,0
0,26,标题是李不言，我就很开心，哈哈,い習遦洧沵,0
0,26,不言不言，好运连连,난 여전히 널 좋아해.,0
0,27,标题很友好，不言冲鸭,Mr.Lulu,0
0,27,和光同尘，为你而来，有你我在,kitty,0
0,27,标题是李不言，我就很开心，哈哈,Duby,0
0,28,标题很友好，不言冲鸭,Seven early summer I,0
0,28,标题很友好，不言冲鸭,念,0
0,28,看周深了,思梅,0
0,28,李不言终于有个标题了,星星⭐️,0
0,31,"看标题,李不言崛起了",L6-0,0
0,31,不言出息了，独担标题,㸚,0
0,31,标题是李不言，我就很开心，哈哈,少年.,0
0,31,李不言雄起,馨儿,0
0,31,标题是李不言，我就很开心，哈哈,眰恦,0
0,32,不言不言，好运连连,👀,0
0,34,南丁格鹅 : 张洽！,小🌧️,0
0,37,李不言你终于要崛起了   李不言你终于要崛起了,🌺👑琳琳🎹💎,0
0,38,南丁格鹅 : 李不言冲！,一碗馄饨,0
0,38, 周深我来了,瘦时光。,0
0,41,不言站起来了哈哈哈,阿狸,0
0,41,不言站起来了哈哈哈,PikaPika🧸ྀི,0
0,42,南丁格鹅 : 快乐来了,于博,0
0,49,神外YYDS,小林子,0
0,50,这个标题我爱了,小菲,0
0,54,南丁格鹅 : 畅姐6666,梓/ZI＇(｡･ˇдˇ･｡),0
0,54,张洽老婆前来报道,lulu雨,0
0,54,冯琛！！李不言,一碗馄饨,0
0,58, 张洽张洽张洽张洽张洽,Better days,0
0,61,跟着周深看offer,星星⭐️,0
0,64,氯苯锉酸已经纳入医保了😭,郭运涛,0
0,65,看标题 李不言雄起！,👀,0
0,65,？孟非直接走了啊,无悠/ty,0
0,66,张洽老婆前来报道,蔡真的好吃.,1
0,68,张洽老婆前来报道,Better days,0
0,69,畅姐畅姐! 新的一天要更开心嗷,呦呦,1
0,72,张洽看着喜欢刘畅,赵美宅.,0
0,76,张洽到底喜欢什么样的女孩子,Better days,0
0,80,刘畅，我也要努力成为像你一样的人,……,0
0,80, 深深爱你,汐.MK./0929💙🍚,0
0,85,畅姐早,既来之，则安之,0
0,88,畅姐,既来之，则安之,0
0,89,谢旭超好帅我好爱,云逸,0
0,91,氯苯锉酸已经纳入医保了😭,彼其娘之,0
0,92,畅姐很优秀啊,月满城,0
0,94,畅姐，冯琛，我来了,拥有劳斯莱斯的女人,0
0,97,张洽到底喜欢什么样的女孩子,上官婉儿,1
0,98,氯苯锉酸已经纳入医保了😭,饶沫钧,0
0,98,氯苯锉酸已经纳入医保了😭,呦呦,0
0,98,氯苯锉酸已经纳入医保了😭,kkkkkkk,0
0,99,感觉优秀的人都会欣赏优秀的人,月满城,0
0,99,氯苯锉酸已经纳入医保了😭,lulu雨,0
0,100,比电视剧好看,安安,0
0,100,刘畅加油！我最喜欢你,.,0
0,100,每一个小群体都不应该被放弃 ！,Aletta,0
0,100,氯苯锉酸已经纳入医保了😭,悼念,0
0,101,不言你这集要发力了吗，我们真是久等了啊,三玖,0
0,102,畅姐，冯琛，我来了,NIE,0
0,102,氯苯锉酸已经纳入医保了😭,Ustinian,0
0,103,张洽到底喜欢什么样的女孩子,影子,0
0,103,氯苯锉酸已经纳入医保了😭,□尹♀李♂子□℡,0
0,104,李不言终于有个标题了,五行缺钱,0
0,104,每一个小群体都不应该被放弃 ！,@依恋@,0
0,104,氯苯锉酸已经纳入医保了😭,日向翔阳西谷夕,0
0,105,氯苯锉酸已经纳入医保了😭,刚巧吻额.,0
0,105,前景提要这么长的吗,艾米,0
0,107,氯苯锉酸已经纳入医保了😭,点点,0
0,107,氯苯锉酸已经纳入医保了😭,@依恋@,0
0,108,氯苯锉酸已经纳入医保了😭,肖家散粉lsp,0
0,108,氯苯锉酸已经纳入医保了😭,Kilig,0
0,109,南丁格鹅 : 杀,混世大魔王🙊,0
0,110,氯苯锉酸已经纳入医保了😭,心-晴,0
0,111,氯苯锉酸已经纳入医保了😭,解树,0
0,111,氯苯锉酸已经纳入医保了😭,Monroe_P,0
0,112,氯苯锉酸已经纳入医保了😭,Fi,0
0,112,张洽到底喜欢什么样的女孩子,.发呆爱好者,0
0,112,氯苯锉酸已经纳入医保了😭,马铃·薯片拖拉斯基,1
0,113,氯苯锉酸已经纳入医保了😭,一只水👻,0
0,113,氯苯锉酸已经纳入医保了😭,   C+.,0
0,113,氯苯锉酸已经纳入医保了😭,小羊小羊咩咩﹏,0
0,113,氯苯锉酸已经纳入医保了😭,了了清秋,0
0,113,氯苯锉酸已经纳入医保了😭,💋,0
0,114,氯苯锉酸已经纳入医保了😭,真水无味,0
0,115,定会啊,慎思＆笃行,0
0,115,恰哥,大傻会🙉,0
0,117,氯苯锉酸已经纳入医保了😭,北陌か,0
0,117,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,钱钱的迷惘,0
0,118,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,YOUNG,0
0,118,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,少女星球✨,0
0,118,氯苯锉酸已经纳入医保了😭,哈哈哈,0
0,119,真好，节目的意义传达到了,日向翔阳西谷夕,0
0,119,氯苯锉酸已经纳入医保了😭,大白鹅,0
0,119,为畅姐打call,不想吃糖.,0
0,120,氯苯锉酸已经纳入医保了😭,zxw大帅哥,0
0,120,张洽到底喜欢什么样的女孩子,月亮上的银山谷,0
0,121,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,mimy,0
0,122,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,🌊,0
0,122,氯苯锉酸已经纳入医保了😭,惜惜酱,0
0,122,真好，节目的意义传达到了,🏐`,0
0,122,氯苯锉酸已经纳入医保了😭,影子,0
0,123,真好，节目的意义传达到了,JUJU🍑✨,3
0,123,真好，节目的意义传达到了,大白鹅,0
0,124,氯苯锉酸已经纳入医保了😭,🌚,0
0,125,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,我就是天上来的小仙女呀,0
0,125,我笑了 是因为孟非不说话所以把他替了吗,神经蛙,1
0,126,氯苯锉酸已经纳入医保了😭,阿史那隼。,0
0,127,氯苯锉酸已经纳入医保了😭,额,0
0,127,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,hh,0
0,127,真好，节目的意义传达到了,K-EEP._,1
0,127,为畅姐打call,小羊小羊咩咩﹏,0
0,127,氯苯锉酸已经纳入医保了😭,关中大侠,1
0,127,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,大白鹅,0
0,128,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,🌚,0
0,128,跟周深一起看offer了,星星⭐️,0
0,129,氯苯锉酸已经纳入医保了😭,我就是天上来的小仙女呀,0
0,129,谢谢畅姐 畅姐的这次报告帮助了很多这样的病人,呦呦,0
0,129,不知道为什呢，感觉王蕊有点像傻白甜人设,少女星球✨,0
0,129,跟周深一起看offer了,大白鹅,0
0,129,那个老爷子也回浙二就诊了,💋,0
0,131,氯苯锉酸已经纳入医保了😭,吃玻璃送酒🐧,0
0,131,上周那个很贵的药现在已经列入国家医保范围了，太棒了,祝我好运,0
0,131,喜欢李不言,鲸落♡,0
0,131,氯苯锉酸已经纳入医保了😭,氼乚,0
0,132,真好，节目的意义传达到了,💋,0
0,133,上周那个很贵的药现在已经列入国家医保范围了，太棒了,我怀念的,0
0,133,氯苯锉酸已经纳入医保了😭,涟漪,0
0,133,孟非真不来了,WakeUp,2
0,134,张洽喜欢畅姐这样的,大白鹅,0
0,134,氯苯锉酸已经纳入医保了😭,ぎ王白石が,0
0,134,氯苯锉酸已经纳入医保了😭,清品悠然,0
0,135,我笑了 是因为孟非不说话所以把他替了吗,舒城年少,1
0,135,畅姐加油 永远支持你[祈祷8][针不戳8],.,1
0,136,上周那个很贵的药现在已经列入国家医保范围了，太棒了,悼念,1
0,137,氯苯锉酸已经纳入医保了😭,⑨,0
0,137,氯苯锉酸已经纳入医保了😭,金水,0
0,137,今天是可爱软萌深,星星⭐️,0
0,139,孟爷爷不来啦？,悦儿,0
0,139,孟非终于去掉了  在这儿和没在完全没区别  ,小瑜3301,2
0,139,纯烨主持好厉害。,Misty_Rose,0
0,139,旁观者孟非代完班终于走了！,A丶Star丨81,0
0,139,我笑了 是因为孟非不说话所以把他替了吗,Ying,0
0,139,孟非终于去掉了  在这儿和没在完全没区别  ,楠楠吖,0
0,139,孟非终于去掉了  在这儿和没在完全没区别  ,三分糖&不加冰🍒 ～,0
0,140,孟非终于去掉了  在这儿和没在完全没区别  ,三玖,0
0,141,畅姐加油 永远支持你[祈祷8][针不戳8],爆裂汽水,0
0,141,孟非终于走了,Birth Universe Ⅰ Ver.,2
0,141,孟非就是来带新人的 就是她,Renaissance,0
0,141,纯烨主持好厉害。,h..,0
0,141,上周那个很贵的药现在已经列入国家医保范围了，太棒了,小螃蟹🦀,0
0,142,？孟非直接走了啊,闻舟,0
0,142,孟非终于去掉了  在这儿和没在完全没区别  ,如也,0
0,142,上周那个很贵的药现在已经列入国家医保范围了，太棒了,热心市民,1
0,142,上周那个很贵的药现在已经列入国家医保范围了，太棒了,大白鹅,0
0,142,男神aaaa,多肉,0
0,143,孟非真不来了,@依恋@,0
0,143,孟非呢,心软是病、,0
