uservip_degree,timepoint,content,opername,upcount
0,0,追求的是患者的痊愈,碘伏遇维C,0
0,0,坚决拥护陶医生,碘伏遇维C,0
0,0,好看,小橘子  ✨,0
0,0,好看,小橘子  ✨,0
0,0,这对可以磕吗“姐弟”,马者在找sth.,0
0,0,好看,小橘子  ✨,0
0,0,有意,小橘子  ✨,0
0,0,节目后估计医院也会私聊刘畅,碘伏遇维C,0
0,0,把喜欢写进风里，从此整个世界都是你,没想好名字呢,0
0,0,小同学们都很可爱,vedra shi,0
0,0,洽哥好帅,威廉小宝贝,0
0,0,打卡,咕咚,0
0,0,我也新安江的,映月浅草,0
0,0,我也是建德新安江的哈哈哈哈,映月浅草,0
0,0,其实王蕊也很努力,Sunflower,0
0,0,啦啦啦来啦,咕咚,0
0,0,好看,小橘子  ✨,0
0,0,签到,LBZ Bot,0
0,0,来啦来啦,咕咚,0
0,0,好看,小橘子  ✨,0
0,0,好看,小橘子  ✨,0
0,1,相亲局,Meteor.,0
0,2,啦啦,咕咚,0
0,2,你,花火,0
0,2,来啦,👀,0
0,3,南丁格鹅 : ☘️听说可爱会被传染，你快靠我近点,没想好名字呢,1
0,4,南丁格鹅 : 与你一见如故，是我今生最美丽的相遇,没想好名字呢,0
0,4,沉寂在夜的黑暗中，等待黎明的到来,没想好名字呢,1
0,5,金明像赵露思那个剧里的栗子,1,1
0,6,南丁格鹅 : 刚刚,满满正能量,0
0,6,好看,借、、,0
0,10,这个标题我就笑了,蜜桃🍑,1
0,11,南丁格鹅 : [DNA动了9]没有呢,独白°,0
0,11,嗯，这标题有点东西,VvvVvV周震西,0
0,11,这个标题有点意思 张洽居然是恋爱高手？,与你初见,0
0,11,这个标题有点意思 张洽居然是恋爱高手？,三玖,0
0,11,相亲局 我来啦,王哈哈,1
0,11,睡去和醒来，💜心里想的都是你,没想好名字呢,0
0,12,这个标题有点意思 张洽居然是恋爱高手？,像昨天。,0
0,12,这个标题有点意思 张洽居然是恋爱高手？,Mars乄柠檬✨,0
0,12,这个标题搞事情,叶子纨,0
0,12,来了,于是没有洗头,0
0,13,南丁格鹅 : 三里清风三里路，步步清风步步你,没想好名字呢,0
0,14,南丁格鹅 : 即使遥不可及，也有想要触碰的想法,没想好名字呢,0
0,14,cxk确实帅啊这广告,楝,1
0,14,标题要搞事情啊[DNA动了9],If,2
0,14,这个标题搞事情,与你初见,0
0,14,你的本事要配得上你的奢望,没想好名字呢,0
0,14,周深！,秋秋,0
0,14,这个标题有点意思 张洽居然是恋爱高手？,🌈.,0
0,14,这个标题我就笑了,胖手手🙈,1
0,14,迟到的珍惜总让人发笑,没想好名字呢,0
0,15,南丁格鹅 : 这个标题可太有意思了,⊙_⊙,0
0,15,每当想到你，我的心中，花开满世界,没想好名字呢,0
0,16,这个标题搞事情,易易,0
0,16,南丁格鹅 : 境源己造，相由心生,没想好名字呢,0
0,17,南丁格鹅 : 母胎solo恋爱教学哈哈哈哈,没什么不开心的🍊,1
0,17,标题可还行,我真不是上帝,0
0,17,喜欢你虽不是一见钟情，但不能说停就停,没想好名字呢,0
0,17,嗯，这标题有点东西,Estrella,1
0,18,刘畅值得！,浮生如茶,1
0,18,这个标题有点意思 张洽居然是恋爱高手？,Mercury.,0
0,19,这个标题有点意思 张洽居然是恋爱高手？,圆茵,0
0,19,这个标题搞事情,胖手手🙈,0
0,20,这个标题？我笑了,紫嫣,0
0,20,这个标题我就笑了,Mercury.,0
0,20,标题要搞事情啊[DNA动了9],百搭.,0
0,20,这个标题有点意思 张洽居然是恋爱高手？,易易,0
0,20,标题要搞事情啊[DNA动了9],聪,0
0,20,这个标题有点意思 张洽居然是恋爱高手？,Estrella,0
0,21,这个标题我就笑了,Better days,0
0,21,哈哈哈哈 洽哥又在标题里,若木,0
0,21,这个标题有点意思 张洽居然是恋爱高手？,小羊咩咩,0
0,21,哈哈哈哈 洽哥又在标题里,我心意难平,1
0,21,这题目我喜欢,VvvVvV周震西,0
0,21,凑友们（和我一样在人间凑数的朋友们），来抱团了,👀,0
0,22,这个标题有点意思 张洽居然是恋爱高手？,～峰*之*恋～,0
0,22,这个标题我就笑了,絆,0
0,23,这个标题我就笑了,over,1
0,23,哈哈哈哈 洽哥又在标题里,小猪仙,0
0,23,这标题让我充满期待,王哈哈,0
0,23,哈哈哈哈哈哈,ZWZJH,0
0,24,这个标题我就笑了,蔷薇,0
0,26,洽哥又乱点名了哈哈哈哈,Estrella,0
0,26,来了来了,繁星·耶姈,0
0,26,嗯，这标题有点东西,星星⭐️,0
0,26,哈哈哈哈 洽哥又在标题里,VvvVvV周震西,0
0,27,这个标题我就笑了,👀,0
0,27,嗯，这标题有点东西,路过,0
0,27,标题不错,繁星·耶姈,0
0,27,这个标题有点意思 张洽居然是恋爱高手？,顺顺_,0
0,28,cxk确实帅啊这广告,葵葵,0
0,28,这个标题有点意思 张洽居然是恋爱高手？,蜜桃🍑,0
0,28,张恰不是母胎solo吗,与你初见,0
0,29,这个标题搞事情,繁星·耶姈,0
0,29,提前前排开心,我心意难平,0
0,29,这个标题我就笑了,，,0
0,29, 母胎solo恋爱教学哈哈哈哈,notos,0
0,31,南丁格鹅 : 哈哈哈哈哈哈这个标题亮了,乐乌,0
0,31,唠这个我可就不困了,🌰🌰,0
0,33,这标题让我充满期待,星星⭐️,0
0,35,学霸鹅 :  [医者仁心9]加油,小胖鑫呀,0
0,37,南丁格鹅 : 洽哥母胎solo哈哈哈哈哈哈哈哈哈,qiᴗin,0
0,37,洽哥洽哥洽哥洽哥洽哥洽哥洽哥洽哥,Vienne,0
0,37,看神外三子相亲啦哈哈哈哈哈,星星⭐️,0
0,38,洽洽出息了,㸚,0
0,39,来看深深, ,0
0,39,不言和冯琛我磕到了,星星⭐️,0
0,40,南丁格鹅 : 标题吸引了我的兴趣,千味橘子夏,0
0,40,这个标题我就笑了,与你初见,0
0,42,周深周深我来了,星星⭐️,0
0,44,周深我来啦,星星⭐️,0
0,44,冯琛有女朋友啦上热搜了,与你初见,1
0,45,洽洽出息了,腾讯网友,0
0,46,来看深深,星星⭐️,0
0,47,开心前排,繁星·耶姈,0
0,48,洽哥是我的,携秋水揽星河🎸,0
0,52,冯琛有女朋友啦上热搜了,携秋水揽星河🎸,1
0,53,深深  生米来啦,星星⭐️,0
0,60,南丁格鹅 : 来学恋爱了,查理是只猫🐱,0
0,61,南丁格鹅 : 大家好我是会员军黁 哈哈哈大家好啊,热椰奶,0
0,63,张恰女友粉失恋了,查理是只猫🐱,1
0,64,这个标题成功吸引到我,努力努力再努力,0
0,70,冯琛有女朋友啦上热搜了,❗,0
0,71,这个标题成功吸引到我,繁星·耶姈,0
0,72,南丁格鹅 :  李敢言我来啦,小灰灰,0
0,74,看神外三子相亲啦哈哈哈哈哈,五行缺钱,1
0,75,嗯，这标题有点东西,大魔王沙皮♪(´ε｀ ),0
0,75,张恰女友粉失恋了,不是山谷,0
0,76,这个标题，我不信！哈哈哈哈哈,五行缺钱,0
0,77,纯烨，纯烨，我来了,不是山谷,0
