uservip_degree,timepoint,content,opername,upcount
0,0,陶医生看上的确实不错,芃芃芣苢,0
0,0,这么能说啊,碘伏遇维C,0
0,0,肯定畅姐啊,淡然，淡然,0
0,0,心不在焉还是力不从心,小🐑,0
0,0,等我畅姐,淡然，淡然,0
0,0,膜拜,淡然，淡然,0
0,0,他好淡定，感觉适合突发的紧急危重情况,A韩宁～深州领秀轻奢女装,0
0,0,畅姐太nb了,淡然，淡然,0
0,0,真为王蕊不值,旻鸣·72喵咪,0
0,0,喜欢冯琛 别忘了操作也很重要,9,0
0,0,湘雅博士不会差的,芃芃芣苢,0
0,0,刘畅眼睛像黄圣依，整整牙就是个大美女,古道西风瘦马,0
0,0,受益的都是患者,碘伏遇维C,0
0,0,。,柠檬不酸,0
0,0,一下就弱惨了,芃芃芣苢,0
0,0,我们流畅,吃完还是有点饿,0
0,0,冯琛不在座位上？,黄油菠萝包,0
0,0,每个科室一个人,沉尘,0
0,0,畅姐加油,淡然，淡然,0
0,0,只会查文献,芃芃芣苢,0
0,0,畅姐yyds,淡然，淡然,0
0,0,不能脱稿,芃芃芣苢,0
0,0,爱畅姐,淡然，淡然,0
0,0,刘畅后面出场的话 不得了,碘伏遇维C,0
0,0,优秀本秀,碘伏遇维C,0
0,0,王蕊哪有问题，好的没提好吧,旻鸣·72喵咪,0
0,0,学习能力超强,芃芃芣苢,0
0,0,湘雅放你出来这么丢脸？,芃芃芣苢,0
0,0,哈哈哈哈头顶惴惴不安,。,0
0,0,真会装,淡然，淡然,0
0,0,冯琛都是学生刘畅，刘畅是一直有自己的路,芃芃芣苢,0
0,0,太牛了,淡然，淡然,0
0,0,",",Loading......,0
0,0,善良的俞阿姨,芃芃芣苢,0
0,0,刘畅真是牛了奇才,摩羯座仙女,0
0,0,不言哥哥,END,0
0,0,学霸就是神啊,🔛～🔚,0
0,0,大将之风,芃芃芣苢,0
0,0,你的·畅姐，无限猖狂,Kobe连浩勤,0
0,0,什么突然开挂是一直很突出,芃芃芣苢,0
0,0,畅畅人间理想型, 幽兰自香 ,0
0,1,来啦,Crystal,0
0,1,加油,桃子,0
0,2,来啦,∞.,0
0,2,来了,Meteor.,0
0,3,南丁格鹅 : 来了,星期八领证吧！,0
0,7,南丁格鹅 : ？？,ღSingle✎﹏,0
0,9,芜湖,Shaobo,0
0,12,第一,5寧萌主,0
0,15,南丁格鹅 : 闪闪发光的冯琛,沧海之青,0
0,15,来啦,∞.,0
0,16,啦啦啦啦,咕咚,1
0,16,下一期来个运营吧,王庆,0
0,17,南丁格鹅 : 坤宝!,🧐,0
0,18,来了,"""Hᴏᴘᴇ.""",0
0,21, 闪闪发光的冯琛,抹去，那一缕忧伤,0
0,22,用心传递生命用爱守护健康，致敬中国医师,初酒,0
0,25,来看畅姐,Ronronner,0
0,25,希望下一季在华西医院拍，什么叫累,小奇,0
0,25,下期来个运营吧,王庆,0
0,25,畅姐,南音 ☘,0
0,25,南丁格鹅 : 周深周深我来啦, ,0
0,26,来啦,∞.,0
0,27,畅姐继续闪闪发光,樂,1
0,28,南丁格鹅 : 打卡,流&離 騎著蝸牛去浪,0
0,28,不言哥哥我来啦,notos,0
0,30,深深我来啦,Maggie,0
0,31,南丁格鹅 : 周深宝贝来啦,甜甜的粥,0
0,33,南丁格鹅 : 来了,*dandelion,0
0,33,来看畅姐,Yuki,0
0,33,周深,A00伏羲琴·表汇,0
0,34,来了来了,L°,0
0,34, 恰哥我来了,Better days,0
0,35,来啦,∞.,0
0,35,来看畅姐,ぃ她是我心心念念旳等待 ,0
0,36,周深周深，我来了,秋秋,0
0,41,南丁格鹅 : 来看周深啦,星星⭐️,0
0,47,刘畅刘畅刘畅,ぃ她是我心心念念旳等待 ,0
0,48,生米来看深深哒,糖糖,0
0,52,来啦,∞.,0
0,52,不言哥哥，我来了,理实交融,0
