uservip_degree,timepoint,content,opername,upcount
0,0,我们导师也这样哈哈哈哈,古道西风瘦马,0
0,0,啦啦来啦,咕咚,0
0,0,签到,LBZ Bot,0
0,0,一直在学校里的小姑娘才出社会慢热点也没什么的,vedra shi,0
0,0,来了,이양천새,0
0,0,王姨笑skr人,。,0
0,0,看得出这节目捧李和汪,X,0
0,0,来了,이양천새,0
0,0,加油王蕊,Little women,0
0,0,啦啦,咕咚,0
0,0,真喜欢张洽,蜗牛,0
0,0,✂️,贰零壹叁年柒月拾叁日,0
0,0,真喜欢张桥,蜗牛,0
0,0,啦啦啦啦,咕咚,0
0,0,就是隔壁医生跟我说的,碘伏遇维C,0
0,0,这波多少带点个人感情了,碘伏遇维C,0
0,0,娘家亲人来了,碘伏遇维C,0
0,4,咸鱼 : 。,旧时信予风,0
0,5,666,泡泡,0
0,5,哈哈哈哈哈哈,琉璃月影,0
0,5,南丁格鹅 : 来啦,咕咚,0
0,6,第一是我,嗨爆了的可乐、,0
0,11,第一,👀,0
0,12,过年啦,都需要微笑,0
0,15,今天,浅,0
0,16,小师妹，俺来了，哈哈哈哈哈，小师妹好可爱的嘞,十一,0
0,17,看见了,都需要微笑,0
0,17,不言哥哥，加油,他,0
0,17,哈哈哈哈哈哈,琉璃月影,0
0,17,今天,浅,0
0,18,李不言 我来了,脏脏烊,0
0,18,我们,浅,0
0,21,南丁格鹅 : 周深周深,TUO,0
0,22,就喜欢鹅的不准时,王允。,0
0,22,深深我来,0929,0
0,23,不言哥哥加油,花开，若相依,0
0,24,南丁格鹅 : 打卡,人生若ぁ只如初见❧,0
0,24,小师妹小师妹,Qᴜɪᴛ.,0
0,24,李不言！李不言！,花开，若相依,0
0,25,周深我来啦,0929,0
0,25,来看毛不易啦,芜颜,0
0,26,就喜欢鹅的不准时,❗,0
0,27,南丁格鹅 :  啦啦啦啦来啦啦,咕咚,0
0,30,李不言！李不言！,脏脏烊,0
0,31,不言哥哥加油,0929,0
0,31,深深，我来了,汐.MK./0929💙🍚,0
0,31,南丁格鹅 : 打卡,自由的人,0
0,33,周深我来啦,王岚,1
0,34,南丁格鹅 : 来了来了,ฅ۶•ﻌ•♡,0
0,37,学霸鹅 : 打卡深深, 霸王龙妈妈🍭,0
0,37,毛不易,王帅,0
0,38,深深，我来了,王岚,0
0,39,下一季拍设计师吧，真实的在品牌做设计的，服装设计师,珞樱,0
0,39,为周深追offer,0929,0
0,39,不言哥哥加油,脏脏烊,0
0,42,来看不言和小师妹,脏脏烊,0
0,43,南丁格鹅 : 周深！我来了,王岚,0
0,46,为周深追offer,王岚,0
0,47,下一季拍设计师吧，真实的在品牌做设计的，服装设计师,❗,0
0,61,南丁格鹅 : 好看,Joyce,0
0,67,冯琛有点担心你以后的发量呀,昔,0
0,70,来看周深了,ZH N,0
0,72, 来啦来啦，周深我来啦,黄韵涵,0
0,73,刘纯烨比孟非主持的好点,素心の静,0
0,77, 冯琛算是天降紫微星吗,鱼🌻,0
