uservip_degree,timepoint,content,opername,upcount
0,0,张恰,短发女爷i,0
0,0,来啦,咕咚,0
0,0,还能说话的,芃芃芣苢,0
0,0,爷爷奶奶湘雅就牛了,芃芃芣苢,0
0,0,林妹妹性格好,自然卷,0
0,0,神外三子,刺猬小姐,0
0,0,看嘴形,Eric赵,0
0,0,带耳机问结束了吗？听到人家说结束了,龙猫大神,0
0,0,刚才那轮不还说图一开心？现在咋？,愿如初,0
0,0,董主任跟高尚好像,沉尘,0
0,0,居然喜欢李不言,Angel Guan,0
0,1,k,bye,0
0,1,在,Cao.J,0
0,1,哈哈,Geshem德航智能_董,0
0,1,刘畅,夜深人孤独,0
0,1,打卡,阿aaa,0
0,1,哈哈哈,刘南熊,0
0,2,赖老师,你过的还好吗,0
0,2,看加更了,🐾 🐾,0
0,2,这个节目好看,孙国宁爸爸,0
0,3,来了,cx4y,0
0,3,刘畅,夜深人孤独,0
0,3,来了,Kim,0
0,3,打卡,雯,0
0,3,来了,谁、赠我江山如画,0
0,4,和,SUN 了个晒,0
0,4,你你你,you圆、即好ベ,0
0,4,。,    Thames ╭ゝ,0
0,4,来了,耶啵☀,0
0,4,哇,婉拒知恩数次,0
0,4,我,趙、小鱼🥰,0
0,5,赞,神经蛙,0
0,5,k,bye,0
0,5,来啦来啦,西希,0
0,5,。,赤脚板板,0
0,5,来了,悦心布凡,0
0,5,啦啦啦啦,咕咚,0
0,5,来了来了,。,0
0,5,哇,瓶邪,0
0,5,打卡,阿aaa,0
0,5,哈哈,刘南熊,0
0,5,哈哈哈哈😄,甜甜,0
0,6,看完急诊来缓和一下,轻狂书生,0
0,6,呀,浮生,0
0,6,哈哈,Geshem德航智能_董,0
0,6,今天中午吃了,一克拉梦想,0
0,6,兄弟你到家,亿莫,0
0,6,来了,猜猜我是谁,0
0,7,红烧羊肉。,Bruce Bowen,0
0,7,可可爱爱,尘埃,0
0,7,卡,十月,0
0,7,来了,姗姗没有来迟,0
0,7,啦啦,盛小闹,0
0,7,[顺利][6周年][发财][喜欢]可以吗,...................,0
0,7,好,昭夕〃,0
0,8,哦扣扣,沐柠深巷i,0
0,8,交流交流,◆◇纯情★,0
0,9,打卡, 倣薺,0
0,9,尊敬的vip,青㟞,2
0,10,k,bye,0
0,10,来了来了,晓说,0
0,10,[无羡]哈哈哈哈,Y,0
0,11,不错,阿白,1
0,11,呵呵,卓儿,0
0,12,加一，我看完就去复习概率,奶油乳酪包,0
0,12,好,Claudia,0
0,12,来咯,小鹿,0
0,12,来了,炬炬,1
0,12,洽哥！,Pamper,0
0,13,来了来了,👀,0
0,13,[无羡]哈哈，又能看了,BZYG,2
0,13,来了来了,花花世界不必当真,0
0,13,正片看完了，加更咱也不放过哈哈哈哈哈,早睡,0
0,13,不言冲冲冲,那些面条,1
0,13,洽哥！,　　　 心瘾,2
0,14,k,bye,0
0,14,小师妹我来了,缪滋o,0
0,14,洽哥！,巴妞,0
0,15,哈哈,minion,0
0,15,洽哥我来啦,BZYG,2
0,16,有时,Tʜᴇ ғᴜᴛᴜʀᴇ,0
0,16,来了来了,Sarah,0
0,16,第二,自渡,0
0,16,还好吧,风度翩翩,0
0,16,来了,谁、赠我江山如画,0
0,17,神外三子我来了！[喜欢],佳沁🎓 Gianna🌙 芽🤓 🌻,0
0,17,k,bye,0
0,17,来了来了,韦一航.,0
0,17,洽哥我来啦,冻豆腐女孩,1
0,17,帅,﹌XianXiaoYang╭♚。,0
0,17,洽哥！,三好,0
0,17,留下付费的痕迹,...,1
0,18,洽哥yyds,山有扶苏,0
0,18,来了来了,👑,0
