uservip_degree,timepoint,content,opername,upcount
0,0,这姐姐够狠啊,碘伏遇维C,0
0,0,莲藕,想伱的灬夜,0
0,0,杨笠说得太准确了！这也是我的想法,Siempre Real,0
0,0,心内强无敌啊,碘伏遇维C,0
0,0,有些亲朋好友直接动手打的,9,0
0,0,卢医生直接两班啊,碘伏遇维C,0
0,0,碰谁都没办法,9,0
0,0,卢医生好辛苦,👑,0
0,0,突然感觉冯琛那个简直送分，汪伟杭直接送命,tyw,0
0,0,素材来源于现实生活,MAMBA，,0
0,0,气氛转变,9,0
0,0,我们县城的急诊跟玩似的,古道西风瘦马,0
0,0,人才啊,碘伏遇维C,0
0,0,护士：合着我给你翻译呢,👑,0
0,0,一下没了四分之一的分,碘伏遇维C,0
0,0,没有感情的急诊医生 我就是救人,碘伏遇维C,0
0,0,冷酷人格上线,碘伏遇维C,0
0,0,因为听不懂,碘伏遇维C,0
0,0,家属也蛮好说话,9,0
0,0,小谢说话语气真的好拱火，他什么意思？,空城孤影,0
0,0,笑死了卢主任,9,0
0,0,一个敢教一个敢学,碘伏遇维C,0
0,0,这演员绝了,。,0
0,0,哥们听不懂啊,碘伏遇维C,0
0,3,来了来了,👀,0
0,7,南丁格鹅 : ？,嗯呐,0
0,7,感觉高尚又要急眼了,熊猫儿晶仔🐼,0
0,10,来了,Styx,0
0,10,看这个让我感觉自己没用,渲染离别。,1
0,11,周深深，我来了,汐.MK./0929💙🍚,1
0,13,来了,听风,0
0,14,这时长，够顶,狗和少女,0
0,15,周深,萧睿,0
0,15,周深,ISUsl,1
0,18,有杨笠？狗都不看,宁缺,1
0,18,南丁格鹅 : 打卡打卡,浮生若梦,0
0,19,南丁格鹅 : 李不言李不言李不言我来了,花开，若相依,0
0,20,李不言李不言李不言我来啦,poyo,0
0,26,  周深深，我来了,予甜゛ঞ 🇨🇳,0
0,29,周深周深我来了,三观只偏向你,0
0,31,  周深深，我来了,鱼🌻,0
0,31,对杨笠就是喜欢不起来,沐沐妈咪,0
0,32,来了,浮生若梦,0
0,33,看来杨笠还真的是狠狠戳中某一部分男性的痛点,珍珠奶茶🥤,0
0,34,杨笠杨笠我来啦,上官婉儿,0
0,37,  周深深，我来了,菩提心,0
0,38,南丁格鹅 : 卢医生 畅姐姐 我来了,初酒,0
0,40,南丁格鹅 : 来了来了,Hecate,0
0,47,西安加油！西安加油！,_贾欢（期末版）,0
0,47,《令人心梗的预告》,上官婉儿,0
0,48,来了来了，来看畅姐啦,旧二,0
0,51,时长爱了爱了,狗和少女,0
0,52,《令人心梗的预告》,J,0
0,58,南丁格鹅 : 深深宝贝我来了,宇杨杨0604,0
0,60,周深！,星星⭐️,0
0,62,  来了 深深陶医生,星星⭐️,0
0,64,跟着周深过综艺,星星⭐️,0
0,64,周深，我来了,宇杨杨0604,0
0,65, 张纯烨加油李不言加油,poyo,0
0,66,周深周深来了,宇杨杨0604,0
0,69,周深我來啦,宇杨杨0604,0
0,70,周深周深来了,星星⭐️,0
0,71,深深我来啦,宇杨杨0604,0
0,72, 深深我来啦,星星⭐️,0
0,78,为了卢骁主任而来,洁,0
0,79,咸鱼 : 卢老师像法老,冷颜夕,0
0,79,期待纯烨发言,whisper狂粉,0
0,82,张纯烨加油李不言加油,Carole（四天后解放版）,0
0,82,南丁格鹅 :  洽洽！！洽洽！！来看洽洽！,Better days,0
