uservip_degree,timepoint,content,opername,upcount
0,0,这不比那些恋综好看吗,我是金虎呀~,0
0,0,哈哈,不忍直视,0
0,0,濒临死亡,芃芃芣苢,0
0,0,不是与父母沟通，是都知道没钱治,芃芃芣苢,0
0,0,没钱,芃芃芣苢,0
0,0,只有等死了,芃芃芣苢,0
0,0,哎，惨的人太多了，医院也不是救济所，还得按规矩来的,古道西风瘦马,0
0,0,低血糖不会死,芃芃芣苢,0
0,0,那自杀还要救呢,沉尘,0
0,0,我特别相信良医一定是有大爱的人才可以做到的,子非,0
0,0,他们怎么不懂啊 她们当然懂啊，谁不知道这是钱的问题,幸运鹅,0
0,0,黑眼圈都好重,沉尘,0
0,0,不是养牛的问题，不知贫苦人家的悲哀,芃芃芣苢,0
0,0,姑娘们擦亮眼睛再嫁,拒绝欺骗,0
0,0,希望家人健健康康平平安安一辈子,,0
0,0,"On call 24,36没听过？",芃芃芣苢,0
0,0,卢医生不下班的吗？,碘伏遇维C,0
0,0,选择都不一样，有人天赋在医有人天赋在唱跳，没必要比,lmh,0
0,0,养牛的人只有等死,芃芃芣苢,0
0,0,也带走了我的奶奶,宜二京°,0
0,2,南丁格鹅 : 哈哈哈哈哈哈,琉璃月影,0
0,2,哈哈哈哈哈哈,琉璃月影,0
0,2,哈哈哈,乌西迪西,0
0,2,啊,寞,0
0,3,南丁格鹅 : 哈哈哈哈哈哈,琉璃月影,0
0,3,哈哈哈哈哈哈,琉璃月影,0
0,4,张洽张洽张洽,2333,0
0,4,来了,-,0
0,6,学霸鹅 :  加油,🌈💨Wsdle,0
0,7,这标题我爱,不瘳,0
0,9,畅姐我来啦,冰冰冰冰.,0
0,10,来了,👀,0
0,10,畅姐 给我支棱起来,不瘳,1
0,11,南丁格鹅 : 不言不言，最爱不言,花开，若相依,0
0,13,这标题我爱,Whale Fall,0
0,14,李不言读二年级就把初中数学和物理学完了，,谙甜,0
0,14,好好睡一觉，就是人生的重启方式呀,Cherish,0
0,15,来了,新秋零三,0
0,15,我来了，我来了,Nine DunGer,0
0,16,南丁格鹅 : 打卡,『静黙☆』,0
0,16,加油,『静黙☆』,0
0,17,来啦，家人们,青丝华发醉三世,0
0,17,畅姐 给我支棱起来,＆.,0
0,17,来啦,一沙一世界め一树一菩提,0
0,18,来了来了,新秋零三,0
0,18,南丁格鹅 : 打卡,繁星·耶姈,0
0,18,来了,封⃯⃗,0
0,18,畅姐我来啦,‏,0
0,21,这标题整的和电视剧一样,仅代表个人,1
0,21,畅姐 给我支棱起来,ぃ她是我心心念念旳等待 ,0
0,21,来了 ,繁星·耶姈,0
0,21,所以还是要努力赚钱，把每年的体检费赚到,田甜,0
0,23,真的，每年一定要带父母体检,*zZZ*,1
0,23,打卡,繁星·耶姈,0
0,23,来了,-,0
0,25,畅姐 冲啊,潘高峰,0
0,25,第一,繁星·耶姈,0
0,26,不言哥哥我来啦,很皮很天真,1
0,28,畅姐 冲啊,琪琪怪怪,0
0,30,打卡,冷乡,0
0,31,这个标题我喜欢,繁星·耶姈,0
0,31,好好睡一觉，就是人生的重启方式呀,田甜,0
0,32,第一是我,嗨爆了的可乐、,0
0,34,王蕊呢,Lam99,0
0,35,深深我来了,汐.MK./0929💙🍚,0
0,36,南丁格鹅 : 来了来了,看见我的奶茶了吗.,0
0,37,喜欢陶医生，周深，神外三子,aa,1
0,38,好好睡一觉，就是人生的重启方式呀,繁星·耶姈,0
0,41,这个标题我喜欢,ぃ她是我心心念念旳等待 ,0
0,42,南丁格鹅 : 刘畅刘畅刘畅,青禾,0
0,43,南丁格鹅 : 畅姐来了,Zik-,0
0,46,我爱标题 ！,好困.,0
0,47,周深我来啦,甜甜的粥,0
0,48,越来越喜欢李不言了,玉瑗,0
0,51,来了来了！来看周深！,甜甜的粥,0
0,54,越来越喜欢李不言了,范影帝,0
0,55,周深我来啦,Song你离开,0
0,56,越来越喜欢李不言了,Nina＇,0
0,58,越来越喜欢李不言了,奥斯曼京京,0
0,58,为什么节目组永远只放刘畅汇报，不放她做穿刺,琦琦,0
0,60,为什么节目组永远只放刘畅汇报，不放她做穿刺,Le 劉,1
0,61,越来越喜欢李不言了,盈舒,1
0,62,越来越喜欢李不言了,🐰,0
0,63,南丁格鹅 : 来啦,shining,0
0,73,越来越喜欢李不言了,North_zz,2
0,74,好的哈哈哈,韩婕🌷,0
0,74,我恰哥呐,@世界上最好的Y先生,0
0,76,深深我来了[喜欢],玉瑗,0
