uservip_degree,timepoint,content,opername,upcount
0,0,半夜打电话要挨骂的，哈哈,✨钮扣,0
0,0,去年体检没问题不代表现在也没问题啊,✨钮扣,0
0,0,收了个啥，哈哈,✨钮扣,0
0,0,好看,три три~,0
0,0,看你本事了，哈哈,✨钮扣,0
0,0,睡吧，别卷了😂,✨钮扣,0
0,0,倍他乐克哈哈哈哈哈哈哈老熟人了,阿辞.,0
0,0,看过,/shl温暖,0
0,0,冯琛这个谈话还不错哦，蛮顺畅的,✨钮扣,0
0,0,你是医生还是他是医生听谁的而且人家确实也没想回去,小🐑,0
0,0,他是因为医院🏥信号不好，想走吗，是我都懒得动,西西,0
0,0,好看不？,平  凡,0
0,0,主治就是主治 太厉害 ,·阿躺,0
0,0,李不言已经在做梦了，哈哈,✨钮扣,0
0,0,这个镜头刚好可以拍到患者的手机屏幕啊，感觉隐私容易,✨钮扣,0
0,0,ll,小申很棒,0
0,0,回家能干什么重要的事？,✨钮扣,0
0,0,路过,/shl温暖,0
0,0,哇，林医生解释得好清楚哦,✨钮扣,0
0,0,哈哈，补高了可还行,✨钮扣,0
0,0,阑尾炎吧？,✨钮扣,0
0,0,我奶奶缺钾腹泻每天不停地吃钾 输液,小🐑,0
0,0,运动量大居然不会影响心脏吗？,✨钮扣,0
0,0,咋全是金明,诺荷,0
0,0,四个小时来回折腾？,诺荷,0
0,0,林医生讲话好温柔哦,✨钮扣,0
0,0,这时候看也没啥效率了吧,✨钮扣,0
0,0,喝多了千万不要高强度健身，心脑血管容易受影响,✨钮扣,0
0,0,想上厕所也不用回家啊，手机没电医院也有充电宝的,✨钮扣,0
0,0,还是要谢谢卢医生一声吧,✨钮扣,0
0,0,他女神可还行，哈哈,✨钮扣,0
0,0,是啊，明明已经四点了还折腾一趟来回干嘛,✨钮扣,0
0,0,钾本来就是输的慢的,🍬,0
0,1,好,🌬Insomnia,0
0,1,卡,十月,0
0,1,翻译,武当,0
0,1,来了,谁、赠我江山如画,0
0,2,吊[鸡腿],龙,0
0,2,等更,Anita（有急事电联）,1
0,2,你会不牛,-,1
0,2,打卡,阿aaa,0
0,2,来了,fullsun,0
0,2,来咯,Lenalee,0
0,2,在,Cao.J,0
0,2,来了,非馨物语,0
0,3,来了,闫杰,0
0,3,嗯,ιī àη,0
0,3,真心希望能拍一个和地信专业相关的,Forever,2
0,3,今天,安分,0
0,3,李不言，冲鸭,口各,1
0,3,来了,哪里来的野鸡咕咕day,0
0,3,来来来啦啦啦,阿阳°,0
0,3,要,我是邓超,1
0,4,打卡,独自面对,0
0,4,不够看,暖暖zm✅,0
0,4,加更来啦,林佳,0
0,4,[不行]哈哈,腾讯网友,2
0,4,好看,杯中酒,0
0,4,哇哇哇，加更来了，我是来看我家骁骁的[喜欢],知名不具,4
0,4,我们,俞伟军,0
0,4,打卡, 倣薺,0
0,4,还好吧,霏,0
0,5,来了来了,深深卡布叻,0
0,5,来了,丶,1
