uservip_degree,timepoint,content,opername,upcount
0,0,家人平安,南木,0
0,0,剪刀的拿法不对,道法自然,0
0,0,家人平安！,~/L.G.S\~,0
0,0,签到,LBZ Bot,0
0,0,卢医生啥都会啊 ,沉尘,0
0,0,卢医生7X24工作吗？超人,碘伏遇维C,0
0,0,不求大富大贵，只求家人身体健康，平平安安,小菜头🙈,0
0,0,应该在顶楼看,沉尘,0
0,0,加油呀,天姿愚钝,0
0,0,不求大富大贵，只求家人身体健康，平平安安,陽台的小熊.,0
0,0,家人平安健康,拜托了星星,0
0,2,来啦哈哈,咕咚,0
0,2,打卡,﹎久伴，,0
0,5,来啦,咕咚,0
0,5,哈哈,✿小周xz_万事无忧,0
0,7,时间,1\/2,0
0,8,来了,萝卜,0
0,8,这时长 是搞笑的吗,夜空..誓言,0
0,10,来了来了！深深，我来啦！,星光闪烁的深夜,0
0,10,未知全貌不予置评,空白ﾟ,0
0,12,南丁格鹅 : 不言，我来了,花开，若相依,1
0,13,来看烨烨了,ohh,0
0,15,南丁格鹅 : 好看,Joyce,0
0,15,今天真准时,DoV,0
0,16,好看这节目,沫忆,0
0,16,家属理解医生是因为之前做手术的时候肯定交代过的,💞실연 잡화점⚡,0
0,16,来了,Sunny,0
0,19,保佑家人平安健康,元気の少女,1
0,20,冲,寒鸦,0
0,20,来看深深和医学生,ohh,0
0,23,好喜欢这季的医学生们还有老师们,沫忆,0
0,24,南丁格鹅 : 刘畅,祭.,0
0,25,南丁格鹅 : 来了,宝木亚光军,0
0,25,南丁格鹅 : 来看深深和医学生,小宋子。,0
0,26,南丁格鹅 : 哈哈哈哈哈哈,琉璃月影,0
0,26, 周深崽崽我来啦,夜空..誓言,0
0,26,我来啦,让时间说真话,0
0,27,南丁格鹅 : 家人身体健健康康,冬至,0
0,27,哈哈哈哈哈哈,琉璃月影,0
0,28,来看深深和医学生,小宋子。,0
0,28,来啦,🍀 康康 🍀,0
0,28,来看深深和医学生,腾讯网友,0
0,29,愿我的家人身体健康,ANNA,0
0,29,鹅鹅鹅,momo,0
0,30,洽哥，我来了,mini倩,0
0,31, 来看周深了,ohh,0
0,33,愿我的家人身体健康,只要星星和你,1
0,33,愿我的家人身体健康,海色,0
0,34,愿我的家人身体健康,腾讯网友,0
0,34,愿我的家人身体健康、平安,🌖,0
0,42,愿我的家人身体健康,点点,0
0,50,你不言，我不语,Aubrey,0
0,50,来看令人心动的深深,mmww,0
0,50,愿我的家人身体健康，平安顺利，长命百岁,L,0
0,60, 李不言，考研考到了格拉斯哥评分。,ohh,0
0,63,来看周深,孤燕衔泥,0
0,64,你不言，我不语,Z .,0
0,66,南丁格鹅 : 李不言，诊断学考了肌力分级，谢谢你！,柳李蔡,0
0,67,怎么看不到弹幕,🍦佳惠🍦,0
0,70,  滴滴滴，打卡打卡,vin,0
0,72,你不言，我不语,vin,0
0,74,每集打卡 冯琛加油！,旧二,1
0,77,南丁格鹅 : 周深我来看你啦,新杰,0
0,77, 为了周深看节目,独望寒秋,0
0,80,和骁爷学习真的荣幸,浩瀚星空,0
0,82,跟着周深打卡,孤燕衔泥,0
0,82,  滴滴滴，打卡打卡,Mina,0
0,83,和周深一起见证一群优秀医生们的成长😊,一个小哥哥,0
0,83,高尚妈妈爱你,冰,0
0,83,高尚妈妈爱你,momo,0
0,84,第一,forever德💕,0
0,86,医者仁心，希望各位不改初心,南,0
0,86,边练琴边看！等不及了！医学生加油！,(⊙o⊙)看你,0
0,87,张洽扶眼镜好帅啊,壹壹,0
0,87,和周深一起见证一群优秀医生们的成长😊,梦,0
0,88,来看卢医生,年时💫,0
0,88,和骁爷学习真的荣幸,本人太帅名字无法显示,0
0,89,张洽,L Y,0
0,90,愿我的家人身体健康,烟火,0
0,90,愿我的家人身体健康,1074247878,0
0,90,每集打卡 冯琛加油！,^Dummer、,0
0,91,和周深一起见证一群优秀医生们的成长😊,点点,0
0,91,和周深一起见证一群优秀医生们的成长😊,w。,0
0,92,高尚妈妈爱你,梅尼耶✨,0
0,92,张洽太帅了好喜欢,Luckyyyy,0
0,93,愿我的家人身体健康,本人太帅名字无法显示,0
0,94,刚考完研就来追了未来一定要做一个好医生,萧萧落叶,1
0,94,这位患者语气也很可爱,。。。。。,0
0,94,愿我的家人身体健康,你讲不讲理？,0
0,96,好好看吧，几十年后这都是大佬们,量力而行,1
0,97,和骁爷学习真的荣幸,胡美丽,0
0,98,每集打卡 冯琛加油！,天鹅湖,0
0,99,张洽太帅了好喜欢,肆无忌惮.,0
0,100,张洽张洽张洽,缪缪,0
0,101,南丁格鹅 : 为了拍的是医生追,瞌睡虫,0
0,102,  家人全部都要健康[锦鲤],一米七的奥利奥,0
0,104,敢不敢时间长点,ZXW.,0
0,104,愿我的家人身体健康平平安安,YQ,0
0,104,敢不敢时间长点,蔷薇,0
0,106,张洽张洽张洽,Better days,0
0,106,深深,A00伏羲琴·表汇,0
0,106,来看深深和医学生,泡泡.,0
0,108,毛不易我来了,吹散的蒲公英,0
0,108,  家人全部都要健康[锦鲤],肆无忌惮.,0
0,110,深深,泡泡.,0
