uservip_degree,timepoint,content,opername,upcount
0,0,打卡,咕咚,0
0,0,肝胆胰雄起了,沉尘,0
0,0,难怪这期想到请杨笠来,马者在找sth.,0
0,0,咋还有个82.4,沉尘,0
0,0,刘畅从来不推 而是极力在做,随心,0
0,0,加油,VV,0
0,0,严主任开心了,沉尘,0
0,0,要不冯这组太强了,沉尘,0
0,0,哈哈哈哈哈哈哈哈哈,心心,0
0,1,来了,Meteor.,0
0,2,南丁格鹅 : ii,幻觉,0
0,4,南丁格鹅 :  第一是我,星辰大海、,0
0,6,来了,晶儿,1
0,7,南丁格鹅 : 哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,🇨🇳,0
0,7,哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,🇨🇳,0
0,8,南丁格鹅 : 哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,🇨🇳,1
0,12,南丁格鹅 :  来啦来啦,你头发乱了哦,0
0,13,南丁格鹅 : 哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,🇨🇳,0
0,15,来看深深老师,宇杨杨0604,0
0,16,南丁格鹅 : 来看白衣天使,冷乡,0
0,21,我继续来哭了,时间轴,0
0,24,最爱的节目了,Star,0
0,27,来跟深深一起看节目,宇杨杨0604,0
0,30,南丁格鹅 :  来了,冷乡,0
0,30,上期真的给我看心梗了 大家都太不容易了,Ak,0
0,32,就喜欢这么不准时,Star,0
0,33,第一[青春],冰,0
0,33,南丁格鹅 : 来啦来啦,格子,0
0,34,周深我来了,宇杨杨0604,0
0,36,来啦来啦,Eliauk,0
0,37,洽哥，我来了,Star,0
0,39,返回来看张恰眼镜,Carly  糯孺丶,0
0,42,南丁格鹅 : 哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,🇨🇳,0
0,43,来看深深,宇杨杨0604,0
0,46,南丁格鹅 : 打卡打卡,。。。,0
0,47,言言我来啦,Song你离开,0
0,47,言言我来啦,Star,0
0,47,冯琛有对象了，不要乱组,假仁禅机,0
0,48,深深我来看你了,志芳,0
0,48,这个时长本研究生很满意,浅浅929,0
0,49,上集一直在哭,琛,1
0,52,深深我来了,宇杨杨0604,0
0,53,太好的节目了，我对医生有了更多了解，致敬,火林凰🦚（原丁丁的世界树🌴）,0
0,55,来看毛不易和医学生们！,Fifi­_K,0
0,57, 今天总不能还让我们哭吧,Star,0
0,57,南丁格鹅 : 周深我来了,宇杨杨0604,0
0,59,刘畅她要继续做医学研究的，应该是冯琛入选,╰☆がんば♡,0
0,59,这个时长本研究生很满意,销声匿迹,0
0,65,纯烨又哭惨了,静待花开,0
0,66,为周深来,宇杨杨0604,0
0,67,昨天哭惨了,Star,0
0,67,医学生真的太不容易了,啊圆；,0
0,68,纯烨，小哭包,静待花开,0
0,69,李不言我来了,哪怕一路没有掌声,0
0,70,看的最难过的一期,TOP,0
0,70,这个时长本研究生很满意,vousmevoyez,0
0,71,上集哭惨了,马铃·薯片拖拉斯基,0
0,73,这个时长本研究生很满意,淡然如水,0
0,73,上集哭惨了,悠悠,0
