uservip_degree,timepoint,content,opername,upcount
0,0,来啦,咕咚,0
0,0,大医生希声,荒烟不落,0
0,0,打卡,chi_,0
0,0,大医希声,荒烟不落,0
0,0,？她怎么办弄？,齐欢.,0
0,0,打卡,咕咚,0
0,0,哈哈哈,1196,0
0,0,李不言扭得最好,马者在找sth.,0
0,1,南丁格鹅 : 签到,LBZ Bot,0
0,1,签到,LBZ Bot,0
0,3,来了,-,0
0,3,打卡,落落无尘,0
0,4,来了,VV,0
0,4,来了,纸鸢,0
0,6,南丁格鹅 : 。,爱尚╭ァ时光荏苒~,1
0,6,来啦,forever德💕,0
0,8,来了来了我来啦,👩,0
0,8,第一是我,星辰大海、,0
0,9,南丁格鹅 : 。,爱尚╭ァ时光荏苒~,0
0,10,来啦,侬,0
0,10,。,爱尚╭ァ时光荏苒~,0
0,11,来了,西饼心,0
0,11,我来啦,不知道,1
0,11,[快乐]陶俑医生我爱你支持你,伊澜,0
0,12,南丁格鹅 : 。,爱尚╭ァ时光荏苒~,1
0,12,。,爱尚╭ァ时光荏苒~,0
0,15,来了,不鸭,0
0,16,来看恰哥当队长,DoV,0
0,16,蔡徐坤蔡徐坤蔡徐坤蔡徐坤,困.,1
0,16,周深,WW,0
0,17,南丁格鹅 : 张洽我来啦,凉生,1
0,17,来,Moonlight,0
0,17,不言哥哥,Gi.,0
0,17,蔡徐坤蔡徐坤蔡徐坤蔡徐坤,小仙女的后花园,0
0,18,骁爷骁爷,冷泪,0
0,19,来看恰哥当队长,Better days,0
0,20,来了,🎶雅涵🔅,0
0,20,。,爱尚╭ァ时光荏苒~,0
0,20,来了来了,林,0
0,21,来喽来喽,LIROON,0
0,22,来看张洽,Better days,0
0,22,南丁格鹅:终于,不知道,0
0,22,来了！,(˶‾᷄ ⁻̫ ‾᷅˵),0
0,23,来,Laya.✨,0
0,23,。,爱尚╭ァ时光荏苒~,0
0,23,神外畅姐周深我来了,深,0
0,24,坤坤,baobaota,0
0,25,南丁格鹅 : 打卡打卡,。。。,0
0,25,骁爷骁爷,野狼,0
0,25,张洽我来啦,Estrella,0
0,25,来了,青黛,0
0,25,lll 来啦来啦,夏日限定.,0
0,26,张洽哥哥我来了,雨露,0
0,27,听说我喜欢的人也在看offer了，你好，你还好吗,miumumumuio,1
0,28,南丁格鹅 : 畅姐加油,朱国强,0
0,28,张洽哥哥我来了,Better days,0
0,30,南丁格鹅:有在熬夜的吗,不知道,0
0,30,周深,579.,0
0,30,我来啦，我来啦，深深我来啦！,深深的擦脸毛巾,0
0,30,看周深看offer,冷泪,0
0,31,张洽哥哥我来了,🍊🍉🍎🍓🍒🍌🍋🍐🌶,0
0,31,张洽我来啦,Better days,1
0,32,来看不言了,Estrella,0
0,34,张洽哥哥我来了,سيزو,0
0,36,南丁格鹅 : 剪映BGM里有李不言作品，是此李不言吗,Vanessa🌈,0
0,36,张洽哥哥我来了,𝙅𝙖𝙮.,1
0,37,南丁格鹅 : 跟着深深看offer,新杰,0
0,38,咸鱼 : 放松时刻,目光清淡,0
0,39,南丁格鹅 : 令人心动的畅姐,_,0
0,39,张洽我来啦,𝙅𝙖𝙮.,0
0,39,张洽哥哥我来了,卡西～,0
0,40,说李不言次的人生活是有多悲哀,㸚,0
0,40,陶勇陶医生太有魅力了,h嫭u\,0
0,42,南丁格鹅 : 来了,其实你懂的,0
0,43,张洽哥哥我来了,棘心蔓草,0
0,45,不言哥哥我来了,新秋零三,0
0,48,科普是多么重要‼️,新秋零三,2
0,49,张洽哥哥我来了,新秋零三,0
0,51,跟着周深看offer啦！！,579.,0
0,54,不言哥哥我来了,流星旋律,0
0,56,张洽哥哥我来了,蘭,0
0,57,周深,A00伏羲琴·表汇,0
0,57,来看周深,新杰,0
0,61,想嫁给张洽,棘心蔓草,0
0,61,张洽哥哥我来了,RINYIP,0
0,62,想嫁给张洽,Better days,0
0,64,跟着周深看offer啦！！,strawberry,0
0,65,周深！我来了,溢月_nVfy,0
0,70,第一,LIROON,0
0,71,深深我来了,579.,0
0,72,南丁格鹅 : 急急急,许盛军,0
0,73,张洽我来啦！,oxygen,0
0,75, 卢医生！！爱了爱了,起灵。,0
0,75,张洽我来啦！,棘心蔓草,0
0,76,深深我来了,oxygen,0
0,77,来看深深了，看这节目也真的学到很多东西,🐌,0
0,78,卢医生被请来了，哈哈,腾讯网友,1
0,79,深深我来了,深,0
0,80,张洽我来啦！,Lik,0
0,80, 卢医生！！爱了爱了,四格格,0
0,81,张洽我来啦！,RINYIP,0
0,81,张洽我来啦！,ぺYolanda,0
0,82,张洽我来啦！,好的很美,0
0,83, 卢医生！！爱了爱了,马铃·薯片拖拉斯基,0
0,84,卢医生被请来了，哈哈,四格格,1
0,85,咸鱼 : 笑死人这段,S,0
0,87,南丁格鹅 : 张洽要当队长了,MiKey,0
0,88,冯琛我来啦,oxygen,0
0,89,张洽骁爷我来啦,棘心蔓草,0
0,90, 周深周深我来啦,卡布不卡♬,0
0,90, 张洽骁爷我来啦,丽丽不美丽,0
0,90,张洽骁爷我来啦,﹏二十三丝动紫皇﹎,1
0,90,张洽骁爷我来啦,查理是只猫🐱,0
