uservip_degree,timepoint,content,opername,upcount
0,0,逢人就喊阿姨吗,✨钮扣,0
0,0,来啦,拾贰,0
0,0,汪苇航很会鼓励人，赞美人,✨钮扣,0
0,0,一直喊不言哥哥的是那个小师妹吗？哈哈,✨钮扣,0
0,0,李不言，你后面的头发怎么跟个鸡窝一样，哈哈,✨钮扣,0
0,0,你们的人生才刚刚开始,✨钮扣,0
0,0,哈哈，调皮,✨钮扣,0
0,0,打卡,chi_,0
0,0,哈哈，后面的防诈骗标示语做的好明显啊,✨钮扣,0
0,0,这种会员很贵的吧，好像要上万，你要送这么大的礼吗,✨钮扣,0
0,0,人家已经不断提示了，一直在摆弄胳膊呀,✨钮扣,0
0,0,我也有这个胆囊壁毛糙的问题,✨钮扣,0
0,0,为啥冯琛和张洽都染发啦，这颜色也不显眼啊，哈哈,✨钮扣,0
0,0,好看,три три~,0
0,0,感觉好几个人都染发了，哈哈,✨钮扣,0
0,0,心血管跟呼吸科应该也比较接近吧，都是胸腔附近,✨钮扣,0
0,0,哈哈哈,出人头地,0
0,0,抢答，哈哈,✨钮扣,0
0,0,人家张洽也是实力派好吧，学生会的,✨钮扣,0
0,0,这打码也没啥用啊，街坊邻居都认识,✨钮扣,0
0,0,李不言跟冯琛之间讲话就很开玩笑式的，气氛会好一些,✨钮扣,0
0,0,冯琛，男生里面他最爱逗李不言，女生里面最爱逗畅姐,✨钮扣,0
0,0,汪苇航还是长得帅气啊，很清秀，古典美男子那种,✨钮扣,0
0,0,哈哈，听不懂最致命,✨钮扣,0
0,0,按理来说高尚应该能快速理解啊，他是心血管科,✨钮扣,0
0,0,好像有一种情况确实是人工呼吸，之前看新闻里面有,✨钮扣,0
0,0,老年人嘴巴干应该是正常的，因为分泌的唾液会变少,✨钮扣,0
0,0,是不好意思说自己有什么病吧，或者没做过检查,✨钮扣,0
0,0,签到,bear,0
0,0,我下午刚喝完瑞幸,子夫,0
0,0,互相协助还是蛮好的，这种工作氛围很好,✨钮扣,0
0,0,恰哥好帅,芳,0
0,0,最爱恰哥,芳,0
0,0,我在这里等你回来了，我在这里,`,0
0,0,还以为是高尚的孩子呢😂,✨钮扣,0
0,0,嗯,佛系少女,0
0,0,小谢很棒很帅,亲一口月亮🌙就睡觉～,0
0,0,嘻嘻，还好这么快就能看加更了,✨钮扣,0
0,0,带人去哪里哪里可以请志愿者帮忙的,阿辞.,0
0,0,打卡,chi_,0
0,0,还没看够啊，内容太少了,✨钮扣,0
0,1,来了来了,啵熊乳酱,0
0,1,噢吼,小白 ོꦿ࿐,0
0,1,19:49,👻,0
0,1,ll,◎,0
0,2,我是最早的,一花见春一叶知秋,0
0,2,哈哈哈哈,灰灰的养生日记,0
0,2,惹人厌,Ｗww〰,0
0,3,[发财][超越][无羡]今天晚上的嘉庚来了周四的快乐明天,toby yo,0
0,3,来了, ,0
0,3,哈哈,啊俊15258721125,0
0,3,好,Dale,0
0,3,如何,下一站国家图书馆,1
0,3,来了,雩风,0
0,4,哈哈哈,Pioneer,0
0,4,我在这里等你回来了,`,1
0,4,哈哈哈哈哈哈,午夜阳光,0
0,4,我,한 남자,0
0,4,啦啦啦,Anita（有急事电联）,0
0,5,来了,🌻•◡•向阳哚哚开,0
0,5,我的确是,木易臭臭er,0
0,5,希望不准时,VV,0
0,5,打卡, 倣薺,0
0,6,7:52,熬夜修仙,0
0,6,而已,の情字＆何解,0
0,6,令人心动的张洽,山河辽阔，人间烟火,0
0,6,来啦,Niannian.,0
0,7,加油加油,一只眠羊,0
0,7,好,张小汀,0
0,7,看看,左耳以东,0
0,7,第一,颜团子,1
0,7,我们,留白,0
0,7,喜欢,闫杰,0
0,7,啊这,｀深街-酒徒、,0
0,7,来了,cx4y,0
0,7,[6周年][顺利]新年快乐,喻言.,0
0,8,我在这里等你回来了,`,0
0,8,打卡了,s,0
0,8,谢旭超喜欢金明太明显了,山城漫见星.,0
0,8,好短啊,奕_块西瓜,1
0,8,6666666,冰魂灬雪魄,0
0,8,我也是拼了,莹鸽鸽,0
0,9,哈哈哈,小鱼,0
0,9,去,水墨无痕,0
0,9,啦啦,itsHelen,1
0,9,来了,July.,0
0,9,来了,I miss you,0
0,9,来啦,旻95,0
0,9,金句频出,人生如戏,1
0,10,来了来了,小公举,0
0,10,来了,.,0
0,10,第一湖北宜昌,香樟连翘,5
0,10,打卡[6周年],Lotus,0
0,10,6666666,九月的雨,0
0,11,签到, 找回 過去 ,0
0,11,所以是啥会员哈哈哈,阿乐还是就叫阿乐好了,0
0,11,第一,安否,0
0,11,太好笑了,沦陷🌠,0
0,12,昨晚梦见张洽是我老公了[6周年][6周年][6周年],咬一口甜,2
0,12,我,努力努力再努力吧,0
0,12,好短啊,Cecily,0
0,12,来了来了,芋圆^O^*,0
0,13,来早了,心如影相随,1
0,13,哈哈哈,♤,0
0,13,我在这里等你回来了,LovZ💕,0
0,13,来了,紫嫣清莹,0
0,14,啊啊啊啊啊啊啊啊啊啊啊啊啊啊,Daytoy,0
0,14,喜欢腾讯的不准时,VV,2
0,14,看看,.,0
0,14,[无羡]看李不言,仰望,0
0,14,我来了,【无懈可击】,0
0,15,打卡[6周年],绝迹,0
0,15,没了，来回顾下，加油，医学生们,暴风,0
0,16,来啦来啦来啦,ELIAUK.,0
0,16,令人心动的张洽,17,1
0,16,来了来了,芋圆^O^*,0
0,16,来了来了,Euphoria,2
0,16,一,Allen,0
0,17,第二湖南永州,Utopia,3
0,17,我跑来啦,✨,0
0,19,😄😄哈哈+,▄︻┻┳═一,0
0,19,来啦,Ⅱ-＼小安静°,0
0,19,洽哥我来了,木莓,1
0,19,浙江温州来啦,C,2
0,19,来了来了, ň緈諨. ,0
0,19,来了,北城半夏,0
0,19,期待,执手听风吟,0
0,20,又要等一个星期,娇,0
0,20,噜啦啦噜啦啦,谢必安.,0
0,21,太短了，再来一季,ミ,1
